title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - charlotte to raleigh on wed 11/21 (charlotte),charlotte,http://charlotte.craigslist.org/rid/3415608765.html,"i'm offering a ride from charlotte to raleigh. 
leaving november 21st returning november 21st. no smoking at all in the car or cursing (when son is in the car) contact me on zimride: http://www.zimride.com/ride/share?ride=538762 ",2012-11-17T02:25:09-05:00,emailnotfound,TRUE,charlotte,2012-11-21T02:25:09-05:00,raleigh
ride offered - charlotte to raleigh on wed 11/21 (charlotte),charlotte,http://charlotte.craigslist.org/rid/3415603289.html,"i'm offering a ride from charlotte to raleigh. 
leaving november 21st returning november 21st. be kid friendly and no smoking (at all) or cursing (around my son). contact me on zimride: http://www.zimride.com/ride/share?ride=538748 ",2012-11-17T02:17:37-05:00,emailnotfound,TRUE,charlotte,2012-11-21T02:17:37-05:00,raleigh
thanksgiving trip to memphis (charlotte),charlotte,http://charlotte.craigslist.org/rid/3414823119.html,i am going to memphis this weekend. i have a 2007 volvo car that is very clean. i can give you a ride for $50 for one way. please let me know if you are interested asap with your number. we can meet up before if you would like.,2012-11-16T17:34:17-05:00,emailnotfound,FALSE,charlotte,2012-11-16T17:34:17-05:00,memphis
need ride (la vergne to el paso),charlotte,http://charlotte.craigslist.org/rid/3414047213.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap. ,2012-11-16T12:35:21-05:00,emailnotfound,FALSE,charlotte,2012-11-16T12:35:21-05:00,el
need a ride! - charlotte to columbia,charlotte,http://charlotte.craigslist.org/rid/3413872161.html,i need a ride from charlotte nc to columbia sc on monday the 19th. i need to be in columbia by 7:00pm. can pay for all of the gas and a bit more for the trouble. email me back or call me at 704-258-1788,2012-11-16T11:31:08-05:00,emailnotfound,FALSE,charlotte,2012-11-19T11:31:08-05:00,columbia
ride offered - high point to atlanta on wed 11/14 8pm (high point),charlotte,http://charlotte.craigslist.org/rid/3371680284.html,"i drive a nice gas efficient 09' honda civic and it is in excellent running, driving & traveling condition. if anyone is looking to pitch in on gas for a ride up to high point nc or anywhere you'd like to be dropped off along the way you are welcome  [...]",2012-11-16T11:10:16-05:00,emailnotfound,TRUE,charlotte,2012-11-14T11:10:16-05:00,atlanta
"charlotte to richmond, thanksgving (charlotte south)",charlotte,http://charlotte.craigslist.org/rid/3406404498.html,"will be driving to richmond i-85 to i-95 leaving early thanksgiving morning. non-smoker. small, clean 4 door sedan. no drugs, weapons or pets allowed in car. ",2012-11-15T12:25:44-05:00,emailnotfound,TRUE,charlotte,2012-11-19T12:25:44-05:00,richmond
ride from ctl to asheville dec 3 ,charlotte,http://charlotte.craigslist.org/rid/3402398897.html,"hi i am looking for a ride from the charlotte airport to asheville or anywhere near town on dec 3. i will chip in for gas, i can split the driving as well. if you are looking for friendly person to share the drive and cost of gas with, please call 24 [...]",2012-11-11T13:52:56-05:00,emailnotfound,TRUE,charlotte,2012-12-03T13:52:56-05:00,asheville
ride needed to nj/ny/pa,charlotte,http://charlotte.craigslist.org/rid/3395662848.html,"two college students looking for a ride home to nj 
ny or philly would be fine too 
wehave gas money, snacks, conversation 
could help with driving 
a return trip would be extra lovely but not necessary. 
email me or call/text me at 9083199508",2012-11-08T13:50:09-05:00,emailnotfound,FALSE,charlotte,2012-11-12T13:50:09-05:00,nj/ny/pa
charlotte to florida (charlotte to southern florida),charlotte,http://charlotte.craigslist.org/rid/3394494578.html,"passing right through charlotte tomorrow headed for souther florida, lots of room...no men....plenty of room for moms, women and kids or luggage etc....if u need a ride or somethig hauled let me know asap... 
im south bound and down looking for some  [...]",2012-11-07T23:26:28-05:00,emailnotfound,TRUE,charlotte,2012-11-07T23:26:28-05:00,florida
