title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
offer: chico to redding(wed-fri),chico,http://chico.craigslist.org/rid/3417175760.html,"trying to get gas money to visit my dad in lakehead past redding 
leaving wednesday afternoon 
returning friday morning 
i need $50 in gas for there and back 
email me if you need a ride with where your going 
i'm an experienced driver have never had [...]",2012-11-17T15:17:52-08:00,emailnotfound,FALSE,chico,2012-11-19T15:17:52-08:00,redding
ride offered - chico to thousand oaks on sun 11/18 (chico),chico,http://chico.craigslist.org/rid/3416925930.html,"i'm offering a ride from chico to thousand oaks. 
leaving november 18th. i'm driving down to southern california on the i-5. i can pick you up/ drop you off on the way just so long you ar not to far off my route. i'm pretty laid back and enjoy chatti [...]",2012-11-17T13:19:12-08:00,emailnotfound,TRUE,chico,2012-11-18T13:19:12-08:00,thousand
"needing a ride from chico to portland on tue.11/20 or wed.11/21,please (chico / portland)",chico,http://chico.craigslist.org/rid/3416653395.html,looking for a ride with a semi-sane and valid licensed driver on tuesday 11-20 or wednesday 11-21. i can share gas costs. i'm a sane and down to earth 33 year old human male who is a non-cigarette smoker that enjoys wise conversation. i'm easy to get [...],2012-11-17T11:26:15-08:00,emailnotfound,FALSE,chico,2012-11-20T11:26:15-08:00,portland
ride offered:  chico to san diego or la and back,chico,http://chico.craigslist.org/rid/3415208871.html,"i am leaving either tuesday, november 20 at night, or wednesday, november 21 at night from chico to san diego. can drop off in l.a too. driving back on sunday, november 25.",2012-11-16T17:48:41-08:00,emailnotfound,TRUE,chico,2012-11-20T17:48:41-08:00,san
commute daily oroville to chico (oroville),chico,http://chico.craigslist.org/rid/3414819482.html,"want to save on gas? i travel to chico daily from oroville, i am interested in sharing a ride with a non smoker. it may be daily or what ever days you need to be in chico. my work hours are 8 to 5 m-f. i am willing to drive daily with compensation fo [...]",2012-11-16T14:32:43-08:00,emailnotfound,TRUE,chico,2012-11-17T14:32:43-08:00,chico
chico to walnut creek  (chico to east bay),chico,http://chico.craigslist.org/rid/3413202847.html,ride from chico to walnut creek(east bay) on friday 16th at around 4 or 5. 25 bucks for a ride. contact brian at (925) 864-9824,2012-11-15T22:27:09-08:00,emailnotfound,TRUE,chico,2012-11-16T22:27:09-08:00,walnut
need ride to airport 11/19 (chico),chico,http://chico.craigslist.org/rid/3413066893.html,"is anyone headed to the airpot on monday the 19th? i need to get to the airport but dont have a ride, 
can pitch in $20 for gas 
or is anyone headed to sacramento that day and could drop me off at sacramento airport? 
thanks",2012-11-15T20:24:31-08:00,emailnotfound,FALSE,chico,2012-11-19T20:24:31-08:00,airport
ride needed today from chico to nevada city (chico/oroville),chico,http://chico.craigslist.org/rid/3410190225.html,"hello, i need a ride one way to nevada city, today 11/14 or tomorrow. 
today would be better . i have gas money + 
thank you",2012-11-14T15:02:00-08:00,emailnotfound,FALSE,chico,2012-11-14T15:02:00-08:00,nevada
ride offered - $25 chico to oakland on fri 11/16 (chico),chico,http://chico.craigslist.org/rid/3410045997.html,"i'm offering a ride from chico to oakland. 
leaving november 16th. i will be leaving town right after my last class on friday. i can drop you off at the fruitvale bart station. contact me on zimride: http://www.zimride.com/ride/share?ride=532518 
i d [...]",2012-11-14T14:00:03-08:00,emailnotfound,TRUE,chico,2012-11-16T14:00:03-08:00,oakland
3 seats- chico to sf bay area (chico-sf),chico,http://chico.craigslist.org/rid/3409960063.html,i am a chico state student leaving this friday 11/16 around 1pm to the sf bay area. i have 3 seats available in my car. my car is comfortable and has plenty of room. i am traveling to san mateo so i can drop you off anywhere with in like 20 miles fro [...],2012-11-14T13:24:47-08:00,emailnotfound,TRUE,chico,2012-11-16T13:24:47-08:00,sf
