title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
osu to pdx airport emergency ride offered (osu),corvallis,http://corvallis.craigslist.org/rid/3417791144.html,"if you need an emergency ride to pdx from osu, reply to this message and i'll get back with you asap. i can take you up, no matter what time you need to be at pdx, and/or even bring you back to corvallis. i have a 4-door sedan, so i would be limited  [...]",2012-11-17T22:57:53-08:00,emailnotfound,TRUE,corvallis,2012-11-17T22:57:53-08:00,pdx
ride to eugene needed (corvallis),corvallis,http://corvallis.craigslist.org/rid/3417111447.html,"i need a ride back to eugene on sunday the 18th! i can help with gas $, please let me know asap!",2012-11-17T14:45:24-08:00,emailnotfound,FALSE,corvallis,2012-11-17T14:45:24-08:00,eugene
ride offer to portland today around 5  (osu),corvallis,http://corvallis.craigslist.org/rid/3416689763.html,"heading to portland this evening around 5 or 6 pm hit me up if you need a ride 
(503)three- five- eight-5-7-1- nine 
asking ten dollars for gas",2012-11-17T11:40:42-08:00,emailnotfound,TRUE,corvallis,2012-11-17T11:40:42-08:00,portland
offering ride from albany to pendleton 11/21,corvallis,http://corvallis.craigslist.org/rid/3415666137.html,non smoking and help w/ gas. leaving albany very early thanksgiving,2012-11-17T01:00:13-08:00,emailnotfound,TRUE,corvallis,2012-11-21T01:00:13-08:00,pendleton
ride wanted corvallis/ albany to portland this sunday afternoon,corvallis,http://corvallis.craigslist.org/rid/3415142164.html,i am coming back from visiting family and my sister only needs to travel as far as corvallis. if possible i would like to catch a ride with someone. i can help out with gas as well as driving ( i can drive a manual transmission as well as automatic). [...],2012-11-16T17:10:57-08:00,emailnotfound,FALSE,corvallis,2012-11-18T17:10:57-08:00,portland
ride offered to north bay area or on the way (corvallis to califonia),corvallis,http://corvallis.craigslist.org/rid/3414802229.html,"i will be driving from corvallis to novato (north bay) on november 21st for thanksgiving. will be returning to corvallis on that sunday. if you need a ride that is on i5 or so let me know! 
asking for some gas money and good company. thanks for looki [...]",2012-11-16T14:25:05-08:00,emailnotfound,TRUE,corvallis,2012-11-21T14:25:05-08:00,north
thanksgiving down south - ride offer (corvallis to medford),corvallis,http://corvallis.craigslist.org/rid/3414344410.html,"we are a couple heading home for the holidays. we are leaving corvallis around 6:00 pm on wednesday and heading for medford. room for 1 or 2. $30 from corvallis, $20 from eugene. car is older but warm! no drugs, we are high on life. email if interest [...]",2012-11-16T11:23:23-08:00,emailnotfound,TRUE,corvallis,2012-11-21T11:23:23-08:00,medford
ride to offer: 11/17  (corvallis to portland),corvallis,http://corvallis.craigslist.org/rid/3414267492.html,i am heading from corvallis to portland tomorrow afternoon (satruday november 17th) and have space to take carpoolers. please email or call to ride with me. plan to pitch-in for gas and have a centralized drop-off. -katelyn (845-797-3740),2012-11-16T10:54:54-08:00,emailnotfound,TRUE,corvallis,2012-11-17T10:54:54-08:00,offer
need ride to portland - 11/15 (corvallis),corvallis,http://corvallis.craigslist.org/rid/3412295729.html,"hey 
my names ian, and i need to get back to pdx today, thursday the 15th. got cash and am desperate for a ride. please call/text (503-901-3281) or email. 
thanks",2012-11-15T13:37:11-08:00,emailnotfound,FALSE,corvallis,2012-11-15T13:37:11-08:00,portland
ride needed 11/21 corvallis to ashland (corvallis),corvallis,http://corvallis.craigslist.org/rid/3411464087.html,"i am looking for a ride south on 1-5 from corvallis to the ashland area on 11/21. i can meet people/be picked up on the 1-5 if that makes things easier. i can help with gas money and/or driving. 
zaya",2012-11-15T08:16:22-08:00,emailnotfound,FALSE,corvallis,2012-11-21T08:16:22-08:00,ashland
ride offered to medford 11/22 (i-5 s),corvallis,http://corvallis.craigslist.org/rid/3410798595.html,"i'm renting a car and driving from newport, via corvallis, down i-5 to the medford area on thanksgiving day. i'm looking for one or two good people to share gas and make the drive a little more interesting. i'm planning on leaving newport around 9 or [...]",2012-11-14T20:55:04-08:00,emailnotfound,TRUE,corvallis,2012-11-22T20:55:04-08:00,medford
need a ride to tacoma from corvallis!! (osu),corvallis,http://corvallis.craigslist.org/rid/3410336757.html,"hi, 
im looking for a ride from corvallis to tacoma for this weekend. i can leave anytime after 8pm thursday, anytime on frieday. 
please hit me up!",2012-11-14T16:11:22-08:00,emailnotfound,FALSE,corvallis,2012-11-15T16:11:22-08:00,tacoma
corvallis to socal friday or sat.,corvallis,http://corvallis.craigslist.org/rid/3404871089.html,"my girlfriend and i are headed south friday night or saturday morning to ventura, ca in a honda fit - a small, but roomy 4 door car. we can fit two more and make reasonable detours. you need to be ready and have gas money in your pocket. stops for fo [...]",2012-11-12T11:59:14-08:00,emailnotfound,TRUE,corvallis,2012-11-12T11:59:14-08:00,socal
need ride to eugene,corvallis,http://corvallis.craigslist.org/rid/3404633952.html,"could use a ride to eugene if possible today and i can pay for gas but am hoping to split w/ you if possible. if your headed that way or willing too please give me a text and let's set something up. ~gabriel 
five four one two eight six zero two one  [...]",2012-11-12T10:37:42-08:00,emailnotfound,FALSE,corvallis,2012-11-12T10:37:42-08:00,eugene
need ride to portland on thursday nov 15th (osu),corvallis,http://corvallis.craigslist.org/rid/3403464927.html,i am in need of a ride to portland on thursday november 15th. would prefer to leave later in the day rather than earlier. but will take any ride offered. i can contribute gas money of course. would like to be dropped off at pdx. if by any small chanc [...],2012-11-11T20:34:36-08:00,emailnotfound,FALSE,corvallis,2012-11-15T20:34:36-08:00,portland
offering ride to lincoln city monday (corvallis),corvallis,http://corvallis.craigslist.org/rid/3401442436.html,"my wife and i are headed from corvallis to lincoln city on monday, nov. 12th. we will have room for one more person. if you need a lift, let us know. leaving around noonish (flexible). only 1 way trip. not round trip. 
caleb.",2012-11-10T21:10:41-08:00,emailnotfound,TRUE,corvallis,2012-11-12T21:10:41-08:00,lincoln
ride offered - corvallis to berkeley on sat 11/17 (corvallis),corvallis,http://corvallis.craigslist.org/rid/3399088396.html,"i'm offering a ride from corvallis to berkeley. 
leaving november 17th returning november 17th. contact me on zimride: http://www.zimride.com/ride/share?ride=525465 ",2012-11-09T18:52:06-08:00,emailnotfound,TRUE,corvallis,2012-11-17T18:52:06-08:00,berkeley
need ride to pdx (corvallis),corvallis,http://corvallis.craigslist.org/rid/3394593290.html,"hi. i am looking to share a rental vehicle or ride with someone heading to pdx on nov. 20th. i need to be at pdx by 1 pm. will pay half of gas cost. 
thank you.",2012-11-07T21:59:19-08:00,emailnotfound,TRUE,corvallis,2012-11-20T21:59:19-08:00,pdx
ride needed 11/8 from corv to pdx (corvallis),corvallis,http://corvallis.craigslist.org/rid/3394339025.html,hoping to find a ride from corvallis to portland anytime on thursday the 8th. i am a 22 year old fermentation science student at osu. willing to chip in for gas money.,2012-11-07T18:37:44-08:00,emailnotfound,FALSE,corvallis,2012-11-08T18:37:44-08:00,pdx
ride needed 11/7 corv to pdx (corvallis),corvallis,http://corvallis.craigslist.org/rid/3393792632.html,22 year old male looking for ride from corvallis to portland this afternoon or evening. willing to chip in for gas.,2012-11-07T14:03:54-08:00,emailnotfound,FALSE,corvallis,2012-11-07T14:03:54-08:00,pdx
ride needed to portland on 11/13 after 4pm (portland),corvallis,http://corvallis.craigslist.org/rid/3391380053.html,"hi, i am searching for a ride to portland anytime after 4pm on 11/13. thank you so much! 
koko",2012-11-06T13:31:12-08:00,emailnotfound,FALSE,corvallis,2012-11-13T13:31:12-08:00,portland
ride to salem this afternoon (corvallis),corvallis,http://corvallis.craigslist.org/rid/3390812285.html,"offering ride to salem today, leaving by 1:30pm. smoke/drug free environment. gas money would be helpful. please respond to this ad by 1:30. thanks! ",2012-11-06T09:53:55-08:00,emailnotfound,FALSE,corvallis,2012-11-06T09:53:55-08:00,salem
ride offer -11/22 to 11/24 round trip-- corvallis ---&gt; pdx airport (corvallis to portland),corvallis,http://corvallis.craigslist.org/rid/3390404562.html,"i will be driving to portland to fly out of town for thanksgiving, and would love to have someone ride to portland with me and split the gas and music! 
outgoing: corvallis ---&gt; portland (anywhere...). leaving 11/22 at around 8 am, unless you need [...]",2012-11-06T07:19:31-08:00,emailnotfound,TRUE,corvallis,2012-11-22T07:19:31-08:00,11/24
i sure could use a ride to eugene today (corvallis),corvallis,http://corvallis.craigslist.org/rid/3390027399.html,any time today would be great. email me with a phone number and i'll call asap. thanks. steve,2012-11-06T01:36:42-08:00,emailnotfound,FALSE,corvallis,2012-11-06T01:36:42-08:00,eugene
