title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
trying to get to houston tx  (engle wood-houston ),denver,http://denver.craigslist.org/rid/3417709214.html,hi 22 year old male trying to get home to see my son be born and to my beautiful wife and daughter. son is due the 18th of dec trying to be there on or around the 10th. my wife is tiny and dr said she's could pop at any time so if your leaving sooner [...],2012-11-17T22:20:17-07:00,emailnotfound,FALSE,denver,2012-11-18T22:20:17-07:00,get
denver to coeur d alene id/spokane wa (ft collins),denver,http://denver.craigslist.org/rid/3417439432.html,will be leaving ft collins around noon sunday the 18th. driving strait though. i am a laid back 4:20 friendly family man trying to save some gas money and help some one out if i can. e mail though cl or call/text @ 208 818 two4five2,2012-11-17T18:48:14-07:00,emailnotfound,FALSE,denver,2012-11-18T18:48:14-07:00,coeur
"oma to phx  via denver, 12-21/back 12-28  mty car (going oma to phx-can go several ways)",denver,http://denver.craigslist.org/rid/3404654137.html,"leaving oma 12-21 for phx for sons b-day and christmas, visiting friends, returning dept phx 12-28. mty car going down but picking up few things coming back so probably 1 bag limit. split gas...drive straight thru so no room costs or awkward position [...]",2012-11-17T17:13:22-07:00,emailnotfound,TRUE,denver,2012-11-23T17:13:22-07:00,phx
ride offered: denver to grand junction/montrose (i-70 westbound),denver,http://denver.craigslist.org/rid/3417238224.html,"departing denver sunday, nov 18 early afternoon. driving west along i-70 to grand junction...then south on hwy 50 to montrose. room for polite, easy-going, non-smoking passengers in double-cab pickup. gas money required. ",2012-11-17T16:50:52-07:00,emailnotfound,TRUE,denver,2012-11-18T16:50:52-07:00,grand
"seeking rideshare from denver to las vegas (2 riders) end of november (denver, co)",denver,http://denver.craigslist.org/rid/3417181644.html,"2 brothers seeking rideshare to las vegas the end of november to meet with family for a small trip. the exact dates are november 30th to december 3rd, but leaving a bit late or leaving a bit early might be alright. 
we can pitch in an equal share for [...]",2012-11-17T16:20:54-07:00,emailnotfound,TRUE,denver,2012-11-30T16:20:54-07:00,las
offered denver to sacramento,denver,http://denver.craigslist.org/rid/3417130280.html,leaving sunday evening. gas contribution a must.,2012-11-17T15:54:43-07:00,emailnotfound,TRUE,denver,2012-11-18T15:54:43-07:00,sacramento
"phoenix for thanksgiving, via albuquerque, flagstaff (denver to phoenix)",denver,http://denver.craigslist.org/rid/3416971934.html,"heading to see family have up to 2 extra seats, split gas, maybe some driving if need be in our suv. leaving wednesday november 21st most likely, and returning over the weekend. estimated $40 to $60 weach way, no need to take the bus. easy, no drama  [...]",2012-11-17T14:39:46-07:00,emailnotfound,TRUE,denver,2012-11-21T14:39:46-07:00,phoenix
"needed ride to phoenix, arizona (will share driving and expences (denver to phoenix or close by)",denver,http://denver.craigslist.org/rid/3409547605.html,"40 yo clean cut, moving lite... family in az. ready to go asap. will split gas, driving, whatever. if room can bring stuff or just a couple small bags and come back for a few boxes later. call/text buzz @ seven two oh, 295-5710 or email. open to leav [...]",2012-11-17T14:33:42-07:00,emailnotfound,FALSE,denver,2012-11-17T14:33:42-07:00,phoenix
"ride offered west to reno (denver, slc, reno)",denver,http://denver.craigslist.org/rid/3416758605.html,"i am going to be leaving northern wyoming for reno, nevada saturday or sunday 24 or 25 november. i can pass through denver if you pay for the gasoline. i can take any route that does not require a 4x4. i have a small car with great fuel economy. 
sen [...]",2012-11-17T13:08:32-07:00,emailnotfound,TRUE,denver,2012-11-17T13:08:32-07:00,reno
denver to az (arizona),denver,http://denver.craigslist.org/rid/3416657993.html,"driving from denver to arionza (phoenix and two other cities) on sunday or monday. i have space for several people, pets, and plenty of stuff. i am flexible on where you need to get to. call 1.888.236.5559 or e-mail you contact info with phone.",2012-11-17T12:28:04-07:00,emailnotfound,TRUE,denver,2012-11-19T12:28:04-07:00,az
transport package from denver area to los angeles area (boulder),denver,http://denver.craigslist.org/rid/3416433766.html,"hi all, 
i have a gift i am trying to deliver to a relative in the los angeles area that is neither allowed on airlines or u.s. mail. it is not illegal, just flammable. if you are heading to the l.a. area by car for thanksgiving or winter break i cou [...]",2012-11-17T11:01:44-07:00,emailnotfound,FALSE,denver,2012-11-21T11:01:44-07:00,los
denver to vail today  (denver),denver,http://denver.craigslist.org/rid/3416123234.html,"i'll be driving from denver to vail today around 4pm. i don't have room for luggage, but i have an extra seat.",2012-11-17T09:00:05-07:00,emailnotfound,TRUE,denver,2012-11-17T09:00:05-07:00,vail
considering driving to ga in two weeks (need gas.money.covered),denver,http://denver.craigslist.org/rid/3416015966.html,moving to ga. if i can get two to 3 people to pitch $200 as gas will be.close.to.7 hundred so if if everyone pitches in we can save a lot. ,2012-11-17T08:11:38-07:00,emailnotfound,TRUE,denver,2012-11-19T08:11:38-07:00,ga
going to dallas today(11/17) (denver to dfw),denver,http://denver.craigslist.org/rid/3415594526.html,leaving for dallas fort worth sometime today(final dest mckinney tx). have room for extra pass and lots of room for luggage. prefer nonsmoker or someone ok with not smoking during the ride. other than that plz be normal and sane(no drifters) and prac [...],2012-11-17T00:05:52-07:00,emailnotfound,TRUE,denver,2012-11-17T00:05:52-07:00,dallas
denver to albuquerque (denver),denver,http://denver.craigslist.org/rid/3415500766.html,i am planning to leave denver wednesday the 21st and am heading south on i-25 to albq. if you'd like a ride and would want to throw a little towards gas that would be great. i'm a 25 year old male that's going to see family for thanksgiving. im a goo [...],2012-11-16T22:21:54-07:00,emailnotfound,FALSE,denver,2012-11-21T22:21:54-07:00,albuquerque
leaving copper mountain headed to chicago.il (denver co or where u need a ride),denver,http://denver.craigslist.org/rid/3415333267.html,"going to be hitting the road after an awesome epic getaway to copper mountain. 
taking the familiar route along i-80. 
if you need a lift east lets talk. 
this trip is tenative to start but i would plan on departing denver around noon the 29th..maybe [...]",2012-11-16T20:08:23-07:00,emailnotfound,TRUE,denver,2012-11-29T20:08:23-07:00,chicago.il
"naked ride to breck, w/ buddy (denver)",denver,http://denver.craigslist.org/rid/3415279567.html,"24 yo, fit, good looking straight guy - likes driving naked (well, i like anything naked) and wouldn't mind finding giving a ride with someone who is cool with being naked too. i have a girlfriend, so she isn't cool with girls riding w/ me...this isn [...]",2012-11-16T19:32:17-07:00,emailnotfound,TRUE,denver,2012-11-16T19:32:17-07:00,breck
"denver to taos, nm nov 23",denver,http://denver.craigslist.org/rid/3415277520.html,"if anyone needs a ride to taos, nm or anywhere in between, i'm leaving the day after turkey day. 505 six nine 2 4one23",2012-11-16T19:31:00-07:00,emailnotfound,TRUE,denver,2012-11-23T19:31:00-07:00,taos
need help w/ ride to grand junction (denver - grand junction),denver,http://denver.craigslist.org/rid/3415104699.html,"single mom needs help getting to grand junction to see family for thanksgiving. wanting to leave sunday november 18th anytime, i am able to help pay for gas just need help with transportation. 
if anyone can help please call or text 720-587-5107 anyt [...]",2012-11-16T17:50:46-07:00,emailnotfound,FALSE,denver,2012-11-18T17:50:46-07:00,grand
do you need a ride to dia (aurora/denver),denver,http://denver.craigslist.org/rid/3414820627.html,"traveling this holiday, beat the crowds and parking mess 
driver available 24/7 insured, prefect driving record. 
trips to dia dropoff/pickup saves you parking fees 35.00 flat fee. one way 
package pickup/delivery fees based on mileage/time 
retired  [...]",2012-11-16T15:33:12-07:00,emailnotfound,TRUE,denver,2012-24-07T15:33:12-07:00,dia
"i need ride to durango, co on monday (denver to durango)",denver,http://denver.craigslist.org/rid/3414712443.html,"hi, 
i'm looking for a ride from the front range to durango, co on monday the 19th. i'd be happy to split gas and driving time. i'm in denver now, but anywhere close i could get to you. if you're going in that direction i would really appreciate a ri [...]",2012-11-16T14:47:14-07:00,emailnotfound,FALSE,denver,2012-11-19T14:47:14-07:00,durango
ride offered: denver to st. louis (denver to stl),denver,http://denver.craigslist.org/rid/3414561408.html,"should be passing through denver from bozeman between tues. and wed. give a call in a few days and i can give you a better idea. split gas and driving. 
jay 
(three one four) 479-0298",2012-11-16T13:46:18-07:00,emailnotfound,TRUE,denver,2012-11-20T13:46:18-07:00,st.
"awesome couple need ride to portland a.s.a.p! (denver, co)",denver,http://denver.craigslist.org/rid/3414557515.html,"hello! 
we are a couple who is trying to portland asap. we're both experienced travelers who have gas money to offer, plus a great sense of humor, navigation skills and an ipod full of great tunes. 
we need to get to portland asap! so if you are look [...]",2012-11-16T13:44:46-07:00,emailnotfound,FALSE,denver,2012-11-16T13:44:46-07:00,portland
denver to high rockies rideshare for thanksgiving - nov 21st (denver),denver,http://denver.craigslist.org/rid/3414176676.html,"will have a brand new rental. 
help me with gas $ and i'll drop you off wherever.",2012-11-16T11:21:54-07:00,emailnotfound,TRUE,denver,2012-11-21T11:21:54-07:00,high
ride offered denver to lander wy and points between (dia),denver,http://denver.craigslist.org/rid/3413401050.html,"driving an empty rental from denver to lander wy.. so going up 25 n, through cheyenne, laramie, and rawlins on 80 w, then up 287 to lander. leaving around 630 sunday night (nov 18). riders and bags welcome but must chip on gas. will pick you up withi [...]",2012-11-16T04:58:59-07:00,emailnotfound,TRUE,denver,2012-11-18T04:58:59-07:00,lander
ride denver to nederland or indian peaks,denver,http://denver.craigslist.org/rid/3413201808.html,hi i actually have friday off work and haven't hiked since colorado trail this past summer ... i have money for gas please please please!!!!,2012-11-15T23:25:59-07:00,emailnotfound,FALSE,denver,2012-11-19T23:25:59-07:00,nederland
lookin for a ski/boardin friend for weekend day trips to winterpark (denver),denver,http://denver.craigslist.org/rid/3412773017.html,"hey there. got a winterpark mary jane pass... i'm an intermediate boarder and skier ""boarding this year"" but doesn't matter what you like i'm looking for someone to go riding i can drive or ride we can alternate weekends or i can always drive if you  [...]",2012-11-15T18:22:30-07:00,emailnotfound,FALSE,denver,2012-11-16T18:22:30-07:00,winterpark
