title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
1 megabus ticket to chicago--central station (roosevelt area),desmoines,http://desmoines.craigslist.org/rid/3413060649.html,"i have a one way ticket to chicago on tuesday the 20th @8am from des moines going to central station in downtown chicago. ticket was originally purchased for $41. i'm selling for $25, obo. i'm now getting a ride there with a friend and would really l [...]",2012-11-15T22:19:41-06:00,emailnotfound,TRUE,desmoines,2012-11-20T22:19:41-06:00,chicago
iowa to wisconsin-  (cedar rapids),desmoines,http://desmoines.craigslist.org/rid/3413013271.html,"hi: 
i hope to find a ride to wisconsin for thrusday nov 22 thanksgiving- or leave on friday afternoon. its a four hour drive from cedar rapids striaght to wisconsin (mid state) fond du lac. 
hwy 151 past madison. one day- or a few days- 
i am in sch [...]",2012-11-15T21:45:53-06:00,emailnotfound,TRUE,desmoines,2012-11-22T21:45:53-06:00,wisconsin-
anyone going to minneapolis (windsor height - des moines),desmoines,http://desmoines.craigslist.org/rid/3412874509.html,looking for a ride to minneapolis ill pay gas please let me know call me at 5157073486 want to go tomorrow at 11 .,2012-11-15T20:19:32-06:00,emailnotfound,FALSE,desmoines,2012-11-15T20:19:32-06:00,minneapolis
"ride needed thur mornin 11/15 (davenport,ia to elkhart,in)",desmoines,http://desmoines.craigslist.org/rid/3409220743.html,"i need a ride from davenport,iowa to elkhart,indiana thurs mornin i'm willin to share in gas from a to b if your headed that way swm 40 clean cut good guy just me and my gym bag??? if you can help plz contact rick 810-9double nickle-1069 thx",2012-11-14T10:52:43-06:00,emailnotfound,FALSE,desmoines,2012-11-15T10:52:43-06:00,elkhart
"ride needed to madison, wisconsin, or dubuque iowa, or near fri 16 nov (ames)",desmoines,http://desmoines.craigslist.org/rid/3395188591.html,"i need a ride from ames ia, to madison wi on friday 16 november or thursday night or saturday morning would also work for me. any place close to madison is fine too. 
i'll pay for the gas. thanks!",2012-11-14T00:11:06-06:00,emailnotfound,FALSE,desmoines,2012-11-15T00:11:06-06:00,madison
"headed to the north pacific coast? (pdx, or)",desmoines,http://desmoines.craigslist.org/rid/3405417439.html,"leaving for portland this saturday or sunday. does anyone want a ride out there? i'd love for some help with the driving and/or cash, and i could drop you along the way or possibly take you farther. i'm also coming back the following weekend if your  [...]",2012-11-12T17:29:47-06:00,emailnotfound,TRUE,desmoines,2012-11-17T17:29:47-06:00,the
"heading to portland, or a.s.a.p drivers needed. (all of iowa)",desmoines,http://desmoines.craigslist.org/rid/3388500234.html,"we are driving to portland, or in a 2001 minivan. if you have gas money and a driver's license we will be more than happy to take you there or drop you anywhere on the way. call 309 333 9197 and ask for justin. 2 seats available.",2012-11-12T16:54:39-06:00,emailnotfound,TRUE,desmoines,2012-11-12T16:54:39-06:00,portland
misty lynn to texas (des moines),desmoines,http://desmoines.craigslist.org/rid/3402309477.html,23 yrs old female needs a ride to texas... i gott go home for the holidays and get my dog. i have some gas money,2012-11-11T12:13:08-06:00,emailnotfound,FALSE,desmoines,2012-11-12T12:13:08-06:00,texas
to 7000 vista parkway,desmoines,http://desmoines.craigslist.org/rid/3400049634.html,"need ride to wells fargo during week (maybe saturdays). have to be at work at 10 a.m., off at 7 p.m. (2 p.m. on sat.). willing to go earlier if necessary. will help with gas. from the drake area. starting after thanksgiving.",2012-11-10T10:56:52-06:00,emailnotfound,TRUE,desmoines,2012-11-10T10:56:52-06:00,7000
need ride to mn for thanksgiving,desmoines,http://desmoines.craigslist.org/rid/3399854809.html,"looking to leave anytime on wednesday the 21st and back on sunday the 25th. need dropping off anywhere around the twin cities. will help pay for gas. 
thanks!",2012-11-10T09:37:33-06:00,emailnotfound,FALSE,desmoines,2012-11-25T09:37:33-06:00,mn
