title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"heading to east to boise (wy, mt, id)",eastidaho,http://eastidaho.craigslist.org/rid/3412301016.html,"hello, i'm heading home to nampa, idaho from sheridan, wy. i'm taking the 90 east through billings, bozman, idaho falls, twin, and to boise. if you an help out a little with gas you have a ride. plan on leaving friday morning. give me a call or email [...]",2012-11-15T14:39:22-07:00,emailnotfound,TRUE,eastidaho,2012-11-16T14:39:22-07:00,east
idaho falls to boise 11/16/12 (if to boise),eastidaho,http://eastidaho.craigslist.org/rid/3407415873.html,i am driving to boise and back on friday nov the 16th can share ride if willing to split cost of gas will be leaving if around 9:30am,2012-11-13T13:29:01-07:00,emailnotfound,TRUE,eastidaho,2012-11-16T13:29:01-07:00,boise
ride needed pocatello to boise asap  (pocatello - boise ),eastidaho,http://eastidaho.craigslist.org/rid/3402594862.html,"ride needed pocatello to boise asap . will pay gas. sunday november 11th only. 
thanks 
jim at 7012383777",2012-11-11T13:21:34-07:00,emailnotfound,FALSE,eastidaho,2012-11-11T13:21:34-07:00,boise
idaho falls to ogden or salt lake,eastidaho,http://eastidaho.craigslist.org/rid/3396799490.html,"want to travel from idaho falls to ogden, utah friday, nov. 8, leaving idaho falls around 5pm. 
would like to return sunday afternoon from ogden to idaho falls. 
i could drive, but my vehicle is ""older""--i'd prefer to be a rider, but am willing to he [...]",2012-11-08T20:43:30-07:00,emailnotfound,TRUE,eastidaho,2012-11-08T20:43:30-07:00,ogden
ride from rexburg to driggs nov. 8th (americinn rexburg),eastidaho,http://eastidaho.craigslist.org/rid/3386293099.html,"hello, my sister and i are looking for a ride from the americinn in rexburg to driggs. leaving any time after 2:30pm on thursday would be perfect, and whenever we get to driggs will work just as well. we'll pay for whatever gas runs, and we'll have a [...]",2012-11-04T11:52:05-07:00,emailnotfound,FALSE,eastidaho,2012-11-08T11:52:05-07:00,driggs
to boise for thanksgiving - ride with or will drive (blackfoot),eastidaho,http://eastidaho.craigslist.org/rid/3385897269.html,want to travel to boise wed. 11/21 returning sat. 11/24 - will help pay for gas or will drive if you help pay for gas. could possibly go very early thanksgiving day too. ,2012-11-04T08:49:06-07:00,emailnotfound,FALSE,eastidaho,2012-11-21T08:49:06-07:00,boise
i need a ride from if to challis?!?!  (idaho falls),eastidaho,http://eastidaho.craigslist.org/rid/3377742194.html,title says it all.... if you party even better i have cash money to pay for gas and halloween candy lol .... ,2012-10-31T14:06:41-06:00,emailnotfound,FALSE,eastidaho,2012-10-36T14:06:41-06:00,challis
"seeking ride: jackson, wy to if 11/7 (jackson)",eastidaho,http://eastidaho.craigslist.org/rid/3369234791.html,"i am staying in jackson and need to catch a bus in idaho falls at noon on wednesday, november 7. i would love to ride with you if you are headed that way. i am happy to contribute for gas! 
you can call me at 301.351.2303. 
thanks! 
maura",2012-10-27T14:58:26-06:00,emailnotfound,FALSE,eastidaho,2012-11-07T14:58:26-06:00,if
"rexburg to missouri, nov. 5th (from rexburg)",eastidaho,http://eastidaho.craigslist.org/rid/3368765711.html,"i have room from 1 or 2 people heading east mostly along i-80 who can help with cost of gas. small car, very fuel efficient. can pick up or drop off along the way. non-smokers. leaving monday, november 5th in the early am. email me if you need a ride [...]",2012-10-27T11:36:25-06:00,emailnotfound,TRUE,eastidaho,2012-11-05T11:36:25-06:00,missouri
"offered: if to jackson, wy 10/18",eastidaho,http://eastidaho.craigslist.org/rid/3347440337.html,"i'm driving through idaho falls this evening on my way home to jackson. 
i have room for a rider or two. i have a bike rack and room for stuff. 
chip in for gas and you have a ride! 
sarah: 801-376-1451",2012-10-18T08:36:04-06:00,emailnotfound,TRUE,eastidaho,2012-10-18T08:36:04-06:00,jackson
