title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offer to portland sunday 11/18 (or to tacoma washington),eugene,http://eugene.craigslist.org/rid/3417926642.html,safe friendly ride with me and a dog to either portland or all the way to tacoma wa. ride is $15 to portland more to tacoma sunday 11/17 today early afternoon no smokers in the car room in trunk for average sized bags but not for anything big. send y [...],2012-11-18T03:18:17-08:00,emailnotfound,TRUE,eugene,2012-11-18T03:18:17-08:00,portland
need ride to bend tuesday or wednesday (eugene (campus area)),eugene,http://eugene.craigslist.org/rid/3417567098.html,"21 year old college student looking to hitch a ride back to bend for the holiday! i'm more than happy to pitch in for half the gas and my cargo will include a bag and a guitar. please let me know if you can offer a ride! 
-dan",2012-11-17T19:16:54-08:00,emailnotfound,FALSE,eugene,2012-11-20T19:16:54-08:00,bend
ride offer: eugene to portland 11/21 (campus),eugene,http://eugene.craigslist.org/rid/3417494781.html,"i'm a uo student and will be going to portland after my class on wednesday @ 2 pm. 
i have 3 seats available, $15 a person and i can pick you up and drop you off wherever. 
call/text 971-340-8926 ",2012-11-17T18:24:51-08:00,emailnotfound,TRUE,eugene,2012-11-21T18:24:51-08:00,portland
ride offered: eugene to roseburg 11/20,eugene,http://eugene.craigslist.org/rid/3417216554.html,"ride offered from eugene to roseburg, leaving on tuesday. we'll probably be in the area around 2pm to 4pm. there will be 2 dogs and 1 cat riding in the car. the dogs will be loose, but will sleep most of the way. there will be some room for luggage,  [...]",2012-11-17T15:39:30-08:00,emailnotfound,TRUE,eugene,2012-11-20T15:39:30-08:00,roseburg
do you need a ride? local or not willing to travel if you have gas $ (eug/spring/corv ),eugene,http://eugene.craigslist.org/rid/3389248904.html,"hey so i am low on money and have a decent size newer van that can fit alot of stuff in it. i am not really trying to load it with people as that would be a risk to me and you and i am not licensed to be a taxi,however i am insured and would love to  [...]",2012-11-17T15:08:48-08:00,emailnotfound,FALSE,eugene,2012-11-19T15:08:48-08:00,travel
**ride needed today!** eugene to portland.  i have gas money!,eugene,http://eugene.craigslist.org/rid/3416898627.html,"like the title says, i need a ride to portland this evening. my ride fell apart on me, and so i need to get up there asap. 
i'm mostly quiet, i keep to myself, and i have gas money. what more could you ask? 
call me at 541 513 3041 if you can help! 
 [...]",2012-11-17T13:07:02-08:00,emailnotfound,FALSE,eugene,2012-11-17T13:07:02-08:00,portland.
ride offered to med/gp/ashland fri 11/23 (eugene to medford/ashland),eugene,http://eugene.craigslist.org/rid/3416861081.html,"driving from eugene to southern oregon. leaving about 5:30-6:00 pm. 
room for 1 or 2 riders and gear. experienced rideshare driver. 
traveling on friday nov. 23rd. share gas cost.",2012-11-17T12:51:00-08:00,emailnotfound,TRUE,eugene,2012-11-23T12:51:00-08:00,med/gp/ashland
ride offered to portland mon 11/19 (eugene to portland),eugene,http://eugene.craigslist.org/rid/3411742253.html,"ride offered from eugene to portland mon 11/19. time flexible. 
room for 1 or 2 riders and gear.return available 11/23. 
experienced rideshare driver. email if interested.",2012-11-17T12:38:58-08:00,emailnotfound,TRUE,eugene,2012-11-19T12:38:58-08:00,portland
need ride from grants pass to eugene on tuesday or wensday (grants pass),eugene,http://eugene.craigslist.org/rid/3416685501.html,hi. need a ride from grants pass up to eugene for thanksgiving. have gas money and a valid drivers liscence. thank you very much in advance!,2012-11-17T11:38:58-08:00,emailnotfound,FALSE,eugene,2012-11-19T11:38:58-08:00,eugene
offered: eugene to corvallis (sat) @ noon (downtown),eugene,http://eugene.craigslist.org/rid/3416581886.html,"heading up that direction around noon. also making stops in monmouth, albany sheraton and such. i am distributing marketing materials so this might not be the fastest ride ever after corvallis. 
call: 541-514-o688",2012-11-17T10:58:17-08:00,emailnotfound,TRUE,eugene,2012-11-19T10:58:17-08:00,corvallis
riders wanted.   down i-5 to socal,eugene,http://eugene.craigslist.org/rid/3416270533.html,i am heading to the palmdale area. i will be leaving around three pm on the 21st and i would like to drive through the night. i will be returning sunday morning to come back to eugene. just a thanksgiving turn around trip. if interested text me at 76 [...],2012-11-17T08:58:59-08:00,emailnotfound,TRUE,eugene,2012-11-18T08:58:59-08:00,socal
ride share: offer eugene to medford (eugene near i-5),eugene,http://eugene.craigslist.org/rid/3415685546.html,"i will be driving down from portland wednesday november 21st . leaving eugene no later then 4:00 pm. i do ride share quite often, college aged, easy going, easy riding. 
split gas and lets be cool 
i'm all for listing to all shorts of music. 
rage it [...]",2012-11-17T01:39:12-08:00,emailnotfound,TRUE,eugene,2012-11-21T01:39:12-08:00,medford
"ride offered eugene-&gt;portland, sun 11/18 (eugene river rd to se p-town)",eugene,http://eugene.craigslist.org/rid/3415613057.html,"hey there! 
i'm heading up to portland on sunday afternoon, probably around 3ish, and am already giving a ride to two other folks but have room for at least one more (and more if they end up not coming after all...). $15 for the ride, no smoking or d [...]",2012-11-16T23:31:03-08:00,emailnotfound,TRUE,eugene,2012-11-18T23:31:03-08:00,se
offering ride south (eugene to redding area),eugene,http://eugene.craigslist.org/rid/3415596670.html,"hola! i am heading south on the i-5 early sunday morning from eugene to the redding/chico area. i could pick folks up in grants pass, medford, ashland, or anywhere along i-5. i have a bunch of room so if you have gas money or super rad trades and you [...]",2012-11-16T23:08:45-08:00,emailnotfound,TRUE,eugene,2012-11-19T23:08:45-08:00,redding
"ride needed to omaha, nebraska, sunday 18th november (eugene)",eugene,http://eugene.craigslist.org/rid/3415555654.html,"hello, 
i'm seeking a rideshare for this sunday 18th november to omaha, nebraska for the holidays. 
if there's anyone out there making a trip like that pls e-mail me, if you include your number i'll give you a call. 
i can help with gas and i have a  [...]",2012-11-16T22:18:56-08:00,emailnotfound,FALSE,eugene,2012-11-18T22:18:56-08:00,omaha
ride needed the 17th or 18th to portland (eugene to portland),eugene,http://eugene.craigslist.org/rid/3415404141.html,my name is michael im a 22 year old artist. im looking to head home to portland tomorrow saturday the 17th or sunday the 18th. im traveling with one backpacking back pack. if you have room please cal me at 541 654 6919 asap. thanks and have a great d [...],2012-11-16T20:00:16-08:00,emailnotfound,FALSE,eugene,2012-11-16T20:00:16-08:00,portland
need ride to portland tonight,eugene,http://eugene.craigslist.org/rid/3415342359.html,i need to get to portland tonight. have gas money and can meet you anywhere in eugene. ,2012-11-16T19:14:58-08:00,emailnotfound,FALSE,eugene,2012-11-19T19:14:58-08:00,portland
need a ride from eugene to ashland on / or11/21/2012 (ashland/medford),eugene,http://eugene.craigslist.org/rid/3415215274.html,"hello, 
my name is alex. i am looking for a ride from eugene to the medford/ashland area on nov. 21. i will pay for gas. 
i live and work in a restaurant in eugene and need to get to ashland to spend thanksgiving with my sister. 
please give me a cal [...]",2012-11-16T17:52:27-08:00,emailnotfound,FALSE,eugene,2012-11-21T17:52:27-08:00,ashland
ride share wanted (springfield to eugene),eugene,http://eugene.craigslist.org/rid/3414843680.html,let's share a ride from springfield to eugene tuesday through saturdays from 32nd and main in sprgfld to valley river center 8:30 am to 5:30 pm i have a car we can use but we also can take your'd and we can share on gas money ..plz call david 541 606 [...],2012-11-16T14:43:19-08:00,emailnotfound,FALSE,eugene,2012-11-19T14:43:19-08:00,eugene
bend to eugene sun.11-25,eugene,http://eugene.craigslist.org/rid/3389808693.html,"hey! looking for a ride bend to eugene on sunday the 25th, i have gas money! really laid back, nice, ya dee ya da, let me know if you have an open seat! and again, i have gas money!! thank you! :) ",2012-11-16T14:35:12-08:00,emailnotfound,FALSE,eugene,2012-11-25T14:35:12-08:00,eugene
