title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"does anyone need a ride enroute to lebanon, ohio? (g.r., mi- lebanon, ohio)",grandrapids,http://grandrapids.craigslist.org/rid/3412908543.html,"need to haul some items via small pick-up to lebanon, ohio for a friend. 
looking to leave late nov.24th, will be leaving from down there near noon on the 26th. 
all i ask, is that you split the gas cost from point i pick you up, to point being dropp [...]",2012-11-17T22:26:14-05:00,emailnotfound,TRUE,grandrapids,2012-11-26T22:26:14-05:00,lebanon
michigan to texas (mi to tx),grandrapids,http://grandrapids.craigslist.org/rid/3410263413.html,"leaving michigan the 24th-25th can take people or packages can drop off anywhere in between, need help with the gas. i will be driving straight thru, thanks for looking. 
david",2012-11-14T18:36:03-05:00,emailnotfound,TRUE,grandrapids,2012-11-24T18:36:03-05:00,texas
ride needed gr to traverse city for fire making workshop (gr/west side),grandrapids,http://grandrapids.craigslist.org/rid/3404128873.html,"hi, all! 
i'm really wanting to go to the human nature school (traverse city) on november 24th for their fire-making workshop. this is the saturday after thanksgiving. if anybody out there in craigslistland also wants to go and has a reliable vehicle [...]",2012-11-12T10:42:02-05:00,emailnotfound,FALSE,grandrapids,2012-11-24T10:42:02-05:00,traverse
in need of a ride to metro detroit area (gr to detroit),grandrapids,http://grandrapids.craigslist.org/rid/3397643176.html,looking to find a ride to metro detroit area departing anytime between 6 p.m. on any saturday and 10 a.m any sunday. willing to share fuel expense plus. one way or round trip. every weekend. i specifically need to get to pontiac but anywhere near the [...],2012-11-09T11:24:55-05:00,emailnotfound,TRUE,grandrapids,2012-11-10T11:24:55-05:00,metro
going to apple grove wv (rockford),grandrapids,http://grandrapids.craigslist.org/rid/3393976803.html,"i'm going to apple grove wv monday the 12th, ill be leaving from the rockford mi area and heading south to three rivers. then to wv from there.",2012-11-07T18:25:04-05:00,emailnotfound,TRUE,grandrapids,2012-11-12T18:25:04-05:00,apple
ride offered - allendale charter township to lansing on fri 10/26 (allendale charter township),grandrapids,http://grandrapids.craigslist.org/rid/3361309434.html,"i'm offering a ride from allendale charter township to lansing. 
leaving october 26th returning october 28th. going to visit my girlfriend at msu for halloween weekend. i was hoping to pick up a few riders to make the ride more fun and help pay for g [...]",2012-10-24T09:50:10-04:00,emailnotfound,TRUE,grandrapids,2012-10-26T09:50:10-04:00,lansing
gr to oxford on nov. 4th,grandrapids,http://grandrapids.craigslist.org/rid/3361300324.html,"hello all, 
i'm looking for a ride to oxford and back on nov. 4th... early morning and then evening coming back. i know this is a long shot, but if you're headed that way, please let me know. i'm going to the upland hills ecological awareness center  [...]",2012-10-24T09:45:36-04:00,emailnotfound,FALSE,grandrapids,2012-11-04T09:45:36-04:00,oxford
looking to go anywhere. (gr to ?),grandrapids,http://grandrapids.craigslist.org/rid/3357803245.html,"i just want to stretch my legs a bit. get the hell out of grand rapids and see what else is out there. 
26yr old female. pretty open to whatever really. 
i have a car. just want some company. money for gas a plus but being broke wont totally kill you [...]",2012-10-22T19:03:35-04:00,emailnotfound,FALSE,grandrapids,2012-10-22T19:03:35-04:00,go
ride from breton/44th to chicago dr/byron ct rd (kentwood/wyoming/grand rapids),grandrapids,http://grandrapids.craigslist.org/rid/3357253521.html,"we are looking for transportation from the breton/44th ave area to chicago dr/byron center rd, monday - friday from 4:30-5:00am. 
shared/partial compensation for gas will be provided. 
please respond if interested for more details.",2012-10-22T15:27:29-04:00,emailnotfound,TRUE,grandrapids,2012-10-22T15:27:29-04:00,chicago
"offering ride: grand rapids to bozeman, mt... and in between (via chicago, minneapolis, etc...)",grandrapids,http://grandrapids.craigslist.org/rid/3339268250.html,"driving from grand rapids to bozeman, mt via chicago. one way. leave early sun the 21st. can take riders partway (anywhere along i-94) or the whole way, but i'm planning on sleeping in my car one night so if you're in for the long haul you'll have to [...]",2012-10-14T20:31:01-04:00,emailnotfound,TRUE,grandrapids,2012-10-14T20:31:01-04:00,bozeman
