title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"ride offered from greensboro to savannah, ga sunday (greensboro)",greensboro,http://greensboro.craigslist.org/rid/3417845175.html,"driving a honda pilot, heading towards savannah ga (220/i74 south towards florence, sc then i-95 south) 
will be leaving greensboro at about 1 pm. 
if you need a ride along this way, please contact me. safety is #1. ",2012-11-18T03:24:43-05:00,emailnotfound,TRUE,greensboro,2012-11-18T03:24:43-05:00,savannah
share driving my car (high point to denver),greensboro,http://greensboro.craigslist.org/rid/3417335634.html,"leaving high point, nc on tues., 11/20 or wed., 11/21. destination is colorado springs, co. i have a subaru outback, automatic, with cruise control. i'll pay for the fuel, food and tolls. need help with the driving. have room for only one non-smoker, [...]",2012-11-17T19:44:55-05:00,emailnotfound,TRUE,greensboro,2012-11-20T19:44:55-05:00,denver
need ride (nashville to el paso),greensboro,http://greensboro.craigslist.org/rid/3416126845.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap. ,2012-11-17T11:01:37-05:00,emailnotfound,FALSE,greensboro,2012-11-17T11:01:37-05:00,el
need ride  (nashville to el paso),greensboro,http://greensboro.craigslist.org/rid/3416124103.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap. ,2012-11-17T11:00:28-05:00,emailnotfound,FALSE,greensboro,2012-11-17T11:00:28-05:00,el
ride offered - high point to atlanta on wed 10/31 (high point),greensboro,http://greensboro.craigslist.org/rid/3371558533.html,"i'm offering a ride from high point to atlanta. 
leaving october 31st returning november 3rd. every week for the next 3 weeks i'll be traveling up saturday evening to high point nc and coming back to atlanta ga on wednesday. i drive a nice gas effici [...]",2012-11-16T11:11:18-05:00,emailnotfound,TRUE,greensboro,2012-10-31T11:11:18-05:00,atlanta
going to ohio on sunday and returning monday (i-40 / i-77 ),greensboro,http://greensboro.craigslist.org/rid/3408563609.html,"will be coming thru greensboro / winston area on sunday and can stop anywhere along i-77 in va, wv then up hwy 35 and i-75 in ohio 
headed back toward nc on monday and will only have room for 1 passenger and luggage",2012-11-14T02:31:33-05:00,emailnotfound,TRUE,greensboro,2012-11-19T02:31:33-05:00,ohio
i need a ride from greensboro to chapel hill this sunday (greensboro to ch),greensboro,http://greensboro.craigslist.org/rid/3391287665.html,"hey guys, i need a ride to chapel hill this sunday, preferrably in the morning. i have a ride back, and will pay half of gas to get there. please respond asap. ",2012-11-06T15:54:03-05:00,emailnotfound,FALSE,greensboro,2012-11-06T15:54:03-05:00,chapel
ride needed to nj/ny/pa wednesday before t-giving (greensboro -&gt; nj/ny/pa),greensboro,http://greensboro.craigslist.org/rid/3391258977.html,"ride needed from greensboro or nearby to nj the wednesday before thanksgiving. november 21st 
new york or philly would also be okay as a drop of spot. 
two friendly college kids trying to make it home for thanksgiving. 
we can contribute with gas mon [...]",2012-11-06T15:42:26-05:00,emailnotfound,TRUE,greensboro,2012-11-21T15:42:26-05:00,nj/ny/pa
ride needed from greensboro to atlanta or tampa,greensboro,http://greensboro.craigslist.org/rid/3382104883.html,"i am trying to catch a ride south to atl. ga, or tampa fl, asap. i can help with gas expenses. if this works for you please call 336-268-6590. thank you",2012-11-02T15:16:14-04:00,emailnotfound,FALSE,greensboro,2012-11-02T15:16:14-04:00,atlanta
heading to northern va in the morning (greensboro to prince william county),greensboro,http://greensboro.craigslist.org/rid/3381958006.html,i am heading to northern va tomorrow morning. i will be going 85 and then 95. i have to make a stop in petersburg for work but other than that it will be a straight shot. very nice suv with plenty of room for passengers and luggage. a reasonable cont [...],2012-11-02T14:20:51-04:00,emailnotfound,TRUE,greensboro,2012-11-02T14:20:51-04:00,northern
looking for ride to s/w fla. for the thanksgiving hol. (thomasville..),greensboro,http://greensboro.craigslist.org/rid/3373454158.html,"hello. my name is matt, i am looking for a ride to bonita springs or naples, fla. leaving the night of the 21st.. i will pay for gas there and back.. returning sunday the 25th... 
please get in touch if you're heading that way..",2012-10-29T17:57:39-04:00,emailnotfound,FALSE,greensboro,2012-10-25T17:57:39-04:00,s/w
ride needed north carolina to arkansas (north carolina to arkansas),greensboro,http://greensboro.craigslist.org/rid/3371842082.html,"i am looking for a ride from north carolina to arkansas. willing to split gas costs with you and willing to leave anytime after nov. 2nd. 
please let me know if you can help! ",2012-10-29T01:00:08-04:00,emailnotfound,FALSE,greensboro,2012-11-02T01:00:08-04:00,arkansas
i need /would like a ride to charlotte  (greensboro ),greensboro,http://greensboro.craigslist.org/rid/3368312065.html,im look for a ride to charlotte. today i'm nice clean and respectable. young. college. student please. help call or txt me 7043900195 ,2012-10-27T10:23:32-04:00,emailnotfound,FALSE,greensboro,2012-10-27T10:23:32-04:00,charlotte
driving to lynchburg,greensboro,http://greensboro.craigslist.org/rid/3344201025.html,"driving up to lynchburg, va on friday, can pick up anywhere along the way. one way in my car typically costs $50 in gas, so looking for someone who can contribute at least part of that amount. thanks",2012-10-16T20:59:15-04:00,emailnotfound,TRUE,greensboro,2012-10-19T20:59:15-04:00,lynchburg
"needed- ride to syracuse (syracuse, ny)",greensboro,http://greensboro.craigslist.org/rid/3332989719.html,"if anyone is going to ny, specifically syracuse within the next few days and willing to take passengers, please let me know. i will help with gas money. ",2012-10-11T22:18:18-04:00,emailnotfound,FALSE,greensboro,2012-10-15T22:18:18-04:00,syracuse
ride offered: gso to blacksburg-charleston(wva)-columbus-dayton (guilford college area),greensboro,http://greensboro.craigslist.org/rid/3322828587.html,"offering a ride from greensboro, nc to dayton, oh or all points inbetween or nearby such as blacksburg, va, charleston (wv) or columbus (oh) or dayton, oh. 
please contact me if interested. a gas money contribution will be scaled to the distance trav [...]",2012-10-07T14:54:52-04:00,emailnotfound,TRUE,greensboro,2012-10-08T14:54:52-04:00,blacksburg-charleston
gso to charlotte,greensboro,http://greensboro.craigslist.org/rid/3320919798.html,"going to charlotte today last train leave at 6 pm but i will not be bale to make it i need a ride ti charlotte one way me and my friend 
from gboro to charlotte 
please be sane im willing to pay 25 worth of gas he most i will do is 30 that's it 
if i [...]",2012-10-06T15:10:45-04:00,emailnotfound,FALSE,greensboro,2012-10-06T15:10:45-04:00,charlotte
driving up to new york through greensboro any one wanna ride up.,greensboro,http://greensboro.craigslist.org/rid/3316051983.html,looking for someone heading up north that wants to go to new york or any other stop on the way there..contact me fast thinking of leaving tomorrow.,2012-10-04T13:11:58-04:00,emailnotfound,TRUE,greensboro,2012-10-04T13:11:58-04:00,new
going to vt,greensboro,http://greensboro.craigslist.org/rid/3315210601.html,"i'm going to vt thursday or friday. looking for someone to keep me company and help on gas. i'll drop you off any where along the way. i'm a nice guy from the bay area. 
email me or call me (415) 342-9465",2012-10-04T02:23:14-04:00,emailnotfound,TRUE,greensboro,2012-10-04T02:23:14-04:00,vt
going to nyc (alamance),greensboro,http://greensboro.craigslist.org/rid/3314901129.html,"friday early, early am, return tuesdayshare costs stop for gas and food only.no smoking.",2012-10-03T21:51:39-04:00,emailnotfound,TRUE,greensboro,2012-10-09T21:51:39-04:00,nyc
