title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ct to roanoke rapids nc,hartford,http://hartford.craigslist.org/rid/3365052651.html,"i'll be driving south along i-95; leaving december 15th +/- 
if anyone would like to be dropped off along the 95 corridor, let me know. 
are you going home for the holidays? 
i'm willing to pick you up anywhere south of hartford. 
driving a jeep cher [...]",2012-11-17T15:19:06-05:00,emailnotfound,TRUE,hartford,2012-12-15T15:19:06-05:00,roanoke
offering ride to pittsburgh and points in between (hartford),hartford,http://hartford.craigslist.org/rid/3414915481.html,leaving monday around noon. just asking for some gas money. call 972-898-8334. i've got a bad signal where i'm at so leave a message if i don't pick up and i'll call you back.,2012-11-16T18:16:04-05:00,emailnotfound,TRUE,hartford,2012-11-19T18:16:04-05:00,pittsburgh
share drive from ct to san francisco 1/1/13 (hartford ),hartford,http://hartford.craigslist.org/rid/3413836533.html,"looking to share the drive with anyone moving or visiting san francisco area in january. i have made the trip 3 times before. one way only. i have an older but reliable minivan and while i'm moving there, will provide room for another person to trave [...]",2012-11-16T11:17:38-05:00,emailnotfound,TRUE,hartford,2012-01-01T11:17:38-05:00,san
hartford to burlington vt,hartford,http://hartford.craigslist.org/rid/3412105574.html,"i am driving from hartford ct friday mornin, nov 16. i have room for one person and their items, or can transport items northward (i'm travelling by pickup truck). i can drop someone off along the i-91 corridor- springfield, northampton, white river  [...]",2012-11-15T15:18:19-05:00,emailnotfound,TRUE,hartford,2012-11-16T15:18:19-05:00,burlington
hartford to buffalo ny 11/19/12 (hartford),hartford,http://hartford.craigslist.org/rid/3410168936.html,"i am driving home for the thanksgiving holiday. i am leaving 11/19/12 in the morning and driving non-stop. i'd love to share the cost of the trip. if i get one person to share, it will be $50. the more people we have, the cheaper it will be. if you a [...]",2012-11-14T17:52:27-05:00,emailnotfound,TRUE,hartford,2012-11-19T17:52:27-05:00,buffalo
"hartford to boston....tonight 6pm sharp (hartford, ct)",hartford,http://hartford.craigslist.org/rid/3384307177.html,"driving from hartford, ct to boston, ma today at 6:00pm sharp. i am driving a new minivan with plenty of room for 5 people and their belongings. can drop you off anywhere in nyc or along the way. if you need more of a door thing because of all the st [...]",2012-11-03T14:57:00-04:00,emailnotfound,TRUE,hartford,2012-11-03T14:57:00-04:00,boston
"tomorrow: ride offered to dc or anywhere on the way nyc, philly, bmore (boston, ma)",hartford,http://hartford.craigslist.org/rid/3383486223.html,"tomorow morning (sunday, nov 4), i'm leaving massachusetts to drive to dc tomorrow. if you are looking for a ride to anywhere along i-95 s, i can take you there. i'm looking for someone who can contribute money for gas & tolls. 
i am driving a pick u [...]",2012-11-03T08:57:23-04:00,emailnotfound,TRUE,hartford,2012-11-03T08:57:23-04:00,dc
from hartford to woshinton dc (hartford),hartford,http://hartford.craigslist.org/rid/3377022422.html,hi. driving from ct to washington this friday. coming back sunday morning,2012-10-31T11:22:34-04:00,emailnotfound,TRUE,hartford,2012-10-33T11:22:34-04:00,woshinton
affordable rates to any city,hartford,http://hartford.craigslist.org/rid/3332969326.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-30T20:41:53-04:00,emailnotfound,FALSE,hartford,2012-10-33T20:41:53-04:00,any
considering joining a carpool (new britain to hartford or manchester),hartford,http://hartford.craigslist.org/rid/3325815364.html,i am in new britain (by ccsu) and will be needing transportation to s.winsdor (echn facility near buckland hills/evergreen walk/manchester) for m-f around 8/830am. i don't drive currently and avoid taking the bus for long distances but if anyone make [...],2012-10-29T14:16:53-04:00,emailnotfound,TRUE,hartford,2012-08-83T14:16:53-04:00,hartford
