title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
wanted woman who likes to ride a bike (houston),houston,http://houston.craigslist.org/rid/3417766541.html,"i single and looking a woman who wants to go riding can leave thurs night come back sunday. 
send pic4 pic & put in subject "" live to ride & ride to live"" or email will be delate!! 
me 51yrs old, 5'10"", 235lbs ",2012-11-18T00:25:14-06:00,emailnotfound,FALSE,houston,2012-11-22T00:25:14-06:00,ride
houston to ardmore ok (or in between) (houston),houston,http://houston.craigslist.org/rid/3417448546.html,"need to go to the wonderful metropolis that is ardmore 'merica, or somewhere in between? need something hauled? must like dogs, 3 will be in the back seat, non-smoker (in the truck that is). leaving tuesday after work or wednesday morning. ",2012-11-17T19:54:06-06:00,emailnotfound,TRUE,houston,2012-11-20T19:54:06-06:00,ardmore
driving from houston to central california on tuesday,houston,http://houston.craigslist.org/rid/3417133188.html,"i am driving from houston to california, departing tuesday morning. i plan on arriving in calaveras county in california early thursday. i can pick you up near the airport in houston. please give me a call with any further questions. 818 232 2390",2012-11-17T16:56:13-06:00,emailnotfound,TRUE,houston,2012-11-20T16:56:13-06:00,central
ride offered - houston to raleigh on tue 11/20 (houston),houston,http://houston.craigslist.org/rid/3416705999.html,"i'm offering a ride from houston to raleigh. 
leaving november 20th. i have never done this before but it seems simple enough. if you like music and talking then lets go!!! i am driving either way so if you don't have the 100 bucks text me and we can [...]",2012-11-17T13:47:15-06:00,emailnotfound,TRUE,houston,2012-11-20T13:47:15-06:00,raleigh
houston to los angeles (houston),houston,http://houston.craigslist.org/rid/3416326300.html,"anyone going to los angles or orange county in california from nov 29-dec 2? either one-way or roundrrip? will help with gas. 
thanks",2012-11-17T11:20:37-06:00,emailnotfound,TRUE,houston,2012-11-29T11:20:37-06:00,los
"houston to elgin, ll. on dec. 21 (houston)",houston,http://houston.craigslist.org/rid/3392093370.html,"my son and i will be driving to elgin, illinois on december 21. plan on driving straight through which is about a 22 hour drive. will be driving my 2005 chevy extended cab truck with camper top.if you are going to the chicago area or need something b [...]",2012-11-17T08:26:00-06:00,emailnotfound,TRUE,houston,2012-12-21T08:26:00-06:00,elgin
houston(texas) to anaheim hills(cali) (10 interstate),houston,http://houston.craigslist.org/rid/3414882344.html,"i'm driving from houston texas to anaheim hills cali. i'm using the 10 interstate the whole way. i'll be leaving sometime saturday 11-17-2012. 
texas cities passing through. 
houston(main city), sugar land, seguin, san antonio(main city), boeme, comf [...]",2012-11-16T17:00:41-06:00,emailnotfound,TRUE,houston,2012-11-17T17:00:41-06:00,anaheim
houston to atlanta on 7th of december,houston,http://houston.craigslist.org/rid/3413421267.html,"hi! 
i am driving from houston to atlanta on december the 7th. 
please let me know if someone needs to share ride. 
thanks, 
ashish",2012-11-16T06:23:44-06:00,emailnotfound,FALSE,houston,2012-11-07T06:23:44-06:00,atlanta
houston to new york ride offer (houston),houston,http://houston.craigslist.org/rid/3412769394.html,"im driving from the above tomorrow evening have room for two passengers 
please call me 407 497 2613 
need someone to help me drive and pitch in for gas. 
leaving friday evening ",2012-11-15T19:20:30-06:00,emailnotfound,TRUE,houston,2012-11-15T19:20:30-06:00,new
sugar land to austin 11/16 or 11/17 (sugar land),houston,http://houston.craigslist.org/rid/3410806255.html,was thinking of going to austin on friday evening 11/16 or saturday morning 11/17.,2012-11-14T23:01:41-06:00,emailnotfound,TRUE,houston,2012-11-16T23:01:41-06:00,austin
ride offered - houston to college station on thu 11/15 (houston),houston,http://houston.craigslist.org/rid/3409587306.html,"i'm offering a ride from houston to college station. 
leaving november 15th. contact me on zimride: http://www.zimride.com/ride/share?ride=531616 ",2012-11-14T13:04:38-06:00,emailnotfound,TRUE,houston,2012-11-15T13:04:38-06:00,college
any1 coming to montana (tx to mt),houston,http://houston.craigslist.org/rid/3409559234.html,looking for someone who maybe in texas and coming to montana or or doing a round trip! i'm purchasing new seats front and back and am needing them hauled from houston as close to hamilton mt as possible! getting them shipped is way out of budget! so  [...],2012-11-14T12:54:13-06:00,emailnotfound,TRUE,houston,2012-11-19T12:54:13-06:00,montana
need ride  (houston to austin),houston,http://houston.craigslist.org/rid/3408997829.html,i will trade a ticket to the f1 practice on friday for a ride to austin early friday morning (need to arrive by 9:00 am). i will be staying near the airport in nw houston. ,2012-11-14T09:24:21-06:00,emailnotfound,TRUE,houston,2012-11-16T09:24:21-06:00,austin
ride offer from houston anywhere to miami on the i-10 (houston to miami),houston,http://houston.craigslist.org/rid/3408393873.html,"i'm gonna take a road trip from houston to miami around november 19th (give or take a few days), in my minivan. if you, your pet, or your stuff need a ride anywhere on the way i'd gladly try to accomodate the offer if you are trustworthy, easy to get [...]",2012-11-13T22:25:45-06:00,emailnotfound,TRUE,houston,2012-11-19T22:25:45-06:00,miami
houston to lufkin/shreveport (katy/houston),houston,http://houston.craigslist.org/rid/3408240717.html,"leaving katy/houston on 11/14 (wednesday) afternoon and heading to shreveport via lufkin 
anyone looking for rideshare needs to contact me 
must be non smoker/no drug/clean hygine ",2012-11-13T20:43:53-06:00,emailnotfound,TRUE,houston,2012-11-14T20:43:53-06:00,lufkin/shreveport
houston to san franciso (11-19-12),houston,http://houston.craigslist.org/rid/3405005195.html,"i need a ride to oakland. ca 
leaving tuesday 11-19-12 
i will share driving and all expenses. 
i dont fly. 
period. 
white,male, 
55 yoa, married 
4 kids 
contact me if you are heading west.........scott",2012-11-12T14:47:11-06:00,emailnotfound,FALSE,houston,2012-11-13T14:47:11-06:00,san
"offering ride to jonesboro, arkansas or points in between (conroe)",houston,http://houston.craigslist.org/rid/3404394286.html,just asking for some gas money. call me at 972-898-8334.,2012-11-12T11:16:56-06:00,emailnotfound,TRUE,houston,2012-11-12T11:16:56-06:00,jonesboro
need ride from nw houston to montgomery (langford),houston,http://houston.craigslist.org/rid/3404380437.html,need to go this afternoon. offering $20 for gas. please call me at 972-898-8334.,2012-11-12T11:12:22-06:00,emailnotfound,TRUE,houston,2012-11-12T11:12:22-06:00,montgomery
ride offered! houston to atlanta or anywhere down i10  (houston),houston,http://houston.craigslist.org/rid/3404308329.html,"hello, i will be driving to atlanta either tomorrow or on weds. im 31, very laid back and easy to get along with and great conversationislst. if you need a ride anywhere down i10 please let me know, i have enough room in my car for on piece of luggag [...]",2012-11-12T10:47:41-06:00,emailnotfound,TRUE,houston,2012-11-12T10:47:41-06:00,atlanta
wanted: ride to westcoast (houston),houston,http://houston.craigslist.org/rid/3402678588.html,"looking to go back to los angeles today or tomorrow. if you are going in that general direction, even if it's just to arizona, please contact me!",2012-11-11T15:01:01-06:00,emailnotfound,FALSE,houston,2012-11-11T15:01:01-06:00,westcoast
giving ride to dallas---now (houston to dallas),houston,http://houston.craigslist.org/rid/3401026912.html,giving ride to dallas now (saturday evening late or very early sunday morning--4:00am,2012-11-10T18:04:57-06:00,emailnotfound,TRUE,houston,2012-11-10T18:04:57-06:00,dallas
i need to pay for a ride to work in sugarland,houston,http://houston.craigslist.org/rid/3400999260.html,"i am an electrician and will be starting a job in sugarland on tuesday. i don't know the exact location as yet but will find out monday. i am looking to pay someone who works in sugarland for a ride to and possibly from work. i live in midtown, but c [...]",2012-11-10T17:49:19-06:00,emailnotfound,FALSE,houston,2012-11-12T17:49:19-06:00,pay
houston to denver! early jan.,houston,http://houston.craigslist.org/rid/3400002775.html,i will be moving to denver at the beginning of january. i will be driving a truck filled with mine and a friends furniture so i have no way of getting my own car up there. if you need to get to colorado in early january and have a drivers license ple [...],2012-11-10T10:38:50-06:00,emailnotfound,TRUE,houston,2012-11-16T10:38:50-06:00,denver
