title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - kalamazoo to flint on tue 11/20 (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3413967578.html,"i'm offering a ride from kalamazoo to flint. 
leaving november 20th returning november 25th. i drive a 2001 ford crown victoria. it is reliable with a recent oil change, a rebuilt transmission, properly inflated newer tires, heat and a/c work, and al [...]",2012-11-16T12:06:22-05:00,emailnotfound,TRUE,kalamazoo,2012-11-20T12:06:22-05:00,flint
kalamazoo mi to austin tx (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3406019391.html,"driving from kalamazoo to austin on friday, nov 17 ",2012-11-15T16:12:35-05:00,emailnotfound,TRUE,kalamazoo,2012-11-17T16:12:35-05:00,austin
kzoo to metro detroit 11/15  (metro detroit),kalamazoo,http://kalamazoo.craigslist.org/rid/3408309030.html,leaving chicago area thursday nov 15th @ 7:30am sharp... heading to metro detroit area... can drop off anywhere along the i-94 corridor.. sometimes i take m-14 thru ann arbor to i-275 to i-696 to go home.. call/text after before 9am or after 3pm if y [...],2012-11-13T22:26:02-05:00,emailnotfound,TRUE,kalamazoo,2012-11-15T22:26:02-05:00,metro
"to sw florida, november 1-8 (pt. charlotte, fl &amp; locations enroute)",kalamazoo,http://kalamazoo.craigslist.org/rid/3368432906.html,"scheduling trip south on november 1 and returning on november 7. traveling with 5 year old labrador retriever, but would like another kalamazoo area woman to share driving, conversation, and gas. driving through...resting but not overnighting along t [...]",2012-10-27T11:20:20-04:00,emailnotfound,TRUE,kalamazoo,2012-11-01T11:20:20-04:00,sw
rideshare to halloweekend! (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3362745890.html,"hello all, 
my girlfriend and i really want to go to halloweekend this weekend and if anyone plans on making a tripp that way and return the next day or that same evening we'd love to accompany them and help pay for gas along the way. we're students, [...]",2012-10-24T19:15:54-04:00,emailnotfound,FALSE,kalamazoo,2012-10-26T19:15:54-04:00,halloweekend
seeking ride from kalamazoo to indianapolis and back (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3359248061.html,"i'm looking for a round trip ride: 
nov. 3rd - kalamazoo to indianapolis 
nov. 5th - indianapolis to kalamazoo 
i'm open to a ride one way and not the other. 
i can pitch in for gas. thanks.",2012-10-23T12:31:01-04:00,emailnotfound,TRUE,kalamazoo,2012-11-03T12:31:01-04:00,indianapolis
really need to get to ann arbor this sunday (kalamazoo to ann arbor),kalamazoo,http://kalamazoo.craigslist.org/rid/3350605147.html,"i'm trying to get from kalamazoo for ann arbor sometime after 5 pm on sunday afternoon, the 21st. i'm tied up until that time, so anything earlier won't work. i really really could use this ride, if i can make it to ann arbor, i will have a ride all  [...]",2012-10-19T15:33:41-04:00,emailnotfound,FALSE,kalamazoo,2012-10-21T15:33:41-04:00,get
kalamazoo to detroit 10/20,kalamazoo,http://kalamazoo.craigslist.org/rid/3350584998.html,"i'm driving to detroit saturday afternoon from kalamazoo and can drop you off along the way, or in the city. i'd like to split the gas and i'll be coming back sunday night or monday. 
call 248-462-0906 if interested. ",2012-10-19T15:26:02-04:00,emailnotfound,TRUE,kalamazoo,2012-10-20T15:26:02-04:00,detroit
"driving to detroit (from kalamazoo) - oct 25th  (kalamazoo, mi 49009)",kalamazoo,http://kalamazoo.craigslist.org/rid/3348621899.html,"driving to detroit, from kalamazoo on thursday oct 25th. willing to pick up and drop off passengers ($25). 
email. or call/ text 269-290-9031",2012-10-18T18:03:07-04:00,emailnotfound,TRUE,kalamazoo,2012-10-25T18:03:07-04:00,detroit
ride needed to columbus or dublin ohio  (columbus),kalamazoo,http://kalamazoo.craigslist.org/rid/3324446436.html,"hi, 
i was looking for a ride from kalamazoo to columbus or dublin, ohio. if any one is going to these places on this thursday evening after 8:45pm(10/11) or friday(10/12). please let me know. 
my no:4043375372 
thank you, 
sam",2012-10-08T11:20:59-04:00,emailnotfound,FALSE,kalamazoo,2012-10-11T11:20:59-04:00,columbus
ride needed - kalamazoo to ann arbor on sat 10/6 (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3318703752.html,"im looking for a ride to ann arbor on saturday oct 6th. ill be looking for a return ride sunday night or monday morning. 
im 26 male bronco grad. 
cheers",2012-10-05T15:23:49-04:00,emailnotfound,FALSE,kalamazoo,2012-10-06T15:23:49-04:00,ann
