title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
tn to nj (alcoa),knoxville,http://knoxville.craigslist.org/rid/3417333711.html,i am needing a ride to nj before december 1. i have some money for gas and can help drive. i do have a well mannered cat with me as well.,2012-11-17T19:43:48-05:00,emailnotfound,FALSE,knoxville,2012-12-01T19:43:48-05:00,nj
need ride (la vergne to el paso),knoxville,http://knoxville.craigslist.org/rid/3413186699.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:09:39-05:00,emailnotfound,FALSE,knoxville,2012-11-16T01:09:39-05:00,el
"offering ride to south fl  - west palm beach (west knoxville, tn)",knoxville,http://knoxville.craigslist.org/rid/3385453605.html,"i'm a friendly, responsible male, and easy to get along with. 
offering a rideshare to the south florida area (west palm beach/lake worth) or anywhere in between, tomorrow morning, november 15th. you must be willing and able to contribute money for g [...]",2012-11-14T19:59:30-05:00,emailnotfound,TRUE,knoxville,2012-11-14T19:59:30-05:00,south
going to newport news va soon,knoxville,http://knoxville.craigslist.org/rid/3406218661.html,"going to newport news va soon(about 2 weeks) and looking for someone to 
help with gas and driving... 
about a 10 hour ride. leaving on a thursday and coming 
back on sat....843-751-8689, jay",2012-11-13T05:09:10-05:00,emailnotfound,TRUE,knoxville,2012-11-15T05:09:10-05:00,newport
take a puppy to my daughter in fla. please (kingston to fla.),knoxville,http://knoxville.craigslist.org/rid/3405685789.html,i have a very small puppy that i need to get to my daughter in fla. i will provide a box to transport it in. need this asap please call me at 865 201 3979. thanks kimberly,2012-11-12T20:40:26-05:00,emailnotfound,FALSE,knoxville,2012-11-12T20:40:26-05:00,my
wanted ride 11/11: knoxville or gatlinburg to greenville (trade show) (gatlinburg to greenville),knoxville,http://knoxville.craigslist.org/rid/3356873437.html,"need a ride sunday morning (early) november 11th from the convention center in gatlinburg to greenville...or from knoxville to greenville. if you are going to charlotte or columbia and passing through greenville, that will work too. 
i can kick in th [...]",2012-11-09T21:10:32-05:00,emailnotfound,TRUE,knoxville,2012-11-11T21:10:32-05:00,greenville
to and from atlanta december (knoxville or oak ridge),knoxville,http://knoxville.craigslist.org/rid/3396090847.html,i am going to atlanta on dec 28 at about 8 am and coming back on the jan 4th at 8pm. i'll take you for 15 dollars a person meetup in knoxville or oak ridge and ill drop you off wherever in or on the way to atlanta. i'm going to the airport. i am a co [...],2012-11-08T16:34:52-05:00,emailnotfound,TRUE,knoxville,2012-12-28T16:34:52-05:00,and
"needing rides to and from school for 2 college students (andersonville,tn)",knoxville,http://knoxville.craigslist.org/rid/3383807073.html,my brother and i are students at itt-tech...we need rides on monday evening for our class starts at 6pm and on saturdays for class starts at 9 am!~ we can give some gas money any may help with other expenses1~ please contact me if anyone can help!~ ,2012-11-03T11:41:52-04:00,emailnotfound,FALSE,knoxville,2012-11-05T11:41:52-04:00,and
need round trip ride to alcoa hwy and back. (western ave),knoxville,http://knoxville.craigslist.org/rid/3382131469.html,"hello, 
i need a ride from western avenue to alcoa highway and back on monday. i am willing to provide gas money out there. please let me know if you are available to do so. thanks!",2012-11-02T15:26:29-04:00,emailnotfound,FALSE,knoxville,2012-11-05T15:26:29-04:00,alcoa
ride offered to nyc/ct this friday (new haven),knoxville,http://knoxville.craigslist.org/rid/3377403506.html,"ride offered knoxville to nyc/ct, leaving friday evening nov 2. contact jake 203 843 7444, phone calls only",2012-10-31T13:50:56-04:00,emailnotfound,TRUE,knoxville,2012-11-02T13:50:56-04:00,nyc/ct
driving to chattanooga nov. 20th (knoxville),knoxville,http://knoxville.craigslist.org/rid/3377101661.html,"i'm driving from the knoxville airport to chattanooga on tuesday, nov. 20th. i'd be happy to give someone a ride in exchange for splitting gas costs. thanks! - paul ",2012-10-31T11:54:15-04:00,emailnotfound,TRUE,knoxville,2012-11-20T11:54:15-04:00,chattanooga
