title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - la crosse to middleton on sun 11/18 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3412481826.html,"i'm offering a ride from la crosse to middleton. 
leaving november 18th returning november 25th. so far no one going down to middleton/madison with me. i am bringing one passenger back for sure. contact me on zimride: http://www.zimride.com/ride/shar [...]",2012-11-15T16:58:33-06:00,emailnotfound,TRUE,lacrosse,2012-11-18T16:58:33-06:00,middleton
"lacrosse to chicago - december 3rd (marshall, mn)",lacrosse,http://lacrosse.craigslist.org/rid/3409933773.html,"i will be leaving marshall, mn early morning on december 3rd heading to chicago area. will be driving across mn on 14 through mankato, rochester, and then on 90 through lacrosse to madison and then south through beloit to chicago. 
i can pick up or d [...]",2012-11-14T15:14:19-06:00,emailnotfound,TRUE,lacrosse,2012-12-03T15:14:19-06:00,chicago
ride offered - la crosse to rice lake on wed 11/21 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3405326817.html,"i'm offering a ride from la crosse to rice lake. 
leaving november 21st returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=528106 
i drive a 2008 hyundai sonata. ",2012-11-12T16:50:24-06:00,emailnotfound,TRUE,lacrosse,2012-11-21T16:50:24-06:00,rice
ride offered - la crosse to eau claire on wed 11/21 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3405319522.html,"i'm offering a ride from la crosse to eau claire. 
leaving november 21st returning november 25th. my final destination is rice lake, wi. contact me on zimride: http://www.zimride.com/ride/share?ride=528092 
i drive a 2008 hyundai sonata. ",2012-11-12T16:47:25-06:00,emailnotfound,TRUE,lacrosse,2012-11-21T16:47:25-06:00,eau
need ride from lacrosse to menomonie/ eau claire   (uw-la crosse ),lacrosse,http://lacrosse.craigslist.org/rid/3404290010.html,thursday 11/15 need a ride to visit some friends and family in menominee but if you are going to eau claire or any surrounding areas let me know please it is much appreciated and a ride there would do just as well. more than happy to pay my part of g [...],2012-11-12T10:41:14-06:00,emailnotfound,FALSE,lacrosse,2012-11-15T10:41:14-06:00,menomonie/
ride offered - la crosse to faribault on fri 11/9 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3394014388.html,"i'm offering a ride from la crosse to faribault. 
leaving november 9th returning november 11th. gas prices flexible. if we fill the car we can just all split it. contact me on zimride: http://www.zimride.com/ride/share?ride=520685 i drive a . 
2002 f [...]",2012-11-07T17:42:53-06:00,emailnotfound,TRUE,lacrosse,2012-11-09T17:42:53-06:00,faribault
la crescent to winona m - f,lacrosse,http://lacrosse.craigslist.org/rid/3389201334.html,i live in la crescent and work in winona m-f 8-4:30 pm. wondering if anyone would be interested in making money on a rideshare. i work at the winona county courthouse so hopefully that helps you know i do not have a criminal record. i do have a car b [...],2012-11-05T16:55:10-06:00,emailnotfound,FALSE,lacrosse,2012-11-05T16:55:10-06:00,winona
ride offered - la crosse to chicago on fri 11/9 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3373827418.html,"i'm offering a ride from la crosse to chicago. 
leaving november 9th returning november 12th. i would consider coming back sunday evening if i could get more riders that way, i could also drop off close off the highway if riders wanted to go only so  [...]",2012-10-29T20:10:12-05:00,emailnotfound,TRUE,lacrosse,2012-11-09T20:10:12-05:00,chicago
ride needed - la crosse to green bay on fri 11/16 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3365371595.html,"i'm looking for a ride from la crosse to green bay. 
leaving november 16th returning november 18th. contact me on zimride: http://www.zimride.com/ride/share?ride=507204 ",2012-10-25T20:42:34-05:00,emailnotfound,TRUE,lacrosse,2012-11-16T20:42:34-05:00,green
looking for ride from lacrosse to madison,lacrosse,http://lacrosse.craigslist.org/rid/3356705163.html,"i'm looking for a ride from lacrosse to uw - madison in the morning or early afternoon on saturday, october 27th. i don't need a ride back. i'll help out with gas money!",2012-10-22T11:13:28-05:00,emailnotfound,FALSE,lacrosse,2012-10-27T11:13:28-05:00,madison
"ride offered to boulder, co  from la crosse 10/22 (la crosse)",lacrosse,http://lacrosse.craigslist.org/rid/3346673301.html,"laid back dude leaving the 22nd or 23rd space for four others. will split gas driving yaris. 
send me an email if you're interested.",2012-10-17T20:51:05-05:00,emailnotfound,TRUE,lacrosse,2012-10-22T20:51:05-05:00,boulder
ride needed - la crosse to wausau on thu 11/15 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3340251891.html,"i'm looking for a ride from la crosse to wausau. 
leaving november 15th returning november 19th. have class all day on thursday, but willing to skip depending on circumstances. contact me on zimride: http://www.zimride.com/ride/share?ride=495784 ",2012-10-15T10:16:55-05:00,emailnotfound,FALSE,lacrosse,2012-11-15T10:16:55-05:00,wausau
ride offered to milwaukee friday,lacrosse,http://lacrosse.craigslist.org/rid/3340228522.html,"driving to milwaukee friday afternoon. split gas in a honda. we are laid back, welcoming, and audiophiles. room for two (2) passengers. text or email for more info. 
608-3 eight five - 7 three 4 eight ",2012-10-15T10:08:07-05:00,emailnotfound,TRUE,lacrosse,2012-10-19T10:08:07-05:00,milwaukee
ride needed - la crosse to iowa city on sat 10/13 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3319023099.html,"i'm looking for a ride from la crosse to iowa city. 
leaving october 13th. hello everyone! i'm a very outgoing and personable gal. i'm looking for a kind, generous person offering up a seat in their car :) contact me on zimride: http://www.zimride.co [...]",2012-10-05T16:31:31-05:00,emailnotfound,TRUE,lacrosse,2012-10-13T16:31:31-05:00,iowa
