title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offer: little rock to knoxville (little rock),littlerock,http://littlerock.craigslist.org/rid/3412073251.html,"hi! i'm jake, a professional stand-up comedian. 
my wife and i are driving from little rock, ar to knoxville, tn on tuesday, november 20 or wednesday, november 21. it's about 530 miles in between the 2 cities. want to go on an adventure and split the [...]",2012-11-15T14:05:21-06:00,emailnotfound,TRUE,littlerock,2012-11-20T14:05:21-06:00,knoxville
ride needed: little rock to nola (united states),littlerock,http://littlerock.craigslist.org/rid/3410811058.html,"hi there! i'm currently traveling round the south and staying with a friend in little rock. i am trying to get to new orleans within the next two weeks, preferably sometime next week. i'm honest, reliable, can pitch in for gas, and a generally happy  [...]",2012-11-14T23:05:53-06:00,emailnotfound,FALSE,littlerock,2012-11-16T23:05:53-06:00,nola
ride offered - little rock to orlando on sat 11/17 (little rock),littlerock,http://littlerock.craigslist.org/rid/3408764777.html,"i'm offering a ride from little rock to orlando. 
leaving november 17th returning november 27th. my travel dates are flexable and its a cargo van so there is plenty of room...as for money, just pitch in what you can for gas and its all good. contact  [...]",2012-11-14T07:09:32-06:00,emailnotfound,TRUE,littlerock,2012-11-17T07:09:32-06:00,orlando
i am going to florida.  do you need a ride?,littlerock,http://littlerock.craigslist.org/rid/3408197836.html,i am available to leave anytime after friday. let me know if you need a ride. pitch in a little for gas?,2012-11-13T20:18:35-06:00,emailnotfound,FALSE,littlerock,2012-11-16T20:18:35-06:00,florida.
offering ride to jonesboro tomorrow (downtown),littlerock,http://littlerock.craigslist.org/rid/3404401433.html,just asking for some gas money. call me at 972-898-8334.,2012-11-12T11:19:26-06:00,emailnotfound,TRUE,littlerock,2012-11-12T11:19:26-06:00,jonesboro
ride offered: little rock through tn to nc (ar to asheville nc),littlerock,http://littlerock.craigslist.org/rid/3402043195.html,"hi there road warriors! 
i will be driving through little rock late morning on the 13th and heading all the way to nashville i hope. then the following day to asheville nc. i can drop you anywhere along the way. if you want to stay on for the whole r [...]",2012-11-11T10:09:46-06:00,emailnotfound,TRUE,littlerock,2012-11-13T10:09:46-06:00,nc
ride offered east to memphis and nashville....then west to okc!!!!! (little rock),littlerock,http://littlerock.craigslist.org/rid/3395023022.html,"ride is for tonight and friday!!!!! if you are travelling out of little rock, i may be able to help you. i will be headed through little rock twice! i will first be headed westbound along i-40 travelling to memphis, nashville......................... [...]",2012-11-08T08:44:12-06:00,emailnotfound,TRUE,littlerock,2012-11-09T08:44:12-06:00,memphis
ride offered 11/10 montgomery to denver,littlerock,http://littlerock.craigslist.org/rid/3373644786.html,"11/10 ride offered from montgomery to denver 
cost is $100 = 1/2 of gas expense 
please call or txt me @ 850-866-9040",2012-11-06T11:38:45-06:00,emailnotfound,TRUE,littlerock,2012-11-10T11:38:45-06:00,denver
ride offered 11/9 little rock to portland,littlerock,http://littlerock.craigslist.org/rid/3384064316.html,"ride offered 11/9 little rock to portland 
cost is $160 = 1/2 of gas 
call 850-866-9040",2012-11-06T11:36:16-06:00,emailnotfound,TRUE,littlerock,2012-11-09T11:36:16-06:00,portland
"driving to rochester, vt from lr (little rock)",littlerock,http://littlerock.craigslist.org/rid/3390714350.html,"i'm offering a one way ride from little rock to vermont or anywhere along the route . you will be responsible for half the gas, your food ,hotel room, occasional driving and conversation:)i will have a cat in the car, for those of you with allergies. [...]",2012-11-06T11:18:33-06:00,emailnotfound,TRUE,littlerock,2012-11-12T11:18:33-06:00,rochester
