title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - milwaukee to madison on fri 11/16 (milwaukee),milwaukee,http://milwaukee.craigslist.org/rid/3411746320.html,"i'm offering a ride from milwaukee to madison. 
leaving november 16th returning november 16th. i'm not sure what happened to the ride i am already providing. anyways leaving near uwm around 4pm friday nov 15 in a camry. contact me on zimride: http:// [...]",2012-11-15T12:02:32-06:00,emailnotfound,TRUE,milwaukee,2012-11-16T12:02:32-06:00,madison
driving from milwaukee to toledo/cleveland (waukesha/brookfield area-&gt;downtown(ish)),milwaukee,http://milwaukee.craigslist.org/rid/3408522030.html,"i will be leaving thursday after work (leaving time somewhat flexible) and driving out to cleveland, to the area around case western reserve university(cwru) and cleveland state university. 
if you are on your way to chicago, toledo or cleveland, tho [...]",2012-11-14T00:31:20-06:00,emailnotfound,TRUE,milwaukee,2012-11-15T00:31:20-06:00,toledo/cleveland
milwaukee to madison on thursday 11/15 or friday 11/16 (mke-mad),milwaukee,http://milwaukee.craigslist.org/rid/3406743247.html,"i am looking for a ride into downtown madison anytime after 4pm, this thursday, november 15th or during the day of friday the 16th. i only have about $15 i could spare towards gas, but i would really like to see my family while we all have a day off  [...]",2012-11-13T10:26:10-06:00,emailnotfound,FALSE,milwaukee,2012-11-15T10:26:10-06:00,madison
offering: webster to michigan and anywhere in between (wisconsin/michigan),milwaukee,http://milwaukee.craigslist.org/rid/3403319374.html,"im leaving webster wi hopefully on wed the 21st and returning that sunday the 25th. can pick up and drop off anywhere along the way. depending on your pick up and drop locations itll be about $20-40 a person. 
call or text 
715-338-6401.",2012-11-11T20:47:19-06:00,emailnotfound,TRUE,milwaukee,2012-11-25T20:47:19-06:00,michigan
heading south (milwaukee area to tampa and points betwe),milwaukee,http://milwaukee.craigslist.org/rid/3397369857.html,leaving today idrive buick u put some gas destination fl mark 505-205-8191,2012-11-09T08:29:02-06:00,emailnotfound,TRUE,milwaukee,2012-11-09T08:29:02-06:00,tampa
ride needed - milwaukee/madison to dallas,milwaukee,http://milwaukee.craigslist.org/rid/3392126507.html,"hello. 
i am looking for a ride to dallas, tx. i could be available to meet in either milwaukee or madison area. would be available to depart november 10, 11, 12. 
will share the cost of gas. will also share in driving if wanted. i am male / 40's. no [...]",2012-11-06T22:24:26-06:00,emailnotfound,FALSE,milwaukee,2012-11-10T22:24:26-06:00,dallas
"ride offer: milwaukee, wi to pittsburgh, pa nov 25 (milwaukee)",milwaukee,http://milwaukee.craigslist.org/rid/3388853511.html,"i will be driving from milwaukee, wi to pittsburgh, pa on november 25th. i am willing to stop/drop-off along the route within reason. looking for help with gas and tolls. 
call.email.text. 
608-346-two three one six",2012-11-05T14:35:43-06:00,emailnotfound,TRUE,milwaukee,2012-11-25T14:35:43-06:00,pittsburgh
ride needed - milwaukee to eau claire on wed 11/21 (milwaukee),milwaukee,http://milwaukee.craigslist.org/rid/3387445039.html,"i'm looking for a ride from milwaukee to eau claire. 
leaving november 21st returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=517239 ",2012-11-05T00:14:01-06:00,emailnotfound,TRUE,milwaukee,2012-11-21T00:14:01-06:00,eau
milwaukee to san diego (or anywhere near) (milwaukee),milwaukee,http://milwaukee.craigslist.org/rid/3384019809.html,"driving to san diego, ca november 16th. leaving time is open, but would like to leave no later than noon. seeking someone to share in gas and driving. vehicle is a 5-speed manual transmission and vehicle is a 2010 and great on fuel (kia). serious res [...]",2012-11-03T12:05:17-05:00,emailnotfound,TRUE,milwaukee,2012-11-16T12:05:17-05:00,san
"anyone need a ride to north dakota? ( or anywhere inbetween) (milwaukee to minot, nd)",milwaukee,http://milwaukee.craigslist.org/rid/3382888918.html,"hi ! 
i am moving to the great state of north dakota next week (nov 7th) and was curious to see if anyone else needs a ride. the date is flexible. i've made the trip plenty of times.. and am a ride share veteran! i'll have a car full of stuff... so p [...]",2012-11-02T20:19:41-05:00,emailnotfound,TRUE,milwaukee,2012-11-07T20:19:41-05:00,north
