title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
leaving to la on sunday  (stocktonmodesto),modesto,http://modesto.craigslist.org/rid/3417740906.html,leaving to la tomorrow. i'm a 23year old berkeley grad and currently in my defined year as a teacher. looking for someone to drive with. i'm fairly cheap compare to other adds. please text or email if interested. 8183269042 ,2012-11-17T21:54:28-08:00,emailnotfound,FALSE,modesto,2012-11-17T21:54:28-08:00,la
asap need a big truck or flat bed. sacramento to modesto,modesto,http://modesto.craigslist.org/rid/3410441604.html,need someone to bring a sweeper as big as a car. from sacramento to modesto area. if you have a big truck i can rent a trailer but has to be a big truck or 250 up. i can pay but not as much as a towing services. i need an answer .please call at 209_4 [...],2012-11-14T17:05:29-08:00,emailnotfound,FALSE,modesto,2012-11-14T17:05:29-08:00,modesto
i need a ride this coming saturday or sunday (modesto to vacaville/roundtrip),modesto,http://modesto.craigslist.org/rid/3406135884.html,"if anyone is going or can make a roundtrip from modesto to vacaville this coming saturday, then please let me know. i just need to pick up an item that is for sale that i found on craigslist, and would like to pick it up on saturday the earliest or o [...]",2012-11-12T23:40:04-08:00,emailnotfound,TRUE,modesto,2012-11-17T23:40:04-08:00,vacaville/roundtrip
ride to socal (hayward (sf bay)),modesto,http://modesto.craigslist.org/rid/3369991999.html,"driving from the bay through the valley and headed to hollywood tomorrow, sunday. 
just need you to have 35 for gas and to not bring anything illegal, please. absolutely no drugs whatsoever, trust me. 
if you're a decent person, let me know. going to [...]",2012-10-27T23:24:12-07:00,emailnotfound,TRUE,modesto,2012-10-27T23:24:12-07:00,socal
ride offer to la or las vegas,modesto,http://modesto.craigslist.org/rid/3352494957.html,"stopping in modesto tonight or tomorrow ,asking 30$ to la or 40$ to las vegas i will also stop anywhere on the way,have four seats in my mercedes if interested call or text 702 748 2430",2012-10-20T09:52:25-07:00,emailnotfound,TRUE,modesto,2012-10-20T09:52:25-07:00,la
i need a ride to modesto. will pay for gas. (sacramento),modesto,http://modesto.craigslist.org/rid/3349440068.html,i need to get to modesto. i can give to money for gas when we get there. thanks,2012-10-19T03:00:57-07:00,emailnotfound,FALSE,modesto,2012-10-22T03:00:57-07:00,modesto.
"need a ride from modesto to spokane wa (ceres, ca)",modesto,http://modesto.craigslist.org/rid/3349005350.html,"i want to visit with family in spokane valley for thanksgiving holiday, want to leave on tuesday before thanksgiving and return sunday or monday after thanksgiving... 
willing to share the cost of gas along the way! let me know !",2012-10-18T18:15:39-07:00,emailnotfound,FALSE,modesto,2012-10-22T18:15:39-07:00,spokane
transportation / hauling (modesto to sacramento),modesto,http://modesto.craigslist.org/rid/3276755967.html,"truck for hauling items, furniture, car parts or motorcycles 
making a trip monday evening to sacramento 
can haul or move just about anything! 
e-mail your needs and destination 
or text 
916 769 9304 ",2012-10-15T02:06:03-07:00,emailnotfound,FALSE,modesto,2012-10-15T02:06:03-07:00,sacramento
ride offer from turlock to la  (turlock ),modesto,http://modesto.craigslist.org/rid/3335624804.html,"$40 will get you to any greater la area. i have 2 space left. let me know by sunday 1pm, leaving sunday night or 
early monday morning. let me know 408.394.1004",2012-10-13T00:45:53-07:00,emailnotfound,FALSE,modesto,2012-10-15T00:45:53-07:00,la
tracy to san diego area on 10/13 (tracy &amp; area),modesto,http://modesto.craigslist.org/rid/3317469182.html,"email me if you looking for a ride from the tracy area to the san diego area on saturday, october 13th. leaving around 7 - 8 am! ",2012-10-04T21:53:54-07:00,emailnotfound,TRUE,modesto,2012-10-13T21:53:54-07:00,san
