title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offer-  to chicago for turky (departing from petoskey),nmi,http://nmi.craigslist.org/rid/3414733300.html,"will be driving to chicago when i get out of work tuesday nov 20 (after 6pm) 
returning friday nov 23, early 
could also drop someone off anywhere alone 131 or 94, please nothing too far our of the way. 
i am a cigarette smoker 
if you are in need of [...]",2012-11-16T16:55:46-05:00,emailnotfound,TRUE,nmi,2012-11-20T16:55:46-05:00,chicago
michigan to wisconsin,nmi,http://nmi.craigslist.org/rid/3414118286.html,anyone leaving from michigan to wisconsin around november 28 with room for two and a baby! ,2012-11-16T13:00:59-05:00,emailnotfound,TRUE,nmi,2012-11-28T13:00:59-05:00,wisconsin
ride needed to benton harbor (benzonia),nmi,http://nmi.craigslist.org/rid/3412897962.html,"looking for a ride to benton harbor. 
i can split gas,hopeing to leave the 20th or 21st... earlier the better. 
text me@708 595 9401",2012-11-15T21:33:33-05:00,emailnotfound,FALSE,nmi,2012-11-20T21:33:33-05:00,benton
looking for ride to ann arbor,nmi,http://nmi.craigslist.org/rid/3407483839.html,need to get back down to school. looking for ride to uofm asap,2012-11-13T15:54:25-05:00,emailnotfound,FALSE,nmi,2012-11-13T15:54:25-05:00,ann
looking for a ride to chicago,nmi,http://nmi.craigslist.org/rid/3402904837.html,"i can split gas and driving. 
hope to leave aound the 20th,708 595 9401text call email 
thanks",2012-11-11T17:51:16-05:00,emailnotfound,FALSE,nmi,2012-11-20T17:51:16-05:00,chicago
mom needing transportation (tc to ludington),nmi,http://nmi.craigslist.org/rid/3389409951.html,i am very much looking for someone to help me get my son home from visits every other sunday at the most til march or so. my son stays with me every other weekend and his father brings him up on fridays. and i have to have him back by 6pm on sundays. [...],2012-11-05T19:33:38-05:00,emailnotfound,FALSE,nmi,2012-11-09T19:33:38-05:00,ludington
ride to chicago thurs/fri? (wyoming),nmi,http://nmi.craigslist.org/rid/3375993512.html,"hello. heading to chicago and looking for a ride. just a few bags and blankets. me: 32, friendly, normal. happy to share gas cost. thanks!!!",2012-10-30T20:09:30-04:00,emailnotfound,FALSE,nmi,2012-10-32T20:09:30-04:00,chicago
traverse city to detroit and vise versa (tc to det and vise versa. ),nmi,http://nmi.craigslist.org/rid/3374052115.html,every weekend i drive from traverse city to detroit on friday (times/hours and even days sometimes negotiable). i return from detroit on mondays (once again times/hours and even days sometimes negotiable). i have a large dependable crossover suv with [...],2012-10-29T23:46:51-04:00,emailnotfound,TRUE,nmi,2012-10-29T23:46:51-04:00,detroit
from tc to grand rapids (grand rapids or grand haven),nmi,http://nmi.craigslist.org/rid/3359914140.html,"need a ride to grand rapids or grand haven this friday, october 26th. i will pay for gas. 
trevor 231-640-4839.",2012-10-23T16:30:47-04:00,emailnotfound,TRUE,nmi,2012-10-26T16:30:47-04:00,grand
do you need a ride to chicago? (downtown),nmi,http://nmi.craigslist.org/rid/3344882969.html,"depart: friday, october 19th, 5:30 pm from tc, i'm planning to leave chicago on sunday between 5-7pm to come back to tc. 
split fuel costs. ",2012-10-17T09:18:09-04:00,emailnotfound,TRUE,nmi,2012-10-19T09:18:09-04:00,chicago
traverse city to colorado  (tc),nmi,http://nmi.craigslist.org/rid/3336902265.html,going to colorado at the end of october or early november. email if interested. must be 420 friendly / mmj patent.,2012-10-13T16:48:51-04:00,emailnotfound,TRUE,nmi,2012-10-19T16:48:51-04:00,colorado
ride offered: petoskey area to wherever you need (petoskey),nmi,http://nmi.craigslist.org/rid/3325633373.html,"i'm in petoskey, but can give you a ride anywhere you need to go, just give me gas money, and maybe a couple bucks for the time. cheaper than a cab! ",2012-10-08T18:38:48-04:00,emailnotfound,TRUE,nmi,2012-10-08T18:38:48-04:00,wherever
ride from northern mi to anywhere near scranton pa (&lt;--------),nmi,http://nmi.craigslist.org/rid/3322911772.html,"im in desperate need of a ride from anywhere in northern mi to scranton pa, or even near elmira ny. i need to get out to my family. i have money for gas. please please please if you can help me email me. please. im a 23 yr old male, non smoker thanks",2012-10-07T15:33:10-04:00,emailnotfound,FALSE,nmi,2012-10-08T15:33:10-04:00,anywhere
need a ride from traverse city to ann arbor,nmi,http://nmi.craigslist.org/rid/3316758643.html,"i need a ride fro traverse city to ann arbor on sat 10-20-12 
and a return trip ann arbor to traverse city on sun 11-4-12 
marie (231) 386-7087",2012-10-04T17:45:39-04:00,emailnotfound,TRUE,nmi,2012-10-06T17:45:39-04:00,ann
