title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride needed to north dakota (omaha i 29),omaha,http://omaha.craigslist.org/rid/3416480175.html,"heading to north dakota, if you are going anywhere near interstate 29 we would love to ride with you. looking to leave saturday evening or anytime sunday or monday. , can chip in a small amount for gas but we are pretty broke. mother and son. please  [...]",2012-11-17T12:19:22-06:00,emailnotfound,FALSE,omaha,2012-11-19T12:19:22-06:00,north
chicago to nebraska (lincoln or omaha) - nov 18/19/20/21 (chicago omahabound),omaha,http://omaha.craigslist.org/rid/3398326696.html,"hello, 
i'm out east visiting a friend and need to get back to nebraska. i'd be flying into chicago on the 18/19, preferably the 19th, but i could do the 18th. if you weren't leaving until the 20/21, i could stay with a friend until then, but i would [...]",2012-11-16T12:48:41-06:00,emailnotfound,TRUE,omaha,2012-18-19T12:48:41-06:00,nebraska
"ride to southwest or tow vehicle (omaha, ne)",omaha,http://omaha.craigslist.org/rid/3414183406.html,"i am driving to phoenix, az on or around december 7th depending on weather 
i can go through colorado, kansas, oklahoma, new mexico depending on weather and where you might need to go. 
i will have room for one person and some luggage and can drop yo [...]",2012-11-16T12:24:17-06:00,emailnotfound,TRUE,omaha,2012-12-07T12:24:17-06:00,southwest
needing a ride to wichita on thanksgiving ? (omaha),omaha,http://omaha.craigslist.org/rid/3410226895.html,im driving to wichita on thanksgiving morning and thought if someone wanted to visit their family but had no ride i could provide it - heading back to omaha either sunday the 25th or monday the 26th,2012-11-14T17:18:54-06:00,emailnotfound,FALSE,omaha,2012-11-25T17:18:54-06:00,wichita
offering rides to & from lincoln (omaha),omaha,http://omaha.craigslist.org/rid/3404506427.html,"hello, i'm offering rides to and from lincoln on friday, november 16 and saturday, november 17. i have a van that seats 6 passengers. email me with date, time, and how many people and i will immediately reply with a price. my prices are very reasonab [...]",2012-11-12T11:54:46-06:00,emailnotfound,TRUE,omaha,2012-11-16T11:54:46-06:00,from
offering ride to omaha 3nights weekly (fremont),omaha,http://omaha.craigslist.org/rid/3393937204.html,"i work in omaha thurs,fri,and sat . i leave fremont around 4-5 and return around 3 am . so if you need ride to omaha let me know just help with gas i can fit any where from 1 to 9 passengers. . if a ride is not for you then i can pick up packages and [...]",2012-11-10T12:02:52-06:00,emailnotfound,TRUE,omaha,2012-11-12T12:02:52-06:00,omaha
need a ride to kansas city around dec 1st?!?!? (omaha),omaha,http://omaha.craigslist.org/rid/3393432892.html,"hey, my name is mikee and i need a ride to kansas city around the first of december to see my family for the holidays. i would be able to throw down some gas money as well as keep you company. if i don't get i ride i will probably have to hitch hike, [...]",2012-11-07T13:42:50-06:00,emailnotfound,FALSE,omaha,2012-12-01T13:42:50-06:00,kansas
"omaha to chicago, ride offered, 9/9 (omaha)",omaha,http://omaha.craigslist.org/rid/3391867207.html,"offering rideshare from omaha to chicago area this friday afternoon, 9/9/2012. pay half gas and tolls, which is $40. option to return to omaha on sunday if so desired. call 402-739-0543 if intrerest of if you have any questions.",2012-11-06T19:26:27-06:00,emailnotfound,TRUE,omaha,2012-09-09T19:26:27-06:00,chicago
ride offered 11/11 omaha to portland,omaha,http://omaha.craigslist.org/rid/3383981163.html,"ride offered 11/11 omaha to portland 
cost is 130 = 1/2 of gas 
call 850-866-9040",2012-11-06T11:37:43-06:00,emailnotfound,TRUE,omaha,2012-11-11T11:37:43-06:00,portland
ride offered to cincinnati (from omaha),omaha,http://omaha.craigslist.org/rid/3386761301.html,"leaving for cincinnati tomorrow, have room for 1 person & 2 bags. will be leaving cincinnati on sat, nov 10 to return to omaha, ne. no need for gas money as using company vehicle",2012-11-04T16:31:50-06:00,emailnotfound,TRUE,omaha,2012-11-04T16:31:50-06:00,cincinnati
omaha to california area (omaha),omaha,http://omaha.craigslist.org/rid/3385295837.html,"driving out to california and leaving saturday november 10 from omaha. looking for friendly company to ride with me and help with gas costs along the way. i plan on driving from omaha to salt lake city and to the los angeles area from there, if you'r [...]",2012-11-03T23:10:10-05:00,emailnotfound,TRUE,omaha,2012-11-10T23:10:10-05:00,california
in need of ride to chicago for t-giving (omaha),omaha,http://omaha.craigslist.org/rid/3376935012.html,"my brother and i are looking for a ride to chicago for thanksgiving. ideally, heading out tuesday or wednesday before thanksgiving. willing to split gas and driving. 21 year old male twins, easy going, army cadets, help would much appreciated.",2012-10-31T09:44:58-05:00,emailnotfound,FALSE,omaha,2012-10-37T09:44:58-05:00,chicago
looking for ride will split gas (omaha to kc),omaha,http://omaha.craigslist.org/rid/3371465526.html,"looking to leave this coming weekend on friday november 2nd or saturday november 3rd. my number is 402-306-4880. im buying a jeep from a guy near kansas city and im just going to drive it back home to omaha, call me and let me know asap please thanks [...]",2012-10-28T19:24:31-05:00,emailnotfound,FALSE,omaha,2012-10-28T19:24:31-05:00,kc
ride needed monday morning (millard to bellevue),omaha,http://omaha.craigslist.org/rid/3371169690.html,i am visiting my elderly parents in omaha and need a ride from approximately 127th and q street in millard to 3602 edgerton dr. in what i think is bellevue. (this is near highway 370 and comstock.) i need to be there by 11:15 but can arrive much earl [...],2012-10-28T16:40:14-05:00,emailnotfound,FALSE,omaha,2012-10-29T16:40:14-05:00,bellevue
