title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - philadelphia to la this thursday or friday or saturday (philadelphia),philadelphia,http://philadelphia.craigslist.org/rid/3408634118.html,"i'm offering a ride from philadelphia to los angeles. 
leaving november 15th. i'm moving out to la and leaving tomorrow or friday (whenever my car situation gets sorted out). i'll be traveling in my honda accord, which gets great gas mileage, so gas  [...]",2012-11-18T03:21:08-05:00,emailnotfound,TRUE,philadelphia,2012-11-18T03:21:08-05:00,la
s. jersey/philly to nola (s. jersey to nola),philadelphia,http://philadelphia.craigslist.org/rid/3417588986.html,"trying to leave tuesday morning from s. jersey to go to nola. would prefer to stop one night in tn. e-mail me for details. smoking is okay, stick shift, honda civic. really no room for your possessions unless very small. ",2012-11-17T22:33:40-05:00,emailnotfound,TRUE,philadelphia,2012-11-20T22:33:40-05:00,nola
rideshare needed tuesday 11/20 (phl to bos),philadelphia,http://philadelphia.craigslist.org/rid/3417506700.html,"need a ride from philly to boston, one-way, tuesday. bought my bus tickets not realizing i had class that day. i can pay for gas and share driving if you want.",2012-11-17T21:33:12-05:00,emailnotfound,FALSE,philadelphia,2012-11-20T21:33:12-05:00,bos
ride offer: philly to brooklyn 11/19 (philadelphia),philadelphia,http://philadelphia.craigslist.org/rid/3416833154.html,"we're driving from philly to brooklyn, ny on monday. probably leaving around noon. we have room in a comfy car for one passenger and a small amount of luggage. we're travelling musicians, so don't have too much extra space, but it would be great if y [...]",2012-11-17T15:39:24-05:00,emailnotfound,TRUE,philadelphia,2012-11-19T15:39:24-05:00,brooklyn
need ride from philly to philly airport.$75  (all),philadelphia,http://philadelphia.craigslist.org/rid/3416389137.html,"if u need a ride from philly area to philly airport i can take u for $75 
this is for 2 seats not per person this is for a couple or 2 people. 
if needed i can take 3 people all for $75 best price in the area. 
call today for a day and time 267-324-4 [...]",2012-11-17T12:44:45-05:00,emailnotfound,FALSE,philadelphia,2012-11-17T12:44:45-05:00,philly
"need ride to phila int. airport? look here (phila,bucks,montco)",philadelphia,http://philadelphia.craigslist.org/rid/3411297224.html,"if you need a ride to airport and have a lot of luggage, look no further.....i have a cargo van that can accommodate 4 people and a lot of luggage. i have a valid drivers license and big cargo van. my name is lisa. i will pick you up anywhere in phil [...]",2012-11-17T11:34:21-05:00,emailnotfound,TRUE,philadelphia,2012-11-19T11:34:21-05:00,phila
philly to asheville nov 21,philadelphia,http://philadelphia.craigslist.org/rid/3416136581.html,anyone looking for a ride from philly to asheville or anywhere in between on november 21st or from asheville to philly on november 25th and willing to pitch in for gas? two of us are road-tripping and have extra space! send an email message to tessa  [...],2012-11-17T11:05:45-05:00,emailnotfound,TRUE,philadelphia,2012-11-21T11:05:45-05:00,asheville
ride offered - philadelphia to ridgewood on tue 11/20 (philadelphia),philadelphia,http://philadelphia.craigslist.org/rid/3408345574.html,"i'm offering a ride from philadelphia to ridgewood. 
leaving november 20th returning november 24th. contact me on zimride: http://www.zimride.com/ride/share?ride=530256 ",2012-11-17T10:36:53-05:00,emailnotfound,TRUE,philadelphia,2012-11-20T10:36:53-05:00,ridgewood
"need ride philly-montp vt, roughly 11/20-11/26 (philadelphia to montpelier, vt)",philadelphia,http://philadelphia.craigslist.org/rid/3415971318.html,"i am looking for a ride from the philly/nyc area to montpelier or burlington vt. hoping to depart roughly 11/20 - 11/23. will help out with gas money, and bake cookies for the ride. please let me know if you have some extra room in your car. 
thanks!",2012-11-17T09:48:43-05:00,emailnotfound,FALSE,philadelphia,2012-11-20T09:48:43-05:00,montpelier
ride offered - south-south jersey to portland area on sat 11/17 (middle township),philadelphia,http://philadelphia.craigslist.org/rid/3415420187.html,"i'm offering a ride from middle township to harpswell. 
leaving november 17th returning november 19th. i could do a one or two night trip, and my schedule's flexible--trip could happen until nov. 21, or else first week of dec. detours are fine. i've  [...]",2012-11-16T23:12:44-05:00,emailnotfound,TRUE,philadelphia,2012-11-17T23:12:44-05:00,portland
ride to visit love one in prison..car service (philly area- to prison and back home),philadelphia,http://philadelphia.craigslist.org/rid/3408745184.html,"i have a service because i remember what it was like to not be able to get to my loved one...i have an inexpensive service, i wait while you go in and visit and drive you back home or 69th street. 
please let me know asap with a date and time that yo [...]",2012-11-16T20:45:55-05:00,emailnotfound,FALSE,philadelphia,2012-11-16T20:45:55-05:00,visit
i will drive you where you need to go. (anywhere),philadelphia,http://philadelphia.craigslist.org/rid/3397135499.html,"i am a female licensed driver, i am looking to do personalized trips for people, i have a 2011 kia soul, i have tv's in the back for the kids for long rides, we can do flat rates or charge by the mile..i can do weekly or monthly grocery store trips.  [...]",2012-11-16T20:42:29-05:00,emailnotfound,TRUE,philadelphia,2012-11-19T20:42:29-05:00,go.
new jersey to va tomorrow early morning (nj to de-pa-md-va),philadelphia,http://philadelphia.craigslist.org/rid/3415085661.html,"i'm leaving from princeton, nj tomorrow saturday 17 and driving to virginia. i can drop you off or pick you off anywhere around the route. i have room for up to 2-3 people plus luggage. pets ok. rate 30.",2012-11-16T19:40:42-05:00,emailnotfound,TRUE,philadelphia,2012-11-16T19:40:42-05:00,va
philly to dc nov 11 monday (south philly),philadelphia,http://philadelphia.craigslist.org/rid/3403467290.html,"laid back college student with great personality and not that much cash needs a ride from philly to memphis as soon as possible. 
i can help drive if needed. 
if you'd like good company on your ride from philly to dc this week, please call me. 
thank [...]",2012-11-16T14:58:06-05:00,emailnotfound,FALSE,philadelphia,2012-11-11T14:58:06-05:00,dc
"ride offer: down south 95 to asheville, nc (md, dc, va)",philadelphia,http://philadelphia.craigslist.org/rid/3414385728.html,"hey everybody! 
i'm driving from new york to asheville, nc on the sunday after thanksgiving, november 25, and i'm looking for people to share gas and tolls with. i'll be getting a rental car (so it should be a new car for a safe and comfortable ride) [...]",2012-11-16T14:38:54-05:00,emailnotfound,TRUE,philadelphia,2012-11-25T14:38:54-05:00,asheville
