title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need a ride to arizona (from n. dakota),prescott,http://prescott.craigslist.org/rid/3417708803.html,"looking to leave north dakota (jamestown, but i can get to you....) this week...preferably asap. will share gas costs. just me and my clothes need to get home stat...need a ride to arizona or as close to there as you are going???",2012-11-17T22:19:53-07:00,emailnotfound,FALSE,prescott,2012-11-17T22:19:53-07:00,arizona
"driving to phoenix tomorrow, pick up and drop off (prescott)",prescott,http://prescott.craigslist.org/rid/3417630841.html,"non smoker, sane and clean car, driving to phoenix tomorrow morning, 25$ pick up and drop off...20$ if close by to where i am going....no druggies, smokers or drinkers",2012-11-17T21:07:58-07:00,emailnotfound,TRUE,prescott,2012-11-17T21:07:58-07:00,phoenix
"headed to seattle - tow/haul/rideshare (from phx, az)",prescott,http://prescott.craigslist.org/rid/3415966379.html,"i am headed to seattle, wa from phoenix, az and taking the coastal route thru california and oregon. departing i think sunday the 18th probably late at night i am driving my f250 diesel truck i have nothing going up so far so first come first served  [...]",2012-11-17T07:45:57-07:00,emailnotfound,TRUE,prescott,2012-11-18T07:45:57-07:00,seattle
prescott to phoenix...drop off & pick up ..saturday,prescott,http://prescott.craigslist.org/rid/3412668186.html,i will be traveling from paulden to phoenix i can pick you up and drop you off in phoenix...25$...non smokers..no drinkers/drugs..sane person only.,2012-11-15T17:27:10-07:00,emailnotfound,TRUE,prescott,2012-11-17T17:27:10-07:00,phoenix
ride offered prescott valley to mesa/phoenix/sky harbor november 20 (pv/pcc),prescott,http://prescott.craigslist.org/rid/3411103831.html,"i will be driving to phoenix, mesa, sky harbor from pv/pcc tuesday, november 20. if you need a ride and want to share gas then give me a call. room for luggage. 
william 928 772-0849 or respond to this post.",2012-11-15T05:50:59-07:00,emailnotfound,TRUE,prescott,2012-11-20T05:50:59-07:00,mesa/phoenix/sky
phoenix to prescott nov 11 (i-17),prescott,http://prescott.craigslist.org/rid/3400803501.html,need ride back to prescott on sunday night . please call 520-350-3537 - no baggage -gas money,2012-11-10T15:08:01-07:00,emailnotfound,TRUE,prescott,2012-11-11T15:08:01-07:00,prescott
need a ride mon - fri to the gateway mall from pv  (prescott/ prescott valley),prescott,http://prescott.craigslist.org/rid/3396363470.html,"i need a ride to prescott gateway mall ( mon-fri ) from pv any time before 5;30 am to work. 
or/and from prescott gatewey mall to home prescott valley, (yavapi and florentine) any time after 1:00pm no later than 2:30 
i'm willing to pay for gas, i ca [...]",2012-11-08T16:36:23-07:00,emailnotfound,TRUE,prescott,2012-11-12T16:36:23-07:00,the
prescott to la ride offered (prescott),prescott,http://prescott.craigslist.org/rid/3393599283.html,"928-458-5804...i am driving to la on the afternoon of friday the 9th. space for one. 
matt",2012-11-07T13:46:27-07:00,emailnotfound,TRUE,prescott,2012-11-09T13:46:27-07:00,la
will pay money !need a ride to tucson asap (anywhere in prescott/ prescott valley),prescott,http://prescott.craigslist.org/rid/3387146802.html,"its vary important that i get to tucson as fast as possible. 
im here in prescott and need a ride as soon as i can, i can pay for the gas and give extra cash for appreciation. 
i really hope i can get with somebody that can help me out 
its vary impo [...]",2012-11-04T19:06:41-07:00,emailnotfound,FALSE,prescott,2012-11-04T19:06:41-07:00,tucson
need a ride to cali (from prescott),prescott,http://prescott.craigslist.org/rid/3382920293.html,hello i am looking for a ride from prescott az to riverside ca anytime from 11/2 to 11/4. i am willing to help with gas. please call or text 9092052179 or 9092050142. thank you.,2012-11-02T19:39:37-06:00,emailnotfound,FALSE,prescott,2012-11-02T19:39:37-06:00,cali
i need ride to phoenix 11/3 (prescott college),prescott,http://prescott.craigslist.org/rid/3371772938.html,"hey! i need a ride to phoenix this saturday 11/3, i can help with gas money. if your going that way call alex 541-321-0097 thanks!",2012-10-28T21:51:33-06:00,emailnotfound,FALSE,prescott,2012-11-03T21:51:33-06:00,phoenix
"ride needed for two college students, prescott-albuquerque (willing to meet in flagstaff/phoenix)",prescott,http://prescott.craigslist.org/rid/3371769523.html,"we are trying to go home for our thanksgiving break, looking for a safe ride. 
please email me. 
date looking to leave: november 21st 
much respect 
zola and montana",2012-10-28T21:48:36-06:00,emailnotfound,FALSE,prescott,2012-11-21T21:48:36-06:00,meet
ride offered - prescott to oakland on sat 10/27  (prescott),prescott,http://prescott.craigslist.org/rid/3348120634.html,"i'm offering a ride from prescott to oakland, ca, leaving prescott on saturday, october 27th around 9am. i'd be happy to drop you off at bart if you need to get somewhere else in the bay area. asking for $60 for gas.let me know if you are interested, [...]",2012-10-24T10:24:20-06:00,emailnotfound,TRUE,prescott,2012-10-27T10:24:20-06:00,oakland
prescott to tucson/phoenix (prescott),prescott,http://prescott.craigslist.org/rid/3358028797.html,"i am looking to get back home to tucson the night of monday the 29th or the morning of tuesday the 30th. a ride all the way down to tucson would be best but i would settle for phoenix. i make a good road companion, talkative if you want, quiet if you [...]",2012-10-22T18:51:05-06:00,emailnotfound,FALSE,prescott,2012-10-29T18:51:05-06:00,tucson/phoenix
ride needed to mesa airport (prescott),prescott,http://prescott.craigslist.org/rid/3356519182.html,"i am in desperate need of a ride from prescott to the mesa airport on friday, october 26. i have to be at the mesa airport at 5:30 pm. please let me know if you can help. thank you, andrea",2012-10-22T09:07:37-06:00,emailnotfound,FALSE,prescott,2012-10-26T09:07:37-06:00,mesa
prescott to san francisco sunday 10/21,prescott,http://prescott.craigslist.org/rid/3346866690.html,i'm driving to san francisco on sunday 10/22 from prescott and would like to split the gas/driving. get in touch if you are interested. thanks. ,2012-10-17T22:07:09-06:00,emailnotfound,FALSE,prescott,2012-10-21T22:07:09-06:00,san
prescott to los angeles on mon 10/22 ride offered,prescott,http://prescott.craigslist.org/rid/3346627166.html,"driving back to los angeles on 10/22, probably could pick you up in phoenix or palm springs and drive you back as well. send an e-mail, looking for gas split in range of $30.00. 
http://www.facebook.com/pages/jo-elless/279083888206",2012-10-17T19:23:32-06:00,emailnotfound,TRUE,prescott,2012-10-22T19:23:32-06:00,los
