title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
looking for a ride to amazon (sparks),reno,http://reno.craigslist.org/rid/3417604887.html,"hello. my name is blanca and i will be starting my assignment with amazon on dec 6, the orientation 6am-11am. my first day is on friday dec 7, from 7am-530pm. this is my set assignment for sunday, monday, friday, and saturday. if your schedule looks  [...]",2012-11-17T19:46:17-08:00,emailnotfound,FALSE,reno,2012-12-06T19:46:17-08:00,amazon
ride needed from grass valley to sf,reno,http://reno.craigslist.org/rid/3417523685.html,"hi, there! my name is luna, i'm a spanish traveler looking for a ride to san francisco from grass valley (nevada city or auburn could work, too) for november 24th (flexible, though). i guarantee good vibe and dynamic conversation! please, contact me  [...]",2012-11-17T18:45:17-08:00,emailnotfound,FALSE,reno,2012-11-24T18:45:17-08:00,sf
ride today to nevada city n grass valley (west reno),reno,http://reno.craigslist.org/rid/3416941127.html,"hey anyone going to cali via i-80 and 20 let me know 
lots of space chilled ride. 
call text hari 
510-258-9192",2012-11-17T13:25:50-08:00,emailnotfound,FALSE,reno,2012-11-17T13:25:50-08:00,nevada
need a lift back to the bay (or sc) for thnxgiving? ill drive! 11/21 (south lake tahoe ),reno,http://reno.craigslist.org/rid/3414913729.html,"hello travelers! 
im heading home to santa cruz on wed nov 21 and have room for 3 + your bags in my car. i can drop you off anywhere along the way, going down 50 and through the east bay. i have an all wheel drive, weather shouldn't be an issue. trad [...]",2012-11-16T15:15:16-08:00,emailnotfound,TRUE,reno,2012-11-21T15:15:16-08:00,the
reno to  sacramento ride offered,reno,http://reno.craigslist.org/rid/3414909338.html,"will drive from reno to sacramento on saturday morning will be leaving around 9:30. 
call or text 916-467-3013",2012-11-16T15:13:12-08:00,emailnotfound,TRUE,reno,2012-11-17T15:13:12-08:00,sacramento
reno to sacramento - ride wanted (reno - sacramento),reno,http://reno.craigslist.org/rid/3414779837.html,24 year old unr student looking for a ride to sacramento anytime between now and the 19th. i will only have 1 backpack. will provide cash up front for gas. i live close the the freeway by unr. call or text anytime. nick 702.460.1369,2012-11-16T14:15:17-08:00,emailnotfound,FALSE,reno,2012-11-19T14:15:17-08:00,sacramento
"ride offered: lovelock to fort collins sun, nov 18 5am (lovelock)",reno,http://reno.craigslist.org/rid/3414731242.html,"i am leaving for fort collins 5am, sunday, november 18, from lovelock via i-80 to laramie then 287 to fort collins. $75; less for a destination along the route. 
i don't smoke. 
email for more info.",2012-11-16T13:54:54-08:00,emailnotfound,TRUE,reno,2012-11-18T13:54:54-08:00,fort
ride offered \ reno to ridgecrest saturday  (mammoth\bishop\ridgecrest),reno,http://reno.craigslist.org/rid/3414261141.html,"leaving saturday about 8am. stopping in ridgecrest so can drop you anywhere inbetween. mammoth, bishop, lone pine, big pine, etc. coming back on the 24th or 25th. 
newer model chevy 4x4 pick up truck. single, normal, professional, etc",2012-11-16T10:52:31-08:00,emailnotfound,TRUE,reno,2012-11-24T10:52:31-08:00,ridgecrest
sf to truckee (bay area),reno,http://reno.craigslist.org/rid/3414235761.html,"best friend in bay area 
looking for a ride up to tahoe 
sunday morning. 
let me know if anyone has a lead 
thanks ",2012-11-16T10:43:21-08:00,emailnotfound,FALSE,reno,2012-11-16T10:43:21-08:00,truckee
"i am leaving truckee soon-have room for 1, maybe 2 (truckee to sac to bay area)",reno,http://reno.craigslist.org/rid/3414164740.html,"text or call 707 372 8698 leaving noon....now! 
thanks 
t",2012-11-16T10:17:37-08:00,emailnotfound,TRUE,reno,2012-05-02T10:17:37-08:00,sac
"thanksgiving reno to sf bay/santa cruz (reno, nv)",reno,http://reno.craigslist.org/rid/3413718169.html,i am driving out to santa cruz for thanksgiving. plan to depart reno on wednesday afternoon (11/21) and leave the bay back to reno sometime saturday (11/24). some gas money is all i need to make this work. email me if you're interested i will respond [...],2012-11-16T07:29:25-08:00,emailnotfound,FALSE,reno,2012-11-21T07:29:25-08:00,sf
ride needed -wed. the 21st (from truckee to marin),reno,http://reno.craigslist.org/rid/3412688633.html,"ride needed from truckee wed. the day before thanksgiving to san raphael, rt. off downtown.....will help half the gas. good company...very little luggage-just a back pak. please call 530 3863245. thank you ",2012-11-15T16:37:37-08:00,emailnotfound,FALSE,reno,2012-11-21T16:37:37-08:00,marin
reno to cheyenne to el paso (reno sparks),reno,http://reno.craigslist.org/rid/3412606675.html,i will be leaving the reno sparks area on november 16th approximately noon time. my route will be going across interstate 80 east to cheyenne wyoming arriving there sometime late saturday evening. i will then leave on sunday morning heading towards e [...],2012-11-15T15:56:45-08:00,emailnotfound,TRUE,reno,2012-11-16T15:56:45-08:00,cheyenne
ride offered - truckee to santa clarita on fri 11/16 (truckee),reno,http://reno.craigslist.org/rid/3410899211.html,"i'm offering a ride from truckee to santa clarita. 
leaving november 16th returning november 21st. uc berkeley student contact me on zimride: http://www.zimride.com/ride/share?ride=533465 
i drive a 2007 jeep rubicon wrangler. 
4wheeldrive, 4 door, s [...]",2012-11-14T22:41:32-08:00,emailnotfound,TRUE,reno,2012-11-16T22:41:32-08:00,santa
transportation to amazon (north valleys/reno),reno,http://reno.craigslist.org/rid/3410780470.html,"i have a car, looking to carpool with 1-3 more people, im 25/f and a smoker fyi...i start nov 30th fri sat sun mon 7-530 anyone interested???",2012-11-14T20:39:39-08:00,emailnotfound,TRUE,reno,2012-11-30T20:39:39-08:00,amazon
ride offered to the bay area (tahoe to sf),reno,http://reno.craigslist.org/rid/3410299344.html,i will be traveling back to the bay area from lake tahoe on either sunday evening or monday morning. i have plenty of extra room in my large suv for you and your luggage. hit me up so we can coordinate!,2012-11-14T15:52:59-08:00,emailnotfound,TRUE,reno,2012-11-19T15:52:59-08:00,the
going to sacramento/modesto (reno),reno,http://reno.craigslist.org/rid/3410281572.html,"need a ride out to sac or the central valley ca? one way lite baggage would be good. traveling with three college students from usu logan utah. 
tuesday the 20th around 10pm'ish 
20 bucks 
(one way)",2012-11-14T15:44:33-08:00,emailnotfound,TRUE,reno,2012-11-20T15:44:33-08:00,sacramento/modesto
"ride offered: from truckee to reno, and then back to truckee today (truckee--&gt;reno--&gt;truckee)",reno,http://reno.craigslist.org/rid/3375489029.html,"ride offered: from truckee to reno today, and then from reno back to truckee today. 
i can pick you up and drop you off anywhere along the way. 
i have 4 open seats and room for luggage, and all that i ask is just $5 per person to offset the price of [...]",2012-11-14T10:23:41-08:00,emailnotfound,TRUE,reno,2012-11-14T10:23:41-08:00,reno
ride offered - reno to citrus heights on fri 11/16 (reno),reno,http://reno.craigslist.org/rid/3409371424.html,"i'm offering a ride from reno to citrus heights. 
leaving november 16th returning november 19th. contact me on zimride: http://www.zimride.com/ride/share?ride=531206 
i drive a 2011 nissan rouge. ",2012-11-14T09:46:48-08:00,emailnotfound,TRUE,reno,2012-11-16T09:46:48-08:00,citrus
ride offered tahoe-sf 11/15 (truckee to sf),reno,http://reno.craigslist.org/rid/3409146692.html,"i am leaving truckee between 3 and 4 pm tomorrow, thursday, november 15th. i am going all the way to sf but can drop you off anywhere along the way. we will split the gas cost, get to listen to some good tunes, and discuss how green we're being with  [...]",2012-11-14T08:25:00-08:00,emailnotfound,TRUE,reno,2012-11-15T08:25:00-08:00,sf
reno/tahoe to sf offered mon 11/19 (i80),reno,http://reno.craigslist.org/rid/3408485329.html,i will be driving from reno/tahoe area to san francisco and can drop off anywhere along 80. email me if you want to go or want more info. thanks rich.,2012-11-13T21:47:55-08:00,emailnotfound,TRUE,reno,2012-11-19T21:47:55-08:00,sf
ride offered east to wy-mt border (reno-slc-denver-cheyenne),reno,http://reno.craigslist.org/rid/3408219588.html,"i will be leaving the afternoon of monday, 19 november east to the wyoming-montana border. i can take any of several routes for riders: nevada to idaho to montana to wyoming, nevada to utah to colorado to wyoming, or nevada to utah to wyoming. the ci [...]",2012-11-13T18:31:12-08:00,emailnotfound,TRUE,reno,2012-11-19T18:31:12-08:00,wy-mt
need ride to east sac area (any hertz rental location),reno,http://reno.craigslist.org/rid/3408168225.html,"hey ya'll. friend gets back from hawaii and needs his car back on the 19th so if anyone is going to be driving down towards east sacramento (folsom, rancho cordova, anywhere around there) i could really use a ride to any hertz rental car location so  [...]",2012-11-13T18:01:47-08:00,emailnotfound,TRUE,reno,2012-11-19T18:01:47-08:00,east
offer: wednesday 11/14 reno to slc salt lake (east),reno,http://reno.craigslist.org/rid/3407298120.html,"we'll be passing through reno tomorrow wednesday 11/14 around noon, if you want a ride from reno to salt lake city utah. contribute money for gas. 
call or text 320-260-9965 
happy trails :) ",2012-11-13T11:46:18-08:00,emailnotfound,TRUE,reno,2012-11-14T11:46:18-08:00,slc
"cali to ny rides offered for thanksgiving nov. 15-18 (grass valley, ca)",reno,http://reno.craigslist.org/rid/3407287521.html,"traveling school bus heading east has seats available for gas riders. departing on thurs, nov. 15th taking i-80 pretty much the entire way (we can drop you off anywhere along the way). we plan to arrive in ithaca, ny on the night of the 18th. individ [...]",2012-11-13T11:42:31-08:00,emailnotfound,TRUE,reno,2012-11-15T11:42:31-08:00,ny
ride to truckee/tahoe wednesday 11/14 (san rafael),reno,http://reno.craigslist.org/rid/3407154884.html,"hi.. i am leaving to go up to truckee via the 80 on wednesday afternoon. my final destination is on the west shore of tahoe near tahoe city 
$20 gets you a ride. i only have room for 1 person unfortunately my car is full of my winter gear so there is [...]",2012-11-13T10:53:34-08:00,emailnotfound,TRUE,reno,2012-11-14T10:53:34-08:00,truckee/tahoe
"ride to moab, ut (slt)",reno,http://reno.craigslist.org/rid/3406747709.html,"ride offered to moab, ut from south lake tahoe sat 11/17. looking for someone who is a non-smoker, willing to share gas (honda sedan), camp along the way and enjoy good music & convo (of course). bonus if you're a climber: i'm going to indian creek.",2012-11-13T08:27:52-08:00,emailnotfound,TRUE,reno,2012-11-17T08:27:52-08:00,moab
trying to get to sacramento asap.. (truckee-sac airport),reno,http://reno.craigslist.org/rid/3405816982.html,"hello.. 
i am in truckee, ca trying to get to sacramento airport for a flight that leaves super early tues morn(11/13)..might be able to get to other nearby locations if that works better... 
please let me know if you're heading that way.. 
thanks so [...]",2012-11-12T18:54:30-08:00,emailnotfound,FALSE,reno,2012-11-13T18:54:30-08:00,get
"i need a ride from reno to vegas (weds, or thursday the 15th, 16th)",reno,http://reno.craigslist.org/rid/3395803590.html,"hi, i am a 47yr old male, that has a few bags, that needs a ride to las vegas next week,,,i will chip in for gas, not a problem...please give me a call at 541-nine six nine-3355...thank you very much for your time...have a great day",2012-11-12T17:03:59-08:00,emailnotfound,FALSE,reno,2012-11-15T17:03:59-08:00,vegas
ride from reno to vegas,reno,http://reno.craigslist.org/rid/3405172539.html,any time between now and friday. will pay for gas. ,2012-11-12T13:49:12-08:00,emailnotfound,FALSE,reno,2012-11-16T13:49:12-08:00,vegas
"ride to arcata, ca (reno/tahoe to arcata)",reno,http://reno.craigslist.org/rid/3403915593.html,"on thursday, nov. 15, i will have an extra seat in my car driving to arcata, ca. i can stop anywhere along the way; however, we will have to agree on your route and a price beforehand. my leave time is flexible, but it will be in the morning. i am lo [...]",2012-11-12T06:04:09-08:00,emailnotfound,TRUE,reno,2012-11-15T06:04:09-08:00,arcata
"seeking ride to bay area, any bart station will do (reno to the bay)",reno,http://reno.craigslist.org/rid/3403142987.html,"hi, i am looking for a ride to the bay to see family and friends for thanksgiving, i can pitch on gas, can enjoy most kinds of music, and can hold a conversation. i am looking for a ride between monday and wednesday, i am pretty flexible on day and t [...]",2012-11-11T16:59:40-08:00,emailnotfound,FALSE,reno,2012-11-12T16:59:40-08:00,bay
ride offered nov 19 (reno to mendocino county),reno,http://reno.craigslist.org/rid/3403066931.html,"we are traveling to covelo, a small town in mendocino county, we will travel through nevada city, ca, and yuba city ca. 
leaving nov 19th in the afternoon. 
$20 for gas 
call us reno five two five six zero six three 
elias and robin",2012-11-11T16:16:59-08:00,emailnotfound,TRUE,reno,2012-11-19T16:16:59-08:00,mendocino
reno to amazon driver (reno to fernley),reno,http://reno.craigslist.org/rid/3403062542.html,i am working at amazon friday to monday 6pm to 430am. i can take 3 more peeps with the help for gas. give a ring at. 912.308.4055. ,2012-11-11T16:14:33-08:00,emailnotfound,TRUE,reno,2012-11-12T16:14:33-08:00,amazon
reno to fernley (not amazon) (reno/fernley),reno,http://reno.craigslist.org/rid/3385759028.html,"hello! my ne is annette, and i'm 24 years old and i am looking for a ride from downtown reno to wadsworth/fernley on monday, tuesday, & wednesdays. i get off at 6pm. and can pay some gas, if reasonable :) 
i am looking for someone who is trust worthy [...]",2012-11-11T16:13:39-08:00,emailnotfound,FALSE,reno,2012-11-12T16:13:39-08:00,fernley
rideshare to amazon (fernley),reno,http://reno.craigslist.org/rid/3402375841.html,"hi, my name is nathaniel, i recently got a job at amazon out in fernley, i really need a ride. job starts nov 24th shift starts at 6:00 pm. will split gas share. 
my email is nathaniel.payton @rocketmail.com 
thank you.",2012-11-11T10:42:41-08:00,emailnotfound,FALSE,reno,2012-11-24T10:42:41-08:00,amazon
ride offered  (south lake tahoe to midwest),reno,http://reno.craigslist.org/rid/3401924651.html,"driving from south lake tahoe to wisconsin. leaving friday, november 16th or saturday, november 17th. 
i'm driving a suburban. as of today the average cost of a gallon of gas to the midwest is running $3.44 once you leave california. split gas expens [...]",2012-11-11T07:05:43-08:00,emailnotfound,TRUE,reno,2012-11-11T07:05:43-08:00,midwest
need a ride to amazon fernley,reno,http://reno.craigslist.org/rid/3401391484.html,"hello, my name is teresa and i live in reno. my orientation is on nov. 18th @9am_2pm, i start on monday the 19th. my shift will begin @6pm to 4:30am. i will only need a ride on thursday and friday. i am willing to pay my share for gas. if you can hel [...]",2012-11-10T20:21:41-08:00,emailnotfound,FALSE,reno,2012-11-18T20:21:41-08:00,amazon
reno to fernley (sparks),reno,http://reno.craigslist.org/rid/3401036410.html,"hello, my name is brandon. i am looking for a ride to and from the amazon warehouse in fernley.i have orientation on the 29 at 6 am - 11 am. i start work the following day from 7am - 5:30pm. my schedule is friday, saturday, sunday, and monday. i live [...]",2012-11-10T16:10:30-08:00,emailnotfound,FALSE,reno,2012-11-12T16:10:30-08:00,fernley
need ride to vegas today (: (unr),reno,http://reno.craigslist.org/rid/3399575878.html,i'm able to leave any time today (the 10th) but would like to arrive in vegas around 6pm or sooner. sorry i cannot offer gas money. just wondering if someone is going there anyway. text paulo 775 848 0946 thanks!,2012-11-10T04:57:47-08:00,emailnotfound,FALSE,reno,2012-11-10T04:57:47-08:00,vegas
rideshare needed to vegas(or laughlin) and back (reno),reno,http://reno.craigslist.org/rid/3399419473.html,"i am looking to split gas with somebody to vegas sometime this weekend, and maybe back on the 13th or later. i am a clean, 21 y/o traveler looking to meet up with a friend in laughlin for a few days. call me if you have any questions 1707327seven six [...]",2012-11-10T00:37:15-08:00,emailnotfound,FALSE,reno,2012-11-13T00:37:15-08:00,vegas
need ride truckee to grass valley asap,reno,http://reno.craigslist.org/rid/3390485134.html,530-545-3418 ,2012-11-09T14:48:59-08:00,emailnotfound,FALSE,reno,2012-11-09T14:48:59-08:00,grass
needa ride to and from amazon (sparks),reno,http://reno.craigslist.org/rid/3398275015.html,"hello, my name is brandon. i am looking for a ride to and from the amazon warehouse in fernley.i have orientation on the 29 at 6 am - 11 am. i start work the following day from 7am - 5:30pm. my schedule is friday, saturday, sunday, and monday. i live [...]",2012-11-09T12:15:24-08:00,emailnotfound,FALSE,reno,2012-11-12T12:15:24-08:00,and
reno to vegas  leaving mon 11/12 early (reno),reno,http://reno.craigslist.org/rid/3397919522.html,"i am going to las vegas monday 11/ nov early am . maybe even leave sunday . have a toyota truck . room for 1 person . split gas ..about 40.00 dollars. 
responsible middle aged cool guy . text to 702 544 2785 . no idiots or weirdos . 
thanks bob",2012-11-09T10:04:42-08:00,emailnotfound,TRUE,reno,2012-11-12T10:04:42-08:00,vegas
