title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
going to fl (orlando),richmond,http://richmond.craigslist.org/rid/3416911032.html,"am heading to florida on 11/24. let me know if you need a ride. i can drop you off anywhere along the rt 95. the ride will cost you $100.00. 
let me know. ",2012-11-17T16:12:32-05:00,emailnotfound,TRUE,richmond,2012-11-24T16:12:32-05:00,fl
need ride to wal mart (highland springs),richmond,http://richmond.craigslist.org/rid/3416296540.html,i am needing a ride for my son and i to go from highland springs to the mechanicsville wal mart. anytime today or tomorrow. i need to pick up a few household items and a tv. will share with gas costs. thank you!!,2012-11-17T12:09:11-05:00,emailnotfound,FALSE,richmond,2012-11-17T12:09:11-05:00,wal
need ride (nashville tn to el paso tx),richmond,http://richmond.craigslist.org/rid/3416146641.html,"i dont usually do this but i am in a bit of a desperate situation. me, laura, sam and lili are stranded here in lavergne at the old driftwood inn. thanks to laura's fiance micah we have been able to stay here up until tomorrow. thanks to a couple of  [...]",2012-11-17T11:09:45-05:00,emailnotfound,FALSE,richmond,2012-11-17T11:09:45-05:00,el
ride offered - richmond to alexandria on thu 11/22 (richmond),richmond,http://richmond.craigslist.org/rid/3415417291.html,"i'm offering a ride from richmond to alexandria. 
leaving november 22nd returning november 25th. i'm willing to take you to pretty much anywhere in fairfax co or alexandria, or anywhere on the way. contact me on zimride: http://www.zimride.com/ride/s [...]",2012-11-16T23:10:28-05:00,emailnotfound,TRUE,richmond,2012-11-22T23:10:28-05:00,alexandria
richmond to dulles airport 11/25 (rva - iad),richmond,http://richmond.craigslist.org/rid/3412796573.html,"i am driving up to dulles airport on sunday 11/25, starting in the afternoon at 1.30pm. can accommodate upto 3 passengers in my clean 4-door sedan who is/are willing to share gas/tolls. 
can drop you at any metro station in outer dc or dulles airport [...]",2012-11-15T20:35:32-05:00,emailnotfound,TRUE,richmond,2012-11-25T20:35:32-05:00,dulles
fredericksburg to raleigh nc (fredericksburg),richmond,http://richmond.craigslist.org/rid/3409130191.html,"going to raleigh nc for the weekend.. can pickup from anywhere in richmond.. i have place for 3 people.. 
departing from fredericksburg friday evening at 5-6pm and returning from raleigh on sunday 5-6pm. 
let me know if you need a ride.. we can share [...]",2012-11-14T11:18:35-05:00,emailnotfound,TRUE,richmond,2012-11-19T11:18:35-05:00,raleigh
amazon employee need a ride to and from work,richmond,http://richmond.craigslist.org/rid/3377308591.html,"yes i'm a new hire at amazon and i will be needing a ride to and from work friday, saturday,sunday and some monday from 6pm to 5am. willing to pay!!!!!!...please respond...would love to have someone who already work the same shift as i ..you can reac [...]",2012-11-13T19:32:27-05:00,emailnotfound,FALSE,richmond,2012-11-19T19:32:27-05:00,and
ride offered - richmond to norfolk on wed 11/21 (richmond),richmond,http://richmond.craigslist.org/rid/3401747883.html,"i'm offering a ride from richmond to norfolk. 
leaving november 21st. contact me on zimride: http://www.zimride.com/ride/share?ride=526279 ",2012-11-11T07:52:14-05:00,emailnotfound,TRUE,richmond,2012-11-21T07:52:14-05:00,norfolk
ride share to orlando and back (richmond/wmbg areas),richmond,http://richmond.craigslist.org/rid/3401220081.html,"seeking ride share partner. i'm leaving richmond/williamsburg areas dec 15, 12:01 am, returning dec 22, pm. split gas (around $50 each way). one way ride is ok too. you must have valid drivers license, be sane, have good hygeine, and able to hold a c [...]",2012-11-10T21:06:23-05:00,emailnotfound,TRUE,richmond,2012-12-15T21:06:23-05:00,orlando
going up north to ny maybe farther (richmond va),richmond,http://richmond.craigslist.org/rid/3397611397.html,hi i am going up to ny maybe farther monday 11/12 night or tuesday 11/13 early morning. if anybody out there needs lift let me know. can pick up along the way. starting point richmond va area . ,2012-11-09T11:13:01-05:00,emailnotfound,TRUE,richmond,2012-11-12T11:13:01-05:00,ny
