title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered sac to los angeles sunday 6:30pm (sac to la...),sacramento,http://sacramento.craigslist.org/rid/3417920660.html,"i'm driving south bound on the 5 fwy from sac to la can make a stop along the way 
i'll be leaving in the evening on sunday nov 18th 
gas contribution only, i'll be doing the driving... 
please leave a contact # for a response. 
thanks... ",2012-11-18T03:05:48-08:00,emailnotfound,TRUE,sacramento,2012-11-18T03:05:48-08:00,los
offering roundtrip ride 2 san jose from sacramento saturday 12/01/2012 (sacramento to san jose to sacramento),sacramento,http://sacramento.craigslist.org/rid/3417831027.html,"leave sacramento saturday, december 1, 2012 in the morning around 7:00am -10:00am depending on how many riders i have. 
leave san jose saturday, december 1, 2012 around 10:00pm -12:30am. 
willing to pick up and drop off along the way, including bart  [...]",2012-11-17T23:59:00-08:00,emailnotfound,TRUE,sacramento,2012-12-01T23:59:00-08:00,san
ride offered - davis to fallbrook on wed 11/21 (davis),sacramento,http://sacramento.craigslist.org/rid/3417790030.html,"i'm offering a ride from davis to fallbrook. 
leaving november 21st returning november 25th. since this is going on craigslist, i will only give rides to other college students from davis or the surrounding cities if i can meet with you somewhere on  [...]",2012-11-17T22:56:15-08:00,emailnotfound,TRUE,sacramento,2012-11-21T22:56:15-08:00,fallbrook
davis to bay area/ oakland friday 8/31 (davis --&gt; bay area),sacramento,http://sacramento.craigslist.org/rid/3417775274.html,"davis to bay area wed 11/20 for thanksgiving break 
flexible with times, but want to leave early afternoon. 
can drop you off anywhere along the 80 freeway, 880 freeway, or at the bayfair bart station. 
also driving back to davis sometime sunday. 
$1 [...]",2012-11-17T22:36:13-08:00,emailnotfound,TRUE,sacramento,2012-08-31T22:36:13-08:00,bay
leaving to sf berkely oakland (sacramento (midtown)),sacramento,http://sacramento.craigslist.org/rid/3378400787.html,i want tom leave to the bay area tomorrow at nine am please call me i have a big car with room for three passengers it will only cost $35.00 per person and can drop off anywhere in between. reserve your seat 415.504.5643,2012-11-17T21:19:15-08:00,emailnotfound,TRUE,sacramento,2012-11-17T21:19:15-08:00,sf
leaving to la (sacramento),sacramento,http://sacramento.craigslist.org/rid/3417689939.html,offering a ride to la for very cheap. i will leave sunday afternoon/night. let me know if you are interested. email me or text me at 8183269042 ,2012-11-17T21:01:20-08:00,emailnotfound,FALSE,sacramento,2012-11-18T21:01:20-08:00,la
ride offered - sacramento to new york on mon 11/26 (sacramento),sacramento,http://sacramento.craigslist.org/rid/3417689168.html,"i'm offering a ride from sacramento to new york. 
leaving around november 26th . traveling across the country from sacramento to new york and everywhere inbetween. email me with your destination montheijosh@gmail.com and il tell you how much and when [...]",2012-11-17T21:00:37-08:00,emailnotfound,TRUE,sacramento,2012-11-26T21:00:37-08:00,new
are you looking for a ride? the ride guy and woman 24/7 rides offer (where do you need to go?),sacramento,http://sacramento.craigslist.org/rid/3417600392.html,"do you need a ride but don't want to pay for expensive taxi cab? 
i can drive you local or long distance, shopping, dr. appointments, errands, school, work, or whatever. 
i am a father and husband looking to make some extra money to take care of my f [...]",2012-11-17T19:42:43-08:00,emailnotfound,FALSE,sacramento,2012-24-07T19:42:43-08:00,go
are you looking for a ride? the ride guy and woman 24/7 rides offer (where do you need to go?),sacramento,http://sacramento.craigslist.org/rid/3417597370.html,"do you need a ride but don't want to pay for expensive taxi cab? 
i can drive you local or long distance, shopping, dr. appointments, errands, school, work, or whatever. 
i am a father and husband looking to make some extra money to take care of my f [...]",2012-11-17T19:40:21-08:00,emailnotfound,FALSE,sacramento,2012-24-07T19:40:21-08:00,go
are you looking for a ride? the ride guy and woman 24/7 rides offer (where do you need to go?),sacramento,http://sacramento.craigslist.org/rid/3417596684.html,"do you need a ride but don't want to pay for expensive taxi cab? 
i can drive you local or long distance, shopping, dr. appointments, errands, school, work, or whatever. 
i am a father and husband looking to make some extra money to take care of my f [...]",2012-11-17T19:39:47-08:00,emailnotfound,FALSE,sacramento,2012-24-07T19:39:47-08:00,go
