title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - sb to bay area sunday 11/18,santabarbara,http://santabarbara.craigslist.org/rid/3417756396.html,"hey friends, 
my name is danny, i'm a 25 year old male, driving my 2006 jeep laredo to oakland tomorrow, sunday afternoon. i am a nice and trusting man. 
i'm looking for riders anywhere in between who can help with cost of gas. 
either e-mail the cra [...]",2012-11-17T22:12:37-08:00,emailnotfound,TRUE,santabarbara,2012-11-18T22:12:37-08:00,bay
"need a ride from sb to oc (westminster, orange county)",santabarbara,http://santabarbara.craigslist.org/rid/3417564705.html,"just looking for a ride from isla vista to oc. preferably tuesday night or wednesday morning. i got an appointment at 5pm on wednesday. go ahead and send me an email with your number if you're looking for someone to ride with you. 
thanks!",2012-11-17T19:15:04-08:00,emailnotfound,FALSE,santabarbara,2012-11-20T19:15:04-08:00,oc
ride offered - santa barbara to berkeley on sun 11/18 (santa barbara),santabarbara,http://santabarbara.craigslist.org/rid/3416995679.html,"i'm offering a ride from santa barbara to berkeley. 
leaving november 18th. taking the 101 all the way, leaving early afternoon contact me on zimride: http://www.zimride.com/ride/share?ride=535247 
i drive a 2004 toyota solara. ",2012-11-17T13:50:34-08:00,emailnotfound,TRUE,santabarbara,2012-11-18T13:50:34-08:00,berkeley
ride offered: goleta to east bay (goleta to danville),santabarbara,http://santabarbara.craigslist.org/rid/3416649822.html,"hey there, headed to bay area this afternoon/early evening or potentially tomorrow early. hoping to split gas ($35 for you) up there in my truck. plenty of space for bike or whatever. i am easy going, i teach gardening to kids at a local elementary s [...]",2012-11-17T11:24:51-08:00,emailnotfound,TRUE,santabarbara,2012-11-17T11:24:51-08:00,east
ride offered - santa barbara to sf on mon 11/19 (santa barbara),santabarbara,http://santabarbara.craigslist.org/rid/3416520019.html,"i'm offering a ride from santa barbara to san francisco. 
leaving november 19th returning november 20th. my dad is driving up from santa barbara to pick me up in sf and we will be driving back to sb on tuesday.*we are still looking for another person [...]",2012-11-17T10:34:27-08:00,emailnotfound,TRUE,santabarbara,2012-11-19T10:34:27-08:00,sf
ride needed: ucsb to oc 11/20,santabarbara,http://santabarbara.craigslist.org/rid/3406369253.html,"hey. looking for a ride from ucsb to fountain valley on the 11/20 or 11/21. id like to leave in the evening after all my classes, but its up to you since you're driving lol. i can chip in $20 for gas. text me at 714-494-5929 thanks!",2012-11-17T07:18:47-08:00,emailnotfound,FALSE,santabarbara,2012-11-20T07:18:47-08:00,oc
ride needed from santa barbara to santa cruz or san jose 11/23,santabarbara,http://santabarbara.craigslist.org/rid/3415602433.html,"i'm looking for a ride to santa clara on friday, nov 23rd. 
however, san jose, santa cruz or any other nearby city might work as well. 
i'd prefer to arrive late afternoon/early evening but am flexible. 
willing to chip in for gas.",2012-11-16T23:16:27-08:00,emailnotfound,FALSE,santabarbara,2012-11-23T23:16:27-08:00,santa
ride needed to oakland on monday,santabarbara,http://santabarbara.craigslist.org/rid/3415485837.html,"howdy! 
my lovely dog and i are looking for a ride to oakland on monday (november 19th). i can throw down on gas. the dog is super mellow and mid-sized. 
let me know! ",2012-11-16T21:08:27-08:00,emailnotfound,FALSE,santabarbara,2012-11-19T21:08:27-08:00,oakland
offered: sb to bay area wed 11/21 (santa barbara up 101 n),santabarbara,http://santabarbara.craigslist.org/rid/3415457410.html,"leaving santa barbara wed 11/21 (day before thanksgiving) around 3pm (give or take). 
final destination east bay. can drop you off at bart or near by area. 
thanks 
925 285 8120",2012-11-16T20:43:17-08:00,emailnotfound,TRUE,santabarbara,2012-11-21T20:43:17-08:00,bay
ride needed santa barbara to santa cruz 11/21 or 11/22,santabarbara,http://santabarbara.craigslist.org/rid/3415318027.html,"hi! i need a ride to santa cruz for thanksgiving! i am more than happy to pitch for gas. 
kelsey ",2012-11-16T18:57:37-08:00,emailnotfound,FALSE,santabarbara,2012-11-21T18:57:37-08:00,santa
