title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
offer taos/santa fe to austin nov 23 early (taos-austin),santafe,http://santafe.craigslist.org/rid/3415869669.html,"leaving early morning of 23rd from taos. 
you share driving, we will be in austin that evening. 
me: friendly, easy-going older guy on a work trip. 
you: non-smoking (even outside the vehicle), no pets, contribute to gas, drive. 
vehicle: a small rv, [...]",2012-11-17T06:46:43-07:00,emailnotfound,TRUE,santafe,2012-11-23T06:46:43-07:00,austin
"ride needed sante fe to lawrence, ks asap! (sante fe- lawrence, ks)",santafe,http://santafe.craigslist.org/rid/3415201846.html,"hi i am a friendly and clean, 26 y/o male traveling to lawrence, ks for thanksgiving. i have a train ticket for monday the 19th, but i would be willing to cancel my ticket (by sunday for full refund) and split gas up to $70 and help with driving to l [...]",2012-11-16T18:44:39-07:00,emailnotfound,FALSE,santafe,2012-11-16T18:44:39-07:00,lawrence
santa fe to tucson 11/16 or 17 (santa fe),santafe,http://santafe.craigslist.org/rid/3412272853.html,"a last minute call to work in tucson and a dead truck prompts my plea. 
if you should happen to be heading to tucson for the el tour bike race or any other reason, i would be happy to offer some cash, intelligent conversation (or mindful silence) and [...]",2012-11-15T14:27:26-07:00,emailnotfound,TRUE,santafe,2012-11-16T14:27:26-07:00,tucson
"looking for thanksgiving ride to ft. collins, boulder, denver (santa fe)",santafe,http://santafe.craigslist.org/rid/3411624328.html,"greetings, 
i want to visit family in ft. collins, co for thanksgiving. i'm looking for a ride up on wednesday evening or thursday morning. i'm also looking for a ride back on saturday or sunday. 
anyone going to colorado for turkey day? 
thanks, 
pa [...]",2012-11-15T10:17:50-07:00,emailnotfound,FALSE,santafe,2012-11-21T10:17:50-07:00,ft.
"santa fe, nm to austin tx (downtown santa fe)",santafe,http://santafe.craigslist.org/rid/3410733713.html,"friday 16th leaving from santa fe. i plan on leaving santa fe around 3.30pm and i will be driving to austin tx. if you're fun, chip in for gas a lil help with driving would be great. please text 505 310 4627. i'm male in early 30s respetiful and fun. [...]",2012-11-14T21:03:12-07:00,emailnotfound,TRUE,santafe,2012-11-16T21:03:12-07:00,austin
ride from albuquerque to central new york (roch or syr),santafe,http://santafe.craigslist.org/rid/3410258874.html,"hello, my name is mark.my twin brother and i want to share a ride with someone who will be going from albuquerque 
to the rochester or syracuse,new york area around december 12th or 13th.",2012-11-14T16:33:53-07:00,emailnotfound,TRUE,santafe,2012-12-12T16:33:53-07:00,central
ride offered: santa fe to the sf bay area 12/15-12/17,santafe,http://santafe.craigslist.org/rid/3409043660.html,my husband and i are moving to the bay area. we are driving both a 16' moving truck and our own car and have room for passengers. we also have room extra space in the truck for some stuff if you need anything moved. we are happy to drop you off anywa [...],2012-11-14T08:43:59-07:00,emailnotfound,TRUE,santafe,2012-12-15T08:43:59-07:00,the
new mexico to minnesota asap (taos),santafe,http://santafe.craigslist.org/rid/3406111245.html,hello. my name is alex. i am trying to get back to minnesota for the holidays. if anyone is heading thata way between now and the 22nd of november i would appreciate a ride. i can help drive and pay my share of the fuel and food. it would be just me  [...],2012-11-13T00:05:40-07:00,emailnotfound,FALSE,santafe,2012-11-13T00:05:40-07:00,minnesota
santa fe to denver leaving 11/12/12,santafe,http://santafe.craigslist.org/rid/3402975711.html,leaving monday afternoon to denver will return to sf on thursday. let me know if ride is needed in either direction.,2012-11-11T16:27:57-07:00,emailnotfound,FALSE,santafe,2012-11-12T16:27:57-07:00,denver
santa fe to boulder,santafe,http://santafe.craigslist.org/rid/3398207456.html,"leaving on the 14th to boulder (early). i have room for 1 or 2. 
call gaia 
505-920-8018",2012-11-09T12:49:56-07:00,emailnotfound,TRUE,santafe,2012-11-14T12:49:56-07:00,boulder
taos/santa fe to seattle/portland & points in between (taos),santafe,http://santafe.craigslist.org/rid/3389733629.html,i'm driving a large empty van from taos/santa fe to seattle/portland area on monday the 12th of nov. i'm willing to take paid cargo to either city or points along my route. if you have anything you need delivered along my route call me (575) 751-9069 [...],2012-11-09T04:47:43-07:00,emailnotfound,TRUE,santafe,2012-11-12T04:47:43-07:00,seattle/portland
"need ride to san antonio, tx (angel fire)",santafe,http://santafe.craigslist.org/rid/3396314994.html,"hi, i would like to find a rideshare to get me to san antonio, tx in time for thanksgiving but hopefully the monday before. i am off of work as of the afternoon of friday, november 16 and can leave anytime after that. i am a single man with light lug [...]",2012-11-08T16:13:01-07:00,emailnotfound,FALSE,santafe,2012-11-16T16:13:01-07:00,san
"flagstaff to santa fe, tues, nov. 6 or wed. nov. 7",santafe,http://santafe.craigslist.org/rid/3394351951.html,"hi, 
i'm driving to austin (or possibly denver) on the 9th, 10th (or maybe) the 11th. i'm on a cross usa roadtrip and i'm looking for some one for company and to share gas costs and potentially driving. i'm in santa fe right now and considering going [...]",2012-11-07T19:45:56-07:00,emailnotfound,TRUE,santafe,2012-11-06T19:45:56-07:00,santa
ride needed nov 7th taos to abq airport (taos),santafe,http://santafe.craigslist.org/rid/3388710198.html,"hi, 
i need a ride from taos to abq airport by 3pm on wed, nov 7th. 
i have 2 bags and gas money. 
and i would really appreciate the ride- 
thanks! 
503-758-0899 
-j.j.",2012-11-05T12:43:23-07:00,emailnotfound,FALSE,santafe,2012-11-07T12:43:23-07:00,abq
ride offered to seattle nov 8 (taos),santafe,http://santafe.craigslist.org/rid/3388272558.html,"room for one to seattle, leaving november 8 in the morning. split gas, be good, and you're in! email or call 206 eight five six 4512.",2012-11-05T10:11:27-07:00,emailnotfound,TRUE,santafe,2012-11-08T10:11:27-07:00,seattle
ride needed to tucson (from taos),santafe,http://santafe.craigslist.org/rid/3382395169.html,"mandolin player needs ride to tucson or close to it, have gas money also valid liscense and a good driver. call or text me at 575-776-7849. could also leave from santa fe. would like to leave monday november 5th, flexible.",2012-11-02T15:11:49-06:00,emailnotfound,FALSE,santafe,2012-11-05T15:11:49-06:00,tucson
ride needed to denver asap (taos),santafe,http://santafe.craigslist.org/rid/3380891277.html,ride needed to denver before sat. nov. 3 or asap. i am in taos & can help w/gas & driving. call or text manual @ 803-571-6135. i am a nice guy & mechanic.,2012-11-01T23:22:32-06:00,emailnotfound,FALSE,santafe,2012-11-01T23:22:32-06:00,denver
i need a ride to denver tomorrow nov.1st (santa fe),santafe,http://santafe.craigslist.org/rid/3376737088.html,hi -i am a male needing a ride to denver tomorrow nov. 1st. i can share gas. please contact me sometime today if you are traveling in that direction. thanks,2012-10-31T06:55:15-06:00,emailnotfound,FALSE,santafe,2012-10-31T06:55:15-06:00,denver
ride needed from taos to santa fe/albequerque (taos),santafe,http://santafe.craigslist.org/rid/3375085528.html,we are two lovely ladies needing a ride to albeqerque to catch a flight on november 3rd. thanks :),2012-10-30T11:45:37-06:00,emailnotfound,FALSE,santafe,2012-11-03T11:45:37-06:00,santa
santa fe to flagstaff (and points in-between),santafe,http://santafe.craigslist.org/rid/3372231133.html,"hey! we're a traveling music duo going from santa fe to flagstaff leaving mid-morning saturday 
come with us for the price of splitting gas! ($40 gets you all the way). we'll also drop you off along the way. 
we're fun to ride with and we'll keep the [...]",2012-10-29T07:44:56-06:00,emailnotfound,TRUE,santafe,2012-10-34T07:44:56-06:00,flagstaff
ride needed to austin tx. i have gas money,santafe,http://santafe.craigslist.org/rid/3368639712.html,im a polite clean rider and i can help with gas. give me a call or text 707-601-2040,2012-10-27T10:45:51-06:00,emailnotfound,FALSE,santafe,2012-10-29T10:45:51-06:00,austin
"driving to austin this friday, oct 26th (espanola or santa fe)",santafe,http://santafe.craigslist.org/rid/3348060906.html,"leaving early, returning monday 29th. 
share driving and gas. 
need a personal reference for me to call - thanks 
plenty of room for luggage",2012-10-24T07:17:06-06:00,emailnotfound,TRUE,santafe,2012-10-26T07:17:06-06:00,austin
need ride to santa fe today (taos),santafe,http://santafe.craigslist.org/rid/3357215038.html,"looking to get to santa fe today to catch rail runner for a flight out of abq tonight..... 
have only one duffle and a backpack....will pay gas $$ 
thanks",2012-10-22T13:13:02-06:00,emailnotfound,FALSE,santafe,2012-10-22T13:13:02-06:00,santa
"ride needed to pagosa springs , colo.",santafe,http://santafe.craigslist.org/rid/3352950059.html,need a ride in the next 2/3 days to pagosa springs / will help with gas - cat must go as well (well behaved in cars) .,2012-10-20T13:51:57-06:00,emailnotfound,FALSE,santafe,2012-02-03T13:51:57-06:00,pagosa
going to denver or nearby? (durango),santafe,http://santafe.craigslist.org/rid/3345634563.html,"hi! i am looking for someone who is headed north on thurs oct 25th, wants some help with gas money and wouldn't mind coming through durango. personable, respectful, outgoing 33-year old outdoorsy female. 
thanks for your help! 
please reply via email [...]",2012-10-17T12:13:57-06:00,emailnotfound,FALSE,santafe,2012-10-25T12:13:57-06:00,denver
ride from santa fe to ft. worth/ dallas 20/21st (santa fe nm),santafe,http://santafe.craigslist.org/rid/3345565903.html,"hey! 
i am driving east this weekend on either saturday, sunday, or monday from santa fe to ft. worth/dallas. 
i have a large car with plenty of room, and am comfortable with dogs and animals. 
i am a 24 year old student from new mexico, who currentl [...]",2012-10-17T11:49:50-06:00,emailnotfound,FALSE,santafe,2012-20-21T11:49:50-06:00,ft.
looking for a ride to denver oct 17 (santa fe nm),santafe,http://santafe.craigslist.org/rid/3345291882.html,"missed my bus, now i""m looking to make it to denver before 7:00 pm. if anyone is heading up, hit me up at this email and i""ll shoot you my digits. down to split gas, can't drive. i'm chill as hell.",2012-10-17T10:12:55-06:00,emailnotfound,FALSE,santafe,2012-10-17T10:12:55-06:00,denver
need ride from grand junction to santa fe (grand junction co),santafe,http://santafe.craigslist.org/rid/3343692593.html,i am a 25 year old female looking for a ride from grand junction co to santa fe nm anytime in the next two months. i am a nice person but can defend myself so if you or someone you know can help me out please let me know thanks!,2012-10-16T15:02:46-06:00,emailnotfound,FALSE,santafe,2012-10-22T15:02:46-06:00,santa
10/19 santa fe to denver leaving 4pm,santafe,http://santafe.craigslist.org/rid/3316078357.html,"offering ride on 10/ 019 from santa fe to denver north on i 25 for share of gas money 
leaving from santa fe ~ 4:00 pm 
call matt 505 913 0389",2012-10-16T13:12:54-06:00,emailnotfound,TRUE,santafe,2012-10-19T13:12:54-06:00,denver
going to texas?,santafe,http://santafe.craigslist.org/rid/3341790152.html,i am leaving early sunday morning (10-21) for houston. have room for up to 2 passengers and some luggage. route is somewhat flexible depending on your destination. divide gas evenly.,2012-10-15T19:39:48-06:00,emailnotfound,TRUE,santafe,2012-10-21T19:39:48-06:00,texas
"ride to denver offered (esp., santa fe, taos)",santafe,http://santafe.craigslist.org/rid/3341060816.html,"i'm attending a conference in denver and driving there wed., oct. 17th. i plan to rent a car at buffalo thunder and head north through taos although i could also pick someone up in santa fe or las vegas and take i-25. i'm not really in need of gas mo [...]",2012-10-15T14:06:48-06:00,emailnotfound,TRUE,santafe,2012-10-17T14:06:48-06:00,denver
need ride from santa fe to albuquerque 10/18 (santa fe),santafe,http://santafe.craigslist.org/rid/3336060157.html,"i am seeking a ride from santa fe to albuquerque early on the morning of thursday, october 18th. i need to be to the albuquerque airport by 5:15am. i will cover gas costs and pay you additionally for the ride. please respond to the email shown. thank [...]",2012-10-13T09:02:28-06:00,emailnotfound,FALSE,santafe,2012-10-18T09:02:28-06:00,albuquerque
i need a ride to denver today (please las vegas nm),santafe,http://santafe.craigslist.org/rid/3333261453.html,"it's fall break at new mexico highlands university. i would like a ride this afternoon to denver. i have gas money. i am a friendly, safe, student and teacher. it's getting late so please respond asap",2012-10-12T00:42:15-06:00,emailnotfound,FALSE,santafe,2012-10-12T00:42:15-06:00,denver
"ride from taos to moffet (near crestone, co) (friday eve!)",santafe,http://santafe.craigslist.org/rid/3331956653.html,"want to leave friday (tomorrow) will leave anytime this weekend want to see collapse in crestone sunday afternoon. 
call now at (845) 332 9468 
we can contribute gas $ ",2012-10-11T12:20:16-06:00,emailnotfound,FALSE,santafe,2012-10-11T12:20:16-06:00,moffet
taos to abq sat morning early (taos/abq),santafe,http://santafe.craigslist.org/rid/3331449945.html,i have a plane to catch early sat morning in abq. need a ride to taos.,2012-10-11T09:15:22-06:00,emailnotfound,TRUE,santafe,2012-10-13T09:15:22-06:00,abq
offering ride to colorado springs the friday eve (espanola or santa fe),santafe,http://santafe.craigslist.org/rid/3329034155.html,"leaving about 5pm 
you pay $30 and half the driving. 
need a phone reference. 
plenty of room for luggage 
thanks",2012-10-10T09:00:49-06:00,emailnotfound,TRUE,santafe,2012-10-12T09:00:49-06:00,colorado
drive my car to san francisco (santa fe),santafe,http://santafe.craigslist.org/rid/3327384712.html,"i'm looking for someone to drive my car to san francisco this weekend. like for it to be here by monday. it is a stick shift. you must have a license. 
please email me and i'll send you my phone #.",2012-10-09T12:28:21-06:00,emailnotfound,FALSE,santafe,2012-10-15T12:28:21-06:00,san
need ride from santa fe to san francisco,santafe,http://santafe.craigslist.org/rid/3324448069.html,"i am looking for a ride from santa fe to san francisco to start a bicycle trip with my boyfriend. i am looking to leave around the 20th, not before the 19th, of october. i can help pay for gas, drive, and keep you company! let me know if you think yo [...]",2012-10-08T09:21:35-06:00,emailnotfound,FALSE,santafe,2012-10-20T09:21:35-06:00,san
new mexico to austin tx (santa fe nm),santafe,http://santafe.craigslist.org/rid/3324432700.html,"hey 
i will be driving to austin tx, sometime next weekend (sept 12-14) and am looking for ride-shares to keep me company and split gas with. the departure date is flexible. 
i drive a ford hatch-back so i can take a large amount of stuff and will al [...]",2012-10-08T09:15:54-06:00,emailnotfound,FALSE,santafe,2012-09-12T09:15:54-06:00,austin
need ride to cali (santa fe),santafe,http://santafe.craigslist.org/rid/3323008746.html,"i find myself stranded in santa fe (not a bad place). but my home is san luis obispo, ca, although anywhere in california will do. i am currently low on funds, but will be able to provide food for the trip on the 10th. my financial situation should c [...]",2012-10-07T14:19:13-06:00,emailnotfound,TRUE,santafe,2012-10-10T14:19:13-06:00,cali
ride needed taos to albquerque- mon oct 8th (taos),santafe,http://santafe.craigslist.org/rid/3321342891.html,"hi, 
my friend and i are looking for a ride from taos new mexico to albquerque airport on monday 
-we can leave anytime before late afternoon- 
we can contribute some gas money- 
there will be 3 bags of luggage 
thank you! 
j.j. 
503-758-0899",2012-10-06T16:28:11-06:00,emailnotfound,FALSE,santafe,2012-10-08T16:28:11-06:00,albquerque-
ride offered to durango (taos),santafe,http://santafe.craigslist.org/rid/3316423329.html,"i'm leaving taos for durango monday morning, oct.8th. looking for a non-smoking, clean person to share the ride and gas expense which is $30 total so your share would be $15. i have room for 1 person with some luggage.",2012-10-04T13:30:08-06:00,emailnotfound,TRUE,santafe,2012-10-08T13:30:08-06:00,durango
"rideshare albq east on 40 to so fla (albq, nm)",santafe,http://santafe.craigslist.org/rid/3315268680.html,"leaving albq. sat. oct. 6th - mostly route 40 thru amarillo, oklahoma city, hot springs, ark - final destination so florida. 
get off anywhere along the way. 
looking for one person with small bag to share gas and driving. car is honda crv. in great  [...]",2012-10-04T02:11:30-06:00,emailnotfound,TRUE,santafe,2012-10-06T02:11:30-06:00,so
