title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered to la tues 11/20 (berkeley),sfbay,http://sfbay.craigslist.org/eby/rid/3417853470.html,ride offered to la area tues 11/20. email me for more details. please include a little bit about yourself when responding to ad. ,2012-11-18T00:40:48-08:00,emailnotfound,TRUE,sfbay,2012-11-20T00:40:48-08:00,la
ride offer to sacramento from san jose one way saturday 12/01/2012 (san jose to sacramento),sfbay,http://sfbay.craigslist.org/sby/rid/3417831161.html,"leave san jose saturday, deecember 1, 2012 around 10:00pm - 12:30am. 
no return trip. 
willing to pick up and drop off along the way, including bart & cal train. 
everything must fit in front and back seats because the trunk will be filled with my st [...]",2012-11-17T23:59:13-08:00,emailnotfound,TRUE,sfbay,2012-12-01T23:59:13-08:00,sacramento
ride needed from sf to la,sfbay,http://sfbay.craigslist.org/eby/rid/3417811785.html,"hi, everyone! 
this is karina, a traveler from argentina, looking for a ride on november 29th from san francisco to los angeles. good vibe and sweet company guaranteed! 
thanks so much for your help!",2012-11-17T23:27:49-08:00,emailnotfound,FALSE,sfbay,2012-11-29T23:27:49-08:00,la
ride needed from sf to la,sfbay,http://sfbay.craigslist.org/pen/rid/3417811516.html,"hi, everyone! 
this is karina, a traveler from argentina, looking for a ride on november 29th from san francisco to los angeles. good vibe and sweet company guaranteed! 
thanks so much for your help!",2012-11-17T23:27:26-08:00,emailnotfound,FALSE,sfbay,2012-11-29T23:27:26-08:00,la
ride needed from sf to la,sfbay,http://sfbay.craigslist.org/nby/rid/3417810605.html,"hi, everyone! 
this is karina, a traveler from argentina, looking for a ride on november 29th from san francisco to los angeles. good vibe and sweet company guaranteed! 
thanks so much for your help!",2012-11-17T23:26:03-08:00,emailnotfound,FALSE,sfbay,2012-11-29T23:26:03-08:00,la
ride needed from sf to la,sfbay,http://sfbay.craigslist.org/scz/rid/3417803681.html,"hi, everyone! 
this is karina, a traveler from argentina, looking for a ride on november 29th from san francisco to los angeles. good vibe and sweet company guaranteed! 
thanks so much for your help!",2012-11-17T23:15:43-08:00,emailnotfound,FALSE,sfbay,2012-11-29T23:15:43-08:00,la
seeking ride to eugene/portland on 21nd return25th (mission district),sfbay,http://sfbay.craigslist.org/sfc/rid/3417797564.html,"hello all! 
i am looking for a ride to eugene oregon to visit a dear friend for t-giving. 
i would love to leave on the 22nd or 21st and am looking to return on the 25th. 
i'll pay for 1/2 the gas and i just might bring delicious snacks! also...i won [...]",2012-11-17T23:06:51-08:00,emailnotfound,FALSE,sfbay,2012-01-02T23:06:51-08:00,eugene/portland
seeking a ride sj or sf to la sunday (woodside),sfbay,http://sfbay.craigslist.org/pen/rid/3417782106.html,"hello! i'm hoping to find a ride to los angeles from either san jose or san francisco, sometime tomorrow afternoon or evening. is that something you could help me with? let me know, and we'll discuss details. thanks so much! 
g",2012-11-17T22:45:32-08:00,emailnotfound,FALSE,sfbay,2012-11-17T22:45:32-08:00,la
oakland/berkeley to redding - 11/24 (oakland lake merritt / grand),sfbay,http://sfbay.craigslist.org/eby/rid/3417758467.html,"hi there 
the i-5 sure is boring! wanna carpool with me to redding around early eve/eve this wednesday? i will be coming back friday morning, as well. 
i have a nice clean, economically fueled car. 
thanks, 
jenny",2012-11-17T22:15:09-08:00,emailnotfound,TRUE,sfbay,2012-11-24T22:15:09-08:00,redding
"i can offer a ride: sf to santa cruz, sunday 11/18 (downtown / civic / van ness)",sfbay,http://sfbay.craigslist.org/sfc/rid/3417728964.html,"i can offer a ride from san francisco to santa cruz / capitola, sunday, november 18 
looking to leave later in evening, though flexible. 
gas $ helpful.",2012-11-17T21:41:15-08:00,emailnotfound,FALSE,sfbay,2012-11-18T21:41:15-08:00,santa
"ride offered: sc to san francisco / sfo, sunday, 11/18 (capitola)",sfbay,http://sfbay.craigslist.org/scz/rid/3417722214.html,"i can offer a ride from santa cruz/capitola to san francisco, sunday, november 18 
i can drop you at sfo as well. 
looking to leave around 11:30 am, though flexible. 
gas $ helpful. ",2012-11-17T21:33:56-08:00,emailnotfound,TRUE,sfbay,2012-11-18T21:33:56-08:00,san
"ride offered san francisco to eugene, or 11/21/2012  (potrero hill)",sfbay,http://sfbay.craigslist.org/sfc/rid/3417714193.html,"i plan to leave at noon on 11/21/2012 from san francisco to eugene, or. $40 a person/one way. i will come back on sunday 11/25/2012. my car is a volvo s60 with manual transmission. 
thanks!",2012-11-17T21:25:22-08:00,emailnotfound,TRUE,sfbay,2012-11-21T21:25:22-08:00,eugene
need a ride from bay area to portland (downtown / civic / van ness),sfbay,http://sfbay.craigslist.org/sfc/rid/3417700744.html,"looking for a ride from anywhere in the bay area to portland any time in the next few days starting from sunday the 18th... 
i am friendly and easy going, and respectful of all types of people. 
located in downtown sf, but happy to travel to a more c [...]",2012-11-17T21:11:42-08:00,emailnotfound,FALSE,sfbay,2012-11-18T21:11:42-08:00,portland
ride offered- bishop to sf tues or wed 11-20/21 (mission district),sfbay,http://sfbay.craigslist.org/sfc/rid/3417689382.html,"hello! i'm leaving from bishop (or actually 45 minutes south, in independence) this tuesday or wednesday, for sf. let me know if you'd like a ride. 27-year-old female. 
angela",2012-11-17T21:00:48-08:00,emailnotfound,FALSE,sfbay,2012-20-21T21:00:48-08:00,sf
looking for a ride to fresno sunday (dublin / pleasanton / livermore),sfbay,http://sfbay.craigslist.org/eby/rid/3417689274.html,my girlfriend and i are looking for a ride to fresno tomorrow sunday 11/18 if you are going that way please let us know ,2012-11-17T21:00:42-08:00,emailnotfound,FALSE,sfbay,2012-11-18T21:00:42-08:00,fresno
ride offered- sf to portland 11-24 (mission district),sfbay,http://sfbay.craigslist.org/sfc/rid/3417684066.html,"hello! i'm a 27-year-old female traveling from sf to portland on november 24th. let me know if you'd like a ride there or anywhere on the way. i've already got one taker, so gas will be cheaper for everyone. 
angela",2012-11-17T20:55:50-08:00,emailnotfound,TRUE,sfbay,2012-11-24T20:55:50-08:00,portland
sf to chicago mid december (inner richmond),sfbay,http://sfbay.craigslist.org/sfc/rid/3417666357.html,"i'm planning a trip to chicago leaving dec 14th or 15th, and have room for 1 or 2 riders and some gear.current route is negotiable but probably taking i-80 (depending on weather). if you're interested, send me an email. 
~john",2012-11-17T20:39:20-08:00,emailnotfound,TRUE,sfbay,2012-12-14T20:39:20-08:00,chicago
ride offered bay area to slo 11/21 (berkeley),sfbay,http://sfbay.craigslist.org/eby/rid/3417639287.html,"hey there, 
headed to see family in san luis obispo for the holiday. if you need a ride, i can drop off anywhere along the 101 to nipomo (i'll go as far as santa maria). i'm leaving november 21st, wednesday morning around 11am from berkeley. 
email m [...]",2012-11-17T20:15:02-08:00,emailnotfound,TRUE,sfbay,2012-11-21T20:15:02-08:00,slo
need ride: to olympia (the whole bay area ),sfbay,http://sfbay.craigslist.org/eby/rid/3417639183.html,"would like to ride up to olympia early this next week! not strict on departure times. i have about 60 on gas money for you. 
light traveler. give me a txt msg @ 360-561-2706. 
go by the name of jules!",2012-11-17T20:14:57-08:00,emailnotfound,FALSE,sfbay,2012-11-19T20:14:57-08:00,olympia
ride offered - berkeley to tacoma on wed 11/21 (berkeley),sfbay,http://sfbay.craigslist.org/eby/rid/3417603645.html,"i'm offering a ride from berkeley to tacoma. 
leaving november 21st returning november 24th. let's drive contact me on zimride: http://www.zimride.com/ride/share?ride=539601 
i drive a 1999 toyota tacoma. 
dora",2012-11-17T19:45:20-08:00,emailnotfound,TRUE,sfbay,2012-11-21T19:45:20-08:00,tacoma
headed to la sunday? (hitch a ride with me),sfbay,http://sfbay.craigslist.org/eby/rid/3417597322.html,"leaving at 3 pm from bart headed down i5 straight into la and oc. final destination is irvine, but i am more than happy to drop you along the way. text me if you are in 9494363012. i have three seat open for riders!",2012-11-17T19:40:18-08:00,emailnotfound,TRUE,sfbay,2012-11-18T19:40:18-08:00,la
ride offered - santa cruz to santa clarita on wed 11/21 (santa cruz),sfbay,http://sfbay.craigslist.org/scz/rid/3417551088.html,"offering a ride from santa cruz to santa clarita/san fernando. leaving at 8:30am on wed (11/21) and returning around 4 on sun (11/25). my roommate is getting a ride from santa clarita to simi valley. if you need a ride up that way, you may be able to [...]",2012-11-17T19:04:57-08:00,emailnotfound,TRUE,sfbay,2012-11-21T19:04:57-08:00,santa
offering ride from sanfrancisco to sacramento every tuesday & thursday (howard street &amp; 8th street san francisco),sfbay,http://sfbay.craigslist.org/sfc/rid/3417537075.html,"http://sacramento.craigslist.org/rid/3417535614.html 
returning home: 
ride share to sacramento from san francisco for $5, one way per person. 
i leave at 5:30pm from san francisco and arrive in sacramento around 7:30pm. 
i have mechanical engineerin [...]",2012-11-17T18:54:47-08:00,emailnotfound,TRUE,sfbay,2012-11-20T18:54:47-08:00,sacramento
ride from sf to sd  (sausalito),sfbay,http://sfbay.craigslist.org/nby/rid/3417523558.html,"leaving sf mid morning, sunday nov18 to san diego . two seats available. 55 bucks a piece. shoot me a text at 858 248 6690. i drive a toyota forerunner and my final destination is pacific beach. thanks. richie ",2012-11-17T18:45:12-08:00,emailnotfound,TRUE,sfbay,2012-11-18T18:45:12-08:00,sd
"ride needed from santa cruz/bay area to either arcata, pdx, or seattle (santa cruz)",sfbay,http://sfbay.craigslist.org/scz/rid/3417496481.html,"hello potential ride share partner, 
i'm looking for a lift. where to is flexible, but eventually i'm hoping to be in bellingham, washington by thanksgiving. 
if you are driving to any of these places and would like a friendly passenger, please let m [...]",2012-11-17T18:26:01-08:00,emailnotfound,FALSE,sfbay,2012-11-23T18:26:01-08:00,either
driving to portland monday 11/19 (oakland north / temescal),sfbay,http://sfbay.craigslist.org/eby/rid/3417479532.html,"looking for one rider to split gas ( 3 ways ), and maybe driving. 
i've been doing rideshares for many years now. 
ideally leaving around 11 am from ashby bart. i have one other rider, so it'll be three of us in a four seat convertible with a small t [...]",2012-11-17T18:14:29-08:00,emailnotfound,TRUE,sfbay,2012-11-19T18:14:29-08:00,portland
