title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need a ride to st. paul in december (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3396712277.html,"i am looking for someone to give me a ride to mpls/st. paul probably the 1st or 2nd weekend in december. would prefer to go up on a friday and be back sunday afternoon. 
i would like to find someone who would have an hour or so to stop in medford on  [...]",2012-11-17T19:51:59-06:00,emailnotfound,TRUE,siouxfalls,2012-11-23T19:51:59-06:00,st.
"looking to get a ride for a friend (appleby, sd to sioux falls, sd)",siouxfalls,http://siouxfalls.craigslist.org/rid/3401147110.html,"a friend of mine is looking to get a ride from appleby, sd to sioux falls. right now she is pretty low on funds and wants to move to sioux falls to be with her family. 
if anyone could help out that would be greatly appreciated.",2012-11-10T19:18:01-06:00,emailnotfound,FALSE,siouxfalls,2012-11-16T19:18:01-06:00,get
sf to rapid to sf (sd),siouxfalls,http://siouxfalls.craigslist.org/rid/3334609079.html,i make a weekly round trip (each saturday) between sioux falls and rapid city transporting freight in my personal vehicle. i usually have extra room and could use a larger vehicle if necessary to transport your [legal] freight across the state. under [...],2012-11-09T10:18:14-06:00,emailnotfound,TRUE,siouxfalls,2012-11-10T10:18:14-06:00,rapid
ride offered - sioux falls to kansas city on wed 11/7 (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3392193950.html,"i'm offering a ride from sioux falls to kansas city. 
leaving november 7th. no smoking, drugs etc. contact me on zimride: http://www.zimride.com/ride/share?ride=519624 ",2012-11-06T23:30:04-06:00,emailnotfound,TRUE,siouxfalls,2012-11-07T23:30:04-06:00,kansas
seeking ride for dog to ca (rapid city),siouxfalls,http://siouxfalls.craigslist.org/rid/3387539590.html,"hello! my boyfriend and i recently moved out west and had to leave our four-legged friend at home. now we have the ability to keep him and he's looking for a ride out - we are willing to help out on gas expenses. if you're coming this way, he's a ver [...]",2012-11-05T02:29:40-06:00,emailnotfound,FALSE,siouxfalls,2012-11-09T02:29:40-06:00,ca
28 year old female looking for a ride to montana asap (siouxfalls to greatfalls),siouxfalls,http://siouxfalls.craigslist.org/rid/3384084024.html,hey i am looking for a eide to greatfalls montan or any were near their asap. i do have a lil dog and cant take a bus with her. call or text me six05 four9 six six six 7 six...... yhank you and have a safe drive....,2012-11-03T12:29:34-05:00,emailnotfound,FALSE,siouxfalls,2012-11-03T12:29:34-05:00,montana
28 year old female needs ride to greatfalls montan (siouxfalls sd),siouxfalls,http://siouxfalls.craigslist.org/rid/3376245626.html,"i am a 28 year old female and am looking for a safe ride home, i cant take a bus with my little dog otherwise i would. i dont want to have to deal with a perv who is trying to offer me a ride in hope to get laid...i am not a lot lizard.. lol anyways  [...]",2012-10-30T21:37:16-05:00,emailnotfound,FALSE,siouxfalls,2012-10-36T21:37:16-05:00,greatfalls
ride offered - sioux falls to minneapolis on fri 11/2 (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3370790071.html,"i'm offering a ride from sioux falls to minneapolis. 
leaving november 2nd returning november 2nd. contact me on zimride: http://www.zimride.com/ride/share?ride=509119 ",2012-10-28T13:30:26-05:00,emailnotfound,TRUE,siouxfalls,2012-11-02T13:30:26-05:00,minneapolis
"trying to get to bemidji, mn (bemidji, mn)",siouxfalls,http://siouxfalls.craigslist.org/rid/3359057066.html,"trying to get to bemidji, minnesota by the end of this week to start a job which will last through the winter. i am supposed to winterize someone""s house in exchange for staying there throught until spring. really need this ride, have gas money. also [...]",2012-10-23T10:22:45-05:00,emailnotfound,FALSE,siouxfalls,2012-10-29T10:22:45-05:00,get
"oct 24, 2012 sioux falls  (to denver)",siouxfalls,http://siouxfalls.craigslist.org/rid/3358807078.html,"taking a pick up to denver. if you need stuff to go it will be empty... if you just need to go i have a back seat too. 
let me know.. will leave around 1:00 in the afternoon. 
chere",2012-10-23T08:37:00-05:00,emailnotfound,TRUE,siouxfalls,2012-10-24T08:37:00-05:00,denver
need ride to sioux falls friday (msp airport),siouxfalls,http://siouxfalls.craigslist.org/rid/3358248028.html,i might be flying into minneapolis on friday oct. 26 and would need a ride from the airport to s.f. would pay for gas up to $60. email through craigslist or call 678-266-8256.,2012-10-22T21:59:47-05:00,emailnotfound,TRUE,siouxfalls,2012-10-26T21:59:47-05:00,sioux
ride offered - sioux falls to omaha on fri 10/19 (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3347151930.html,"i'm offering a ride from sioux falls to omaha. 
leaving october 19th. i have been a flight attendant for 26 years, live in sioux falls now, based in phoenix. i often drive between sioux falls to minneapolis, or to omaha depending on where i can get f [...]",2012-10-18T06:36:30-05:00,emailnotfound,TRUE,siouxfalls,2012-10-19T06:36:30-05:00,omaha
