title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
sedro to everett m-f,skagit,http://skagit.craigslist.org/rid/3345041102.html,hello. i drive from woolley to everett monday through friday for work. i leavewoolley around 6:30am and i leave everett around 6pm. just looking for someone who can put in $30 a week for gas. i can pick up in my vernon or woolley and same for drop of [...],2012-11-14T07:33:14-08:00,emailnotfound,TRUE,skagit,2012-11-19T07:33:14-08:00,everett
ferry to deer harbor (orcas island),skagit,http://skagit.craigslist.org/rid/3404692359.html,"hello. i need a lift from the orcas island ferry to deer harbor tomorrow. i'll be taking the 10:35am ferry out of anacortes and arriving on orcas at 11:40, as scheduled. 
if you're headed towards deer harbor and can afford to fit another traveler for [...]",2012-11-12T10:57:31-08:00,emailnotfound,TRUE,skagit,2012-11-12T10:57:31-08:00,deer
carpool to whistler for opening day (sedro),skagit,http://skagit.craigslist.org/rid/3400827790.html,"trying to get a group together to head up the whistler for opening day, opening day is thursday the 22nd. if you are up for it the more people the lower the cost what you need: 
money lift tickets are 98cad + your share for gas 
passport/ enhanced dr [...]",2012-11-10T14:20:01-08:00,emailnotfound,FALSE,skagit,2012-11-22T14:20:01-08:00,whistler
need a ride anacortes to seattle - friday 11/9 (san juan),skagit,http://skagit.craigslist.org/rid/3394161542.html,"i am trying to get to seattle for the weekend, and a ride share would be much easier than bicycling to mount vernon to catch the bus. 
thanks! 
-todd",2012-11-07T16:55:50-08:00,emailnotfound,FALSE,skagit,2012-11-09T16:55:50-08:00,seattle
drive a forester to montana? (anacortes),skagit,http://skagit.craigslist.org/rid/3313813566.html,"i have a 99 subaru forester that i would like to have in montana in either missoula or whitefish from anacortes. you pay your own gas. return it as clean as you found it. only persons with valid driver's license, their own insurance, and a clean driv [...]",2012-10-30T20:15:05-07:00,emailnotfound,FALSE,skagit,2012-10-36T20:15:05-07:00,montana
"looking to get back home..... (hayward, california)",skagit,http://skagit.craigslist.org/rid/3344317816.html,"i and my 11 month lab are seeking a ride home to hayward,california from marble mount wa moved here sept 15th led to be leave there was a job here waiting for me i spent every last penny i had to move to marble mount with a moving truck and for gas u [...]",2012-10-16T19:10:20-07:00,emailnotfound,FALSE,skagit,2012-09-15T19:10:20-07:00,get
sedro /burl/mt vern to $ 12 olympia 8am sattttttttttt14 (sedro),skagit,http://skagit.craigslist.org/rid/3335736509.html,8-9-9-5=2=7=1 txt 3=9=1 nine8nine8,2012-10-13T04:26:36-07:00,emailnotfound,TRUE,skagit,2012-10-13T04:26:36-07:00,12
skagit valley to portland (alger),skagit,http://skagit.craigslist.org/rid/3325015708.html,help! i need to get to portland by the weekend! i got gas money! email me! ,2012-10-08T11:40:34-07:00,emailnotfound,FALSE,skagit,2012-10-08T11:40:34-07:00,portland
sunday: need ride from anacortes to seattle (anacortes),skagit,http://skagit.craigslist.org/rid/3318804753.html,i need a ride from anacortes to seattle on sunday (oct. 7). gas $$ provided. i will be moving my boat up to anacortes on saturday and need a ride back to pick up car.,2012-10-05T13:03:02-07:00,emailnotfound,TRUE,skagit,2012-10-07T13:03:02-07:00,seattle
"help - seattle to anacortes, simple delivery (seattle to anacortes)",skagit,http://skagit.craigslist.org/rid/3314188198.html,"""emergency"" 
if anyone is coming up from seattle to anacortes today, and could grab a motorcycle part (clutch cable for a 1974 honda cb360)) for me at bent bikes on 99 in lynwood... you could save my day and week and much more. 
my clutch cable broke [...]",2012-10-03T13:11:09-07:00,emailnotfound,FALSE,skagit,2012-10-03T13:11:09-07:00,anacortes
