title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
i will take you anywhere in the us if you compensate 4 time and gas:)  (saint robert (willing to travel)),springfield,http://springfield.craigslist.org/rid/3417353115.html,"i would be willing to take you where you need to go! 
my name is codie rayl im 21 (im a girl) im happily engaged, and i have driven as a profession for the passed year or so. the distance would be no problem. i drive a 2004 saturn ion (fits up to 3 p [...]",2012-11-17T18:55:07-06:00,emailnotfound,TRUE,springfield,2012-11-17T18:55:07-06:00,travel
going to denver and back  (branson west ),springfield,http://springfield.craigslist.org/rid/3393234236.html,we are going to denver for christmas looking for anyone who needs ride that direction leaving the 17 or 18 and returning around the 27th 9562664489 or 5053999158 ,2012-11-07T12:30:49-06:00,emailnotfound,TRUE,springfield,2012-11-27T12:30:49-06:00,denver
"roundtrip from springfield, mo to wichita, ks and back (springfield, mo)",springfield,http://springfield.craigslist.org/rid/3389073631.html,"i live in springfield, mo. i drive back to wichita, ks every month or two to visit family and friends. looking for another person to ride along and help with gas expenses ($20 one way or $40 round trip). you would not have to drive at all. 
when i ma [...]",2012-11-05T16:00:48-06:00,emailnotfound,TRUE,springfield,2012-11-05T16:00:48-06:00,wichita
springfield to joplin (springfield),springfield,http://springfield.craigslist.org/rid/3379412968.html,headed to joplin satuday morning....anyone need a ride?,2012-11-01T11:54:31-05:00,emailnotfound,TRUE,springfield,2012-11-03T11:54:31-05:00,joplin
springfield to north carolina (durham or in between),springfield,http://springfield.craigslist.org/rid/3367628645.html,empty 2012 cargo van with 60 year old responsible driver going to n.c.can transport cargo to any where along the way or durham area.leaving tues 10/29 call 5169930661,2012-10-26T20:45:44-05:00,emailnotfound,TRUE,springfield,2012-10-29T20:45:44-05:00,north
i will pay all your gas to la (springfield mo.),springfield,http://springfield.craigslist.org/rid/3358903475.html,"i have some stuff that won't fit in my nissan xterra and want to know if anyone has a truck or van and needs to get to so cal.around the middle of november to december 1. the dates are pretty flexible. 
i will give you a great deal. i will pay all yo [...]",2012-10-23T09:22:16-05:00,emailnotfound,FALSE,springfield,2012-12-01T09:22:16-05:00,la
"offering ride to st louis, mo (springfield, mo)",springfield,http://springfield.craigslist.org/rid/3358140606.html,"driving to st louis, mo from springfield, mo tuesday night or wednesday morning october 23-24. departure time is flexible. have room for up to 3 passengers. comfy reliable car. share the gas price. 
call or text (314) 304 8332 janna ",2012-10-22T20:53:03-05:00,emailnotfound,TRUE,springfield,2012-10-23T20:53:03-05:00,st
need ride to st. louis mo.  (springfield mo. to union station stlouis),springfield,http://springfield.craigslist.org/rid/3355922177.html,i need to be in down town st. louis mo. by 3:00 pm thursday oct. 25th. 230 mi. figured (if) you were going that way on that day don't a little conversation and $30 bucks for gas. a non smoker and do not care if you smoke. give me a call. it has to be [...],2012-10-22T00:30:06-05:00,emailnotfound,TRUE,springfield,2012-10-25T00:30:06-05:00,st.
"ride offered to rolla, mo (springfield, mo)",springfield,http://springfield.craigslist.org/rid/3351197525.html,"driving from springfield to rolla, mo 10/20/12 saturday morning. call or text (314) 304 8332 janna ",2012-10-19T18:48:35-05:00,emailnotfound,TRUE,springfield,2012-10-20T18:48:35-05:00,rolla
need ride to st. louis mo. (springfield to st louis),springfield,http://springfield.craigslist.org/rid/3347589884.html,"i need a ride to downtown st. louis ( union station ) thursday oct. 25th must be there before 2:00 pm thursday afternoon. i can meet you any place in springfield before 8:00 that morning. 
66 year old male . they say i talk a bit , but know when to s [...]",2012-10-18T10:35:00-05:00,emailnotfound,FALSE,springfield,2012-10-25T10:35:00-05:00,st.
looking for ride to boston,springfield,http://springfield.craigslist.org/rid/3336459596.html,"looking for a ride to boston or close anytime after the 18th of october. will split gas. fun, mellow dude. thanks. ",2012-10-13T12:42:50-05:00,emailnotfound,FALSE,springfield,2012-10-18T12:42:50-05:00,boston
ride offered to st louis,springfield,http://springfield.craigslist.org/rid/3330252413.html,"driving to st louis this thursday night, time is flexible. can pick up up to 3 passengers. 
call or text (314) 304 8332 janna ",2012-10-10T17:57:57-05:00,emailnotfound,TRUE,springfield,2012-10-11T17:57:57-05:00,st
