title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - st louis to allentown on mon 11/19 (st louis),stlouis,http://stlouis.craigslist.org/rid/3417944820.html,"i'm offering a ride from st louis to allentown. 
leaving november 19th. non stop drive from lake of the ozarks, mo to allentown, pa. (through indianapolis, columbus, pittsburgh, etc.) driving i-70 the entire route. only room for one (1) passenger. mu [...]",2012-11-18T05:54:40-06:00,emailnotfound,TRUE,stlouis,2012-11-19T05:54:40-06:00,allentown
"ride offered to laredo n back (st louis, mo)",stlouis,http://stlouis.craigslist.org/rid/3417620440.html,"i plan on leaving sunday evening , i work until 4pm sunday, 
will be stopping at nueva laredo for 1 hr, (not an extended stay at all) driving in my jeep wrangler, so not the most comfortable ride, and only 16mpg, so if anyone can help! looking to sav [...]",2012-11-17T21:59:11-06:00,emailnotfound,TRUE,stlouis,2012-11-18T21:59:11-06:00,laredo
monday 11/19 early am st louis to columbia,stlouis,http://stlouis.craigslist.org/rid/3407843940.html,"i am leaving st louis around 7:30 am to 8:00 am monday 11/19 to go to the columbia mo area 
(meaning any place between st louis and columbia) . for $30.00 for fuel i will take you anywhere 
in the columbia area. if interested call jim for arrangement [...]",2012-11-17T19:26:27-06:00,emailnotfound,TRUE,stlouis,2012-11-19T19:26:27-06:00,columbia
need ride from st. louis to fl (ready to roll and will pay for gas! :)),stlouis,http://stlouis.craigslist.org/rid/3416509408.html,"my husband and son need a ride from stl to florida (any city in fl will do! we'll pick them up on this end!) they have money for gas! they're hoping to come home for thanksgiving to visit with the ""army grandkids"" before they move to wa state! please [...]",2012-11-17T12:30:22-06:00,emailnotfound,FALSE,stlouis,2012-11-19T12:30:22-06:00,fl
need ride from st. charles to cape girardeau (st. charles to cape),stlouis,http://stlouis.craigslist.org/rid/3413918779.html,"i'm looking for a ride from st. charles to cape girardeau for 2 medium-sized bags of baby clothes for my friend. nothing fishy, you can inspect everything. gas $ offered. anytime between 11/17/12-1/1/13. the sooner, the better.",2012-11-16T10:48:18-06:00,emailnotfound,FALSE,stlouis,2012-11-17T10:48:18-06:00,cape
"ride offered: stl. to breckenridge, co (stl city)",stlouis,http://stlouis.craigslist.org/rid/3413618919.html,"boy and dog headed west late sunday evening. planning on driving through the night to arrive monday morning. room for one or two people with stuff. 
car is a honda civic, but perhaps we can work it out somehow if you have lots of stuff or a dog. 
wou [...]",2012-11-16T08:43:29-06:00,emailnotfound,TRUE,stlouis,2012-11-19T08:43:29-06:00,breckenridge
ride offered--stl to new orleans (united states),stlouis,http://stlouis.craigslist.org/rid/3413128771.html,"leaving for new orleans on friday (11/16). hoping to leave late afternoon and drive through the night, looking to share the cost of gas! can take two people",2012-11-15T23:14:23-06:00,emailnotfound,TRUE,stlouis,2012-11-16T23:14:23-06:00,new
stl to des moines fri,stlouis,http://stlouis.craigslist.org/rid/3410294721.html,"driving from st. louis to des moines, ia friday 16 nov evening. leaving around 5:30 or 6 pm from south city, will return sometime late afternoon on sunday. help with gas, and we can't smoke in my car. email me with your phone number if interested.",2012-11-14T17:50:48-06:00,emailnotfound,FALSE,stlouis,2012-11-16T17:50:48-06:00,des
ride offered - st louis to denver on wed 11/14 (st louis),stlouis,http://stlouis.craigslist.org/rid/3408769368.html,"i'm offering a ride from st louis to denver. 
leaving november 14th. contact me on zimride: http://www.zimride.com/ride/share?ride=530685 ",2012-11-14T07:13:15-06:00,emailnotfound,TRUE,stlouis,2012-11-14T07:13:15-06:00,denver
do you need a ride? leaving st charles passing through bowling green  (hanibal quincy and on to keokuk),stlouis,http://stlouis.craigslist.org/rid/3407517466.html,"headed from st charles/st louis to keokuk iowa.. on monday night or tuesday the 20th..(flexible) coming back friday morning or evening not important 23th 
gas contribution no driving i speed (75)i do not like to stop and i do not allow smoking or alc [...]",2012-11-13T15:07:19-06:00,emailnotfound,TRUE,stlouis,2012-11-20T15:07:19-06:00,keokuk
