title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride needed to seattle- $$ (wenatchee),wenatchee,http://wenatchee.craigslist.org/rid/3404398774.html,"i'm in need of a ride to seattle. i have some boxes of things that need to go as well. i'm open to going anytime on the 18th or 19th of november. will pay $40 dollars. 
please email me with any questions or other possible dates that would work better [...]",2012-11-12T09:18:27-08:00,emailnotfound,FALSE,wenatchee,2012-11-18T09:18:27-08:00,seattle-
ride to seattle area,wenatchee,http://wenatchee.craigslist.org/rid/3402900956.html,looking for a ride to the seattle area. can go any day between november 12th and 16th. i can help with gas. please email me if your headed that way. ,2012-11-11T14:49:20-08:00,emailnotfound,FALSE,wenatchee,2012-11-12T14:49:20-08:00,seattle
wenatchee to cle elum on friday,wenatchee,http://wenatchee.craigslist.org/rid/3393433562.html,i'm looking for a ride heading south over blewett pass friday afternoon/evening. i can meet you at the highway 2/97 cutoff. i'm headed to north bend but may have a ride from cle elum if you aren't headed west on i-90. let me know if you have space. i [...],2012-11-07T11:43:06-08:00,emailnotfound,FALSE,wenatchee,2012-02-97T11:43:06-08:00,cle
republic to peshastin towing 5th wheel (united states),wenatchee,http://wenatchee.craigslist.org/rid/3392053220.html,i have a friend that is a single father and is just getting ready to start school in peshastin .he has a 5th wheel in republic and needs moved to peshastin.is anyone going that way that can help out someone trying to better there lives?,2012-11-06T19:26:36-08:00,emailnotfound,FALSE,wenatchee,2012-11-09T19:26:36-08:00,peshastin
wenatchee to twisp,wenatchee,http://wenatchee.craigslist.org/rid/3385807150.html,looking for a ride from wenatchee or pateros to twisp on 11/16 after 1pm. trying to get home from bus or train staion. can chip in for gas . thank you for looking. leigh,2012-11-04T07:00:48-08:00,emailnotfound,FALSE,wenatchee,2012-11-16T07:00:48-08:00,twisp
"wenatchee to stevens pass nov 10th, 11th (wen, cash, lvwth, stevens)",wenatchee,http://wenatchee.craigslist.org/rid/3381481221.html,"i will be working on the pass this winter. orientation is nov 10th, 11th, and i am offering a free ride up to the pass and back for anyone else who is working up there. get back at me if you wanna roll. i mob in a 4 door subaru sedan, i can fit 4 guy [...]",2012-11-02T08:22:54-07:00,emailnotfound,TRUE,wenatchee,2012-11-10T08:22:54-07:00,stevens
ride requested: leavenworth to seattle (leavenworth),wenatchee,http://wenatchee.craigslist.org/rid/3360255563.html,"hello there, 
climbing has turned cold and now i'm headed to see friends in seattle. happy to help out with gas $ and anywhere in the greater seattle area would be fine, so long as there's a bus terminal near by. i have only one bag, a medium-sized b [...]",2012-10-23T15:54:00-07:00,emailnotfound,TRUE,wenatchee,2012-10-26T15:54:00-07:00,seattle
need ride to ellensburgh from wenatchee (wenatchwee),wenatchee,http://wenatchee.craigslist.org/rid/3357595223.html,i am a traveler named josh ruane. i have a siberian husky. i'm going to ellensburgh to see family before i go south for the winter it would be a big help in my journey. i have the gas money to pitch. call or text my cell 7246816589,2012-10-22T14:34:54-07:00,emailnotfound,FALSE,wenatchee,2012-10-22T14:34:54-07:00,ellensburgh
offering - anywhere from tonasket to seattle / tacoma 10-22 eve (tonasket/omak/wenatchee/etc..),wenatchee,http://wenatchee.craigslist.org/rid/3357185764.html,"leaving the tonasket wa area around 4pm today, monday, oct 22nd - traveling south 97 through wenatchee and then over to seattle / tacoma. tacoma is my final destination however i am willing to drop off along the way in seattle if needed. 
e-mail back [...]",2012-10-22T12:02:21-07:00,emailnotfound,TRUE,wenatchee,2012-10-22T12:02:21-07:00,seattle
need ride to seattle (roslyn),wenatchee,http://wenatchee.craigslist.org/rid/3348016337.html,"i'm looking to head over to seattle sometime this friday afternoon or earler saturday, and trying to return sunday any time. maybe you're headed to seattle for the weekend, too. i'm actually headed to west seattle, but if you can get me close to down [...]",2012-10-18T11:07:53-07:00,emailnotfound,FALSE,wenatchee,2012-10-19T11:07:53-07:00,seattle
