title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"rideshare, maine/mass to new york state (maine)",worcester,http://worcester.craigslist.org/rid/3409983632.html,"i am a technical professional living in maine but working in upstate new york during the week. 
on the afternoon of wednesday, 11/21 i will be returning to maine and can take up to two riders. i will be coming back to the rochester area on the aftern [...]",2012-11-14T16:34:16-05:00,emailnotfound,TRUE,worcester,2012-11-21T16:34:16-05:00,new
driving to michigan (worcester ma.),worcester,http://worcester.craigslist.org/rid/3408877392.html,leaving this saturday 17th or sunday 18th. if u need a ride along the way please call or text me. 269-501-0446. ,2012-11-14T09:25:01-05:00,emailnotfound,TRUE,worcester,2012-11-17T09:25:01-05:00,michigan
time to go! (worcester to paradise),worcester,http://worcester.craigslist.org/rid/3401575580.html,"30 m straight. looking for someone that wants to travel. planning on moving somewhere tropical. have a good idea of what it going to be like. interested in the idea of having a travel buddy. getting my passport asap, no clue where i will end up excep [...]",2012-11-11T03:00:38-05:00,emailnotfound,TRUE,worcester,2012-11-11T03:00:38-05:00,go
need a ride from spencer to boston tomorrow (united states),worcester,http://worcester.craigslist.org/rid/3401096340.html,"need a ride from spencer to boston, will pay $80 to anywhere downtown boston, must be before 2pm ",2012-11-10T19:46:14-05:00,emailnotfound,TRUE,worcester,2012-11-10T19:46:14-05:00,boston
ride offered heading to oh/mo (from mass),worcester,http://worcester.craigslist.org/rid/3398282900.html,"leaving mass. mon/tues 11/12 or 13th for columbus, oh offering ride, including points in between, then to joplin, mo in exchange for gas money.",2012-11-09T15:18:28-05:00,emailnotfound,TRUE,worcester,2012-11-12T15:18:28-05:00,oh/mo
"going to jfk on saturday 11/10  (from worcester,ma)",worcester,http://worcester.craigslist.org/rid/3396822673.html,"going for a pick up at jfk, can drop you off anywhere along the route. leaving at 5:30am from worcester area. help with gas $$ would be appreciated. plenty of space, will be driving a van 
thanks 
reply to this ad 
connie ",2012-11-08T22:59:39-05:00,emailnotfound,TRUE,worcester,2012-11-10T22:59:39-05:00,jfk
last min ride share to fl.  (need to leave sat nov 3),worcester,http://worcester.craigslist.org/rid/3379601095.html,"have room for some bags, help share dr, and some gas. e-mail me and lets talk alm6307@aol.com",2012-11-01T14:05:34-04:00,emailnotfound,TRUE,worcester,2012-11-03T14:05:34-04:00,fl.
daily ride worcester to waltham (worcester),worcester,http://worcester.craigslist.org/rid/3358014727.html,"i just moved to worcester and i'm working in waltham, was wonder if there is anyone around here who is in a similar situation so we can share a car ..etc, i pay half the gas or weekly rate monday to friday. please let me know",2012-10-22T20:43:56-04:00,emailnotfound,FALSE,worcester,2012-10-22T20:43:56-04:00,waltham
"ma to  fl, nov,1  mini van (would like to share the dr.)",worcester,http://worcester.craigslist.org/rid/3340013302.html,"have room for bags ,want to stay out one night, please respond asap al. alm6307@aol.com",2012-10-15T09:31:50-04:00,emailnotfound,TRUE,worcester,2012-10-15T09:31:50-04:00,fl
shrewsbury  to watertown (shrewsbury ),worcester,http://worcester.craigslist.org/rid/3322645101.html,need monday - friday rideshare shrewsbury area to main st area of watertown. please call linda at 404-610-3348. ,2012-10-07T13:31:04-04:00,emailnotfound,TRUE,worcester,2012-10-08T13:31:04-04:00,watertown
looking for ride to cambridge vt (oxford/ cambridge),worcester,http://worcester.craigslist.org/rid/3318454027.html,will pay the gas plus food for a ride to cambridge vt today. will give you money for gas and the ride. im going one way you would be returning on your own. it is me and my dog and my backpack. please call robert at 508-365-7142. 420 friendly a must,2012-10-05T13:52:56-04:00,emailnotfound,FALSE,worcester,2012-10-05T13:52:56-04:00,cambridge
