title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered 11/19 (montana to cheyenne),wyoming,http://wyoming.craigslist.org/rid/3416776981.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight ",2012-11-17T13:16:04-07:00,emailnotfound,TRUE,wyoming,2012-11-19T13:16:04-07:00,cheyenne
"sheridan to points west (idaho, slc or denver, reno)",wyoming,http://wyoming.craigslist.org/rid/3416757652.html,"i am going to be leaving northern wyoming for reno, nevada saturday or sunday 24 or 25 november. i can pass through denver if you pay for the gasoline. or for those heading west, we can split the cost of fuel to idaho, northern utah or northern nevad [...]",2012-11-17T13:08:09-07:00,emailnotfound,TRUE,wyoming,2012-11-17T13:08:09-07:00,points
need ride to rapid city sd from wheatland ,wyoming,http://wyoming.craigslist.org/rid/3416438988.html,im a female looking for a ride. to rapid city sd from wheatland for anytime before tuesday just trying to go home for thanksgiving. can pay for gas please text 605 863 3021. thank u ,2012-11-17T11:03:46-07:00,emailnotfound,FALSE,wyoming,2012-11-20T11:03:46-07:00,rapid
will pay for gas!! please help (from jackson or victor to idaho falls ),wyoming,http://wyoming.craigslist.org/rid/3415517187.html,i am going to see my brother for the holiday on monday the 19th but the only shuttle i can get is out of idaho falls and i have no car. please let me know if you can help. i would prefer to get picked up in victor but if driggs or jackson is more con [...],2012-11-16T22:37:43-07:00,emailnotfound,FALSE,wyoming,2012-11-19T22:37:43-07:00,idaho
"western sd to ohio (black hills, sd)",wyoming,http://wyoming.craigslist.org/rid/3415268815.html,"heading east from western south dakota to ohio and all points in between. leaving tuesday, november 20th. truck with 8 ft. bed and topper. can pull a trailer. no email. call (605) 673-2428. ",2012-11-16T19:25:25-07:00,emailnotfound,TRUE,wyoming,2012-11-20T19:25:25-07:00,ohio
need boxes delivered to green river (cheyenne to green river),wyoming,http://wyoming.craigslist.org/rid/3413179126.html,"i have five empty boxes that i would like delivered to green river before 22 nov 12. 
you you are traveling to green river and can help me, please give me a call 3o72i4o329 
my name is steven",2012-11-15T23:01:34-07:00,emailnotfound,FALSE,wyoming,2012-11-12T23:01:34-07:00,green
leaving buffalo to san diego tomorrow am (buffalo wy),wyoming,http://wyoming.craigslist.org/rid/3410874769.html,"i am going to san diego, small newer car, comfortable, non smoking. would like if you can help with gas. thank you.",2012-11-14T23:11:01-07:00,emailnotfound,TRUE,wyoming,2012-11-14T23:11:01-07:00,san
"ride offer to boise, id and everywhere in between (sheridan, wy)",wyoming,http://wyoming.craigslist.org/rid/3410066342.html,"leaving tomorrow or friday heading home to nampa, id. passing thorugh mt into idaho if you help for gas you got a ride thank you! call or text or email me! 2083537125",2012-11-14T15:08:40-07:00,emailnotfound,TRUE,wyoming,2012-11-14T15:08:40-07:00,boise
"trying to find ride for a cake from idaho falls to laramie wy (laramie, wy)",wyoming,http://wyoming.craigslist.org/rid/3409951086.html,"trying to get my son's birthday cake to him on friday nov 16 or that weekend... 
if you are driving home to laramie or nearby... please let me know if you'd be willing to do this. 
thanks!",2012-11-14T14:21:08-07:00,emailnotfound,FALSE,wyoming,2012-11-16T14:21:08-07:00,find
11/17 laramie to foco/loveland then co springs (laramie - colorado springs),wyoming,http://wyoming.craigslist.org/rid/3405695622.html,i'll be driving down to colorado springs on saturday to watch my brother play a basketball game. i plan on departing laramie early in the morning (~8am) so that i can make a pit stop in loveland to run some errands. i'll be spending saturday evening  [...],2012-11-12T18:45:45-07:00,emailnotfound,TRUE,wyoming,2012-11-17T18:45:45-07:00,foco/loveland
need a much needed ride to denver (laraime to denver),wyoming,http://wyoming.craigslist.org/rid/3403801803.html,"hi my name is ace trying to head to denver from laraime,wy as early in the morning of 11-20-12 i have a bus to catch at 1145. so if any one is heading dat way plz let me know asap 2o6-32i-ooi5",2012-11-12T05:43:23-07:00,emailnotfound,FALSE,wyoming,2012-11-12T05:43:23-07:00,denver
"jacksonhole to denver, co (wy-co)",wyoming,http://wyoming.craigslist.org/rid/3391120275.html,"heading south to denver, colorado on (or around) 11/29/12 
we are asking for a third of gas and tolls. the ride is 527 miles, 8 hours and 40 minutes. 
call/text/email anytime 
laura 
508 212 5434",2012-11-10T19:43:12-07:00,emailnotfound,TRUE,wyoming,2012-11-29T19:43:12-07:00,denver
