title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride to mount vernon asap (ellensburg),yakima,http://yakima.craigslist.org/rid/3388976264.html,"i need a ride to mount vernon asap, and have gas money to contribute. good conversationist. thanks much",2012-11-05T13:22:00-08:00,emailnotfound,FALSE,yakima,2012-11-05T13:22:00-08:00,mount
offer: eburg to seattle friday 6pm (eburg),yakima,http://yakima.craigslist.org/rid/3378641045.html,"driving from ellensburg to seattle on friday evening. great car, good tunes, let me know if you want a ride. leave from downtown or cwu. please email back if interested. 
thanks",2012-10-31T23:18:23-07:00,emailnotfound,FALSE,yakima,2012-10-33T23:18:23-07:00,seattle
lookin for a ride to bend or(or close) sun/mon (yakima-bend),yakima,http://yakima.craigslist.org/rid/3367365843.html,"so currently im in sandpoint id, from here im trying to get to bend or. i have an offer for a ride share to yakima sunday evening, now im looking for a rideshare to oregon if anyone could help, i have gas money to offer. please let me know asap so th [...]",2012-10-26T16:11:23-07:00,emailnotfound,FALSE,yakima,2012-10-26T16:11:23-07:00,bend
"looking for a ""ride"" to seattle from yakima today 10/24 (yakima to seattle )",yakima,http://yakima.craigslist.org/rid/3362428620.html,"i need a ride to seattle sometime around 6-630 today ! i got money for gas or i can drive . i need to go up there just for the night and head back sometime thursday 10/25 . i am suppose to film a show at a club in seattle , so i'f your 21 or over you [...]",2012-10-24T13:54:53-07:00,emailnotfound,FALSE,yakima,2012-10-24T13:54:53-07:00,seattle
need trailer ride for my horse to spanaway and back (west valley),yakima,http://yakima.craigslist.org/rid/3361358677.html,"i am looking for a ride for my horse to the tacoma lariettes halloween benefit play day show on saturday, october the 27th at the tacoma unit 1 in spanaway. i can help pay for some of the gas. i have been wanting to go to this show for 4 years now. i [...]",2012-10-24T07:13:51-07:00,emailnotfound,FALSE,yakima,2012-10-27T07:13:51-07:00,spanaway
ride needed to seattle (roslyn),yakima,http://yakima.craigslist.org/rid/3348017420.html,"i am looking to head over to seattle friday afternoon or earlier saturday, then return any time sunday. i am actually trying for west seattle, but if you can get me to downtown i can bus it from there. maybe you are headed to seattle for the weekend, [...]",2012-10-18T11:08:16-07:00,emailnotfound,FALSE,yakima,2012-10-19T11:08:16-07:00,seattle
yakima to seattle 10/19 (yakima to seattle),yakima,http://yakima.craigslist.org/rid/3347693562.html,"looking to hitch a ride to seattle from yakima 10/19 after 6pm. i am 32 white male (gay... if that helps the cause!) shoot me an email if you think can help me out, and we can finalize the details.",2012-10-18T09:13:00-07:00,emailnotfound,FALSE,yakima,2012-10-19T09:13:00-07:00,seattle
cwu to yakima (ellensburg),yakima,http://yakima.craigslist.org/rid/3346412470.html,"need a ride from ellensburg to yakima, tomorrow around 5 pm. willing to help out with gas. please email me thanks",2012-10-17T16:30:10-07:00,emailnotfound,TRUE,yakima,2012-10-17T16:30:10-07:00,yakima
carpool to seattle (through ellensburg),yakima,http://yakima.craigslist.org/rid/3345969580.html,"i will be driving from quincy (through wenatchee, ellensburg) to seattle on saturday - 20th oct (around 9:00 - 9:30 am) .. can pick or drop on the way within reasonable distance ( not more than 5 mins off freeway) .. will follow i 90 ... can meet on  [...]",2012-10-17T13:17:56-07:00,emailnotfound,TRUE,yakima,2012-10-20T13:17:56-07:00,seattle
packwood to salt lake city 11/1 (packwood),yakima,http://yakima.craigslist.org/rid/3344691049.html,need a ride from packwood to salt lake on or around the 1st i live in packwood but could meet you anywhere in surrounding area i will be looking for a ride back around the 10th if anybodys going to be traviling through let me know via email thank you [...],2012-10-17T02:33:36-07:00,emailnotfound,TRUE,yakima,2012-11-01T02:33:36-07:00,salt
needing a ride to seattle or bellevue from ellensburg(cwu)  (ellensburg to seattle/bellevue),yakima,http://yakima.craigslist.org/rid/3338754937.html,text or call me at 360 632 2844. i'm 20 years old and was visiting central to apply for school in the fall. i dont have enough for a grey hound to get back and i have work on wednesday. please contact me if you can help with a ride either monday 10/1 [...],2012-10-14T13:08:15-07:00,emailnotfound,FALSE,yakima,2012-10-01T13:08:15-07:00,seattle
10/15 mon: seattle to wenatchee w/ stops between ok (seattle/cle elum/ellensburg /wenatchee),yakima,http://yakima.craigslist.org/rid/3336920593.html,"moving to cle elum monday 15th. returning u-haul in wenatchee. 2 can ride in u-haul 1 in path finder.u-haul moving early mon morning at 6am! pathfinder leaving at 930am. call to reserve place tanya 425.366.1496 cle elum $20, ellensburg $25, wenatchee [...]",2012-10-13T13:57:27-07:00,emailnotfound,TRUE,yakima,2012-10-15T13:57:27-07:00,wenatchee
looking for a ride to seattle!! monday 10/15 or tuesday 10/16 (ellensburg/cwu to seattle ),yakima,http://yakima.craigslist.org/rid/3336788903.html,"i need a ride badly from ellensburg to seattle or mukilteo on monday or tuesday. my money got stolen and i now don't have enough for a grey hound ticket back and i have work on wednesday. please help! text me or call me at 360 632 2844. thank you 
jo [...]",2012-10-13T12:58:24-07:00,emailnotfound,FALSE,yakima,2012-10-15T12:58:24-07:00,seattle
to seattle 10/19 to yakima 10/21 (yakima),yakima,http://yakima.craigslist.org/rid/3332454373.html,"needing a ride from yakima to seattle on 10/19 any time after 6pm. i need to return to yakima sometime late sunday 10/21. am will to throw in cash for gas and munchies for the ride. i am a laid-back, 30=something gay male. if you think you could help [...]",2012-10-11T14:36:16-07:00,emailnotfound,FALSE,yakima,2012-10-19T14:36:16-07:00,seattle
need ride to seattle today friday oct12 (yakima),yakima,http://yakima.craigslist.org/rid/3332231679.html,"if your heading to or by seattle today i would like to catch a ride. my bf is in the hospital there. call or text (509)406-1725, thank you",2012-10-11T13:04:49-07:00,emailnotfound,FALSE,yakima,2012-10-11T13:04:49-07:00,seattle
soldier looking for a ride from the westside to ellensburg (ellensburg),yakima,http://yakima.craigslist.org/rid/3330609148.html,"hi, i'm looking for a ride back home on sunday evening from the westside to (ellensburg).. i am an army national guard soldier that has to go to drill on the westside this weekend but does not have a ride back home and i have school on monday...pleas [...]",2012-10-10T19:03:51-07:00,emailnotfound,FALSE,yakima,2012-10-15T19:03:51-07:00,ellensburg
need ride eburg to seattle wednesday (ellensburg),yakima,http://yakima.craigslist.org/rid/3328156077.html,"guy with small bag needs ride to seattle. gas money offered of course. need to be there by 2ish. thanks, jay 206.293.9281",2012-10-09T16:44:25-07:00,emailnotfound,TRUE,yakima,2012-10-15T16:44:25-07:00,seattle
ride to seatac (quincy),yakima,http://yakima.craigslist.org/rid/3326223736.html,saturday noon ... i will be driving from quincy to seattle .. can take up to 2 people .. going to airport ... can drop on the way ... i have my own luggage ... so no space for much luggage .. one way .. will start about noon - 12-12:30 pm from quincy [...],2012-10-08T21:25:43-07:00,emailnotfound,TRUE,yakima,2012-10-13T21:25:43-07:00,seatac
"offered:  yakima to east coast (id, wy, ia, il, in, oh, pa, de)",yakima,http://yakima.craigslist.org/rid/3323720831.html,leaving yakima late afternoon/early evening on thursday oct 11 and i have room for one if you are traveling light. taking my two cats (they will be in a kennel and not wondering around the car. but if you're alergic it would not be a good fit). drivi [...],2012-10-07T20:07:24-07:00,emailnotfound,TRUE,yakima,2012-10-11T20:07:24-07:00,east
